canonical_no,legacy_no,num_id,slug,url,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url,content_bytes,content_sha256
18,9,201110112,19-civilisations-5000-ans-une-lecon,https://giak.substack.com/p/19-civilisations-5000-ans-une-lecon,2026-06-08T07:49:22.720Z,true,2026-06-08T07:49:22.846Z,2026-06-08T07:49:22.846Z,newsletter,everyone,"🏛️ 19 civilisations, 5000 ans, une leçon : la France n’est pas le modèle, elle est l’exception","La France post-1789 n’est pas le modèle universel : elle est l’exception historique. 19 civilisations, 5000 ans, 220 faits sourcés le démontrent.",,44691,fe1eb56b2a1c8ffb945a5d668319b2fd1d1517e59aebec8bcb486a8f85141688
19,10,200815786,lagenda-legislatif-precede-la-violence,https://giak.substack.com/p/lagenda-legislatif-precede-la-violence,2026-06-05T20:46:45.598Z,true,2026-06-05T20:46:45.721Z,2026-06-05T20:46:45.721Z,newsletter,everyone,📋 L'agenda législatif précède la violence de la rue : l'échec des politiques publiques est devenu un modèle économique.,⏱️ Chronologie clinique des quarante-huit heures qui ont transformé une célébration sportive en une vaste opération de profilage social.,,63219,9a78dd22478358d34635acd94ae2fa407415c02032d91925795c770c6df2189b
20,13,199655242,le-numerique-colonise-70-des-donnees,https://giak.substack.com/p/le-numerique-colonise-70-des-donnees,2026-05-30T09:17:23.296Z,true,2026-05-30T09:17:23.457Z,2026-05-30T09:17:23.457Z,newsletter,everyone,"💻 Le Numérique colonisé : 70 % des données françaises sur serveurs américains, zéro souveraineté",💻 70 % des données françaises stockées sur des serveurs américains. 95 % du marché capté par les GAFAM. La souveraineté numérique de la France est une fiction juridique.,,30640,afe662c77c15d1776dae49a1b314b071c7c9aaa7a4cd289160b16a411322ae33
21,12,199655311,la-justice-fantome-020-du-pib-86,https://giak.substack.com/p/la-justice-fantome-020-du-pib-86,2026-05-30T09:11:29.188Z,true,2026-05-30T09:11:29.390Z,2026-05-30T09:11:29.390Z,newsletter,everyone,"⚖️ La Justice Fantôme : 0,20 % du PIB, 86 000 détenus, 27 % de confiance — anatomie du verrou judiciaire",⚖️ Onze juges pour 100 000 habitants (contre 21 en moyenne européenne). Zéro réforme du parquet depuis dix ans. 86 000 détenus entassés dans 62 000 places. 27 % de confiance dans l’institution. ,,28572,80f36ebd660489b9869e89e020c67e4210bebaa193d085fbb74a527443fb972e
22,14,199655164,le-verrou-28-recours-au-493-57-dabstention,https://giak.substack.com/p/le-verrou-28-recours-au-493-57-dabstention,2026-05-30T09:04:26.610Z,true,2026-05-30T09:04:26.802Z,2026-05-30T09:04:26.802Z,newsletter,everyone,"🔒 Le Verrou : 28 recours au 49.3, 57 % d’abstention, 9 propriétaires qui contrôlent 90 % des médias : la démocratie neutralisée","🔒 Trois verrous : institutionnel (49.3, ordonnances), médiatique (9 propriétaires, 90 % d’audience), citoyen (57 % d’abstention, 22 % de confiance) : s’emboîtent pour neutraliser toute contestation. ",,41982,8d2025bdb8112827a3384bf467968834a3d7edc12a85a6f78f1483384eff22c2
23,15,199655095,la-defense-rongee-449-md-sans-munitions,https://giak.substack.com/p/la-defense-rongee-449-md-sans-munitions,2026-05-30T09:01:11.803Z,true,2026-05-30T09:01:11.953Z,2026-05-30T09:01:11.953Z,newsletter,everyone,"⚔️ La Défense rongée : 449 Md€ sans munitions, 101 voyages ELNET, 24 pays sans standard français : la souveraineté stratégique dissoute de l’intérieur","⚔️ La France dépense 57 Md€ en 2026 pour sa défense, soit 2 % du PIB. Elle reste le 3e exportateur mondial d’armement. Mais ses stocks de munitions ne tiennent que quelques semaines.",,39026,b1915269bcff728e2fc73bc60061c90b60567540f8f0011fdda644f596437034
24,16,199655040,leurope-piege-francais-12-contentieux,https://giak.substack.com/p/leurope-piege-francais-12-contentieux,2026-05-30T08:55:15.434Z,true,2026-05-30T08:55:15.673Z,2026-05-30T08:55:15.673Z,newsletter,everyone,"🇪🇺 L’Europe, piège français : 12 contentieux, 10 Md€ nets, une dette sous tutelle : la souveraineté perdue par construction","🇪🇺 La France paie 10 Md€ par an pour un cadre qu’elle ne maîtrise plus : 12 contentieux ouverts par Bruxelles, une trajectoire budgétaire imposée, des traités qu’elle rejette mais doit appliquer. ",,37160,3a8ddedd8cdb65697dba2c175f8c4fe8a183f599cb0f8452f5502fe25da0273c
25,17,199654938,medias-censure-et-desinformation,https://giak.substack.com/p/medias-censure-et-desinformation,2026-05-30T08:50:51.868Z,true,2026-05-30T08:50:52.068Z,2026-05-30T08:50:52.068Z,newsletter,everyone,"📻 Médias, censure et désinformation : l’architecture du silence","📻 9 milliardaires contrôlent 80 % des médias, 6 lois de censure en 8 ans, 60 % des Français adhèrent à une théorie du complot : enquête sur le dernier verrou du système",,41062,4a499b55fb04d7e71015c1b9ccb99b4d732f428fb433b757131fef0e3a8cef9c
26,18,199654871,lagriculture-qui-meurt-100-000-fermes,https://giak.substack.com/p/lagriculture-qui-meurt-100-000-fermes,2026-05-30T08:46:25.777Z,true,2026-05-30T08:46:25.940Z,2026-05-30T08:46:25.940Z,newsletter,everyone,"🌾 L’Agriculture qui meurt : 100 000 fermes disparues, 9 Md€ de PAC, 1 suicide tous les 2 jours : le modèle qui tue les paysans et liquide la souveraineté alimentaire","🌾 La France est la première puissance agricole d’Europe, mais 100 000 fermes ont disparu en 10 ans, 1 agriculteur se suicide tous les 2 jours, et 30 % des exploitants vivent sous le Smic. ",,29283,ae99200c8734dfe051487838d78b50178f803ed2ab8ffd1dc9ac4fb91bca5fc3
27,19,199654799,lenergie-sacrifiee-923-twh-exportes,https://giak.substack.com/p/lenergie-sacrifiee-923-twh-exportes,2026-05-30T08:40:37.269Z,true,2026-05-30T08:40:37.454Z,2026-05-30T08:40:37.454Z,newsletter,everyone,"⚡ L’Énergie sacrifiée : 92,3 TWh exportés, 65 Md€ de dette EDF, 12 millions de précaires","La France exporte de l’électricité mais 12 millions de personnes ont froid l’hiver. Le nucléaire devait fournir une énergie abondante et bon marché. Résultat : 65 Md€ de dette, 19,1 Md€ de surcoût EPR",,41403,5a6482d506506eb105f277cee313bd3af0f9ce371aefbf5bbfe454f4aa0fd4d4
28,20,199654706,le-logement-la-machine-a-creer-de,https://giak.substack.com/p/le-logement-la-machine-a-creer-de,2026-05-30T08:40:37.105Z,true,2026-05-30T08:40:37.390Z,2026-05-30T08:40:37.390Z,newsletter,everyone,"🏠 Le Logement, la Machine à créer de la Rareté : 37 millions de toits, 4,2 millions de mal-logés, 30 500 expulsions","37 millions de logements. 4,2 millions de mal-logés. 30 500 expulsions par an. Le logement n’est pas une pénurie de toits : c’est une machine à produire de la rareté.",,31378,31b3463bcacb5bd96686eaf79d74d988fd5ba3bb16de9d30cd4097b9e1a6b6d1
29,21,199654638,limmigration-sans-cap-340-000-titres,https://giak.substack.com/p/limmigration-sans-cap-340-000-titres,2026-05-30T08:35:47.616Z,true,2026-05-30T08:35:47.861Z,2026-05-30T08:35:47.861Z,newsletter,everyone,"🧭 L’Immigration sans Cap : 340 000 titres, 71 % rejetés, 15 lois pour rien","340 000 titres de séjour par an, 71 % des demandes d’asile rejetées, 15 lois en 40 ans pour un résultat qui empire. La France n’a pas de politique migratoire : elle a un kayfabe.",,27382,092d16e2f726baa7a349d26bc5772c9d6e878b228fd3a10245211d22085a43e8
30,22,199654539,lecole-sans-transmission-43-points,https://giak.substack.com/p/lecole-sans-transmission-43-points,2026-05-30T08:31:05.938Z,true,2026-05-30T08:31:06.096Z,2026-05-30T08:31:06.096Z,newsletter,everyone,"📚 L’École sans transmission : 43 points PISA, 51 % sans repères, 4M d’illettrés","86 milliards d’euros par an, le premier budget de l’État. Pourtant, le niveau scolaire s’effondre, une génération grandit sans repères, et 4 millions d’adultes sont en situation d’illettrisme.",,32596,6722f612f1da295c6b738ae46fe526fdb19ad60fde3313b94528d10f56eb46cd
31,23,199654478,la-france-desindustrialisee-81-milliards,https://giak.substack.com/p/la-france-desindustrialisee-81-milliards,2026-05-30T08:25:53.508Z,true,2026-05-30T08:25:53.673Z,2026-05-30T08:25:53.673Z,newsletter,everyone,"🏭 La France désindustrialisée : 81 milliards de déficit, 9,7 % du PIB, zéro souveraineté","🏭 La France était une puissance industrielle. Elle ne l’est plus. 2 millions d’emplois détruits en vingt ans, 81 milliards de déficit commercial, 4 secteurs stratégiques en dépendance critique. ",,26795,558385a84d5e2fe8c48e91b656e02ef771ff8863c5697ee632c1c7123ddd12f4
32,24,199654310,les-visages-de-la-pauvrete-98-millions,https://giak.substack.com/p/les-visages-de-la-pauvrete-98-millions,2026-05-30T08:22:36.584Z,true,2026-05-30T08:22:38.173Z,2026-05-30T08:22:38.173Z,newsletter,everyone,"📦 Les Visages de la Pauvreté : 9,8 millions de Français sous le seuil","📦 9,8 millions de Français vivent sous le seuil de pauvreté. 2 millions de travailleurs pauvres. 330 000 sans-domicile. La France dépense 31 % de son PIB en protection sociale ; et n’a jamais autant ",,29496,6498c6eba9930d9f9199bbfc0e9ee2280a5db9d93fcb3ed38183825f50636ca3
33,25,199654188,le-systeme-de-sante-demantele-8-millions,https://giak.substack.com/p/le-systeme-de-sante-demantele-8-millions,2026-05-30T08:15:28.727Z,true,2026-05-30T08:15:28.864Z,2026-05-30T08:15:28.864Z,newsletter,everyone,🏥 Le Système de santé démantelé : 8 millions de Français sans médecin traitant,🏥 8 millions de Français sans médecin traitant. 100 000 lits d’hôpital supprimés en 20 ans. 120 services d’urgence ferment chaque nuit. Enquête sur la liquidation du système de santé.,,36100,e7d6f4511607af448eee9d2246df836977966485ad0fa340e30d49d5c7e0427f
34,26,199653976,la-dette-instrumentalisee-3-200-milliards,https://giak.substack.com/p/la-dette-instrumentalisee-3-200-milliards,2026-05-30T08:15:28.626Z,true,2026-05-30T08:15:28.795Z,2026-05-30T08:15:28.795Z,newsletter,everyone,📉 La Dette instrumentalisée : 3 200 milliards qui ne disent pas leur nom,"📉 54 milliards d’euros d’intérêts par an, bientôt 100 milliards. La dette publique atteint 115,6 % du PIB. Mais le vrai problème n’est pas ce que la France doit : c’est ce qu’elle refuse de récupérer",,34493,472ef5d802af3831561d407e2bf33eb855c2975991db647ade7f9f8fdd09efcc
35,11,199655748,largent-qui-disparait-80-a-100-milliards,https://giak.substack.com/p/largent-qui-disparait-80-a-100-milliards,2026-05-30T08:10:53.328Z,true,2026-05-30T08:10:55.116Z,2026-05-30T08:10:55.116Z,newsletter,everyone,💰 L’Argent qui disparaît : 80 à 100 milliards d’évasion fiscale par an,💰 80 à 100 milliards d’euros d’impôts s’évaporent chaque année des caisses de l’État. Le fisc en récupère 12 %. Enquête sur le plus grand transfert de richesse non voté de la République.,,35330,f39ca3f504f2dfd66cc5bf59925d41d71956076b2b00026fda6ae44a3b799aa8
36,27,199422722,la-caste-parasite-qui-gouverne-la,https://giak.substack.com/p/la-caste-parasite-qui-gouverne-la,2026-05-30T08:01:59.745Z,true,2026-05-30T08:01:59.891Z,2026-05-30T08:01:59.891Z,newsletter,everyone,👑 La caste parasite : qui gouverne la France et pour qui ?,👑 20 familles possèdent 704 milliards d’euros (1 128 pour les 500). 42 anciens ministres siègent dans leurs conseils. 9 propriétaires privés contrôlent 90 % des médias. ,,44448,e94222df1a5c625b3b44f8180bd9355b5710c60d3c5465cda6edefcf2430d104
37,28,199049245,le-changement-de-regime-pourquoi,https://giak.substack.com/p/le-changement-de-regime-pourquoi,2026-05-30T08:01:28.861Z,true,2026-05-30T08:01:29.036Z,2026-05-30T08:01:29.036Z,newsletter,everyone,🔄 Le changement de régime : pourquoi ce système ne peut pas se réformer,🔄 Le constat que personne en haut ne changera rien. La démonstration que le verrouillage est structurel. Et ce que ça implique pour le reste.,,47686,eb8faf10db25e9a9cacd138a69d1b9a3b0dca0f0f43df6c1d4edcf892bef05bb
38,29,199724760,le-peuple-est-le-seul-souverain-le,https://giak.substack.com/p/le-peuple-est-le-seul-souverain-le,2026-05-29T10:41:50.018Z,true,2026-05-29T10:41:50.315Z,2026-05-29T10:41:50.315Z,newsletter,everyone,🗡️ Le peuple est le seul souverain : le système de désorganisation,Tout ce qui a été fait peut être défait. Tout ce qui a été bâti peut être détruit. Tout peut être reconstruit à partir de zéro. Le peuple est le seul souverain.,,38610,ce79ca84dbbd3843429144a528a185c10b277a04591d2ba17e510c21ada7b8dd
39,30,198659211,opposition-controlee-anatomie-dun,https://giak.substack.com/p/opposition-controlee-anatomie-dun,2026-05-21T09:12:01.683Z,true,2026-05-21T09:12:01.877Z,2026-05-21T09:12:01.877Z,newsletter,everyone,🧪 Opposition contrôlée – anatomie d’un système auto-stabilisateur,⚙️ Quand le pouvoir n’écrase plus la dissidence : il la sélectionne.,,61889,3791df0bd935d742991bdf91fb687e44169da94d139dc2f3f72d3e980af5cff5
40,31,198384632,le-ciel-nest-pas-gratuit,https://giak.substack.com/p/le-ciel-nest-pas-gratuit,2026-05-19T11:19:12.764Z,true,2026-05-19T11:19:12.920Z,2026-05-19T11:19:12.920Z,newsletter,everyone,✈️ Le ciel n’est pas gratuit,"💨 Comment l’aviation pollue, ne paie pas, et laisse le débat public se perdre dans les théories du complot",,31076,a93d1122b095d6c8c801b01849a66a031a73cf611fef40e84ac39c6daf698ef3
41,32,198170736,le-paradoxe-francais-66-de-colere,https://giak.substack.com/p/le-paradoxe-francais-66-de-colere,2026-05-18T04:26:35.871Z,true,2026-05-18T04:26:36.037Z,2026-05-18T04:26:36.037Z,newsletter,everyone,"🔬 Le paradoxe français : 66 % de colère, zéro résultat",⚙️ La France détient le record européen de grèves. Elle détient aussi le record d’inefficacité. Ces deux records ne sont pas contradictoires. Ils sont les deux faces du même mécanisme.,,113670,86f6344ffd8e3e87c4d19ccccb55a75b41aede75a58a2bbae89b5d6dc5ead5ba
42,33,197963983,climat-les-deux-escroqueries,https://giak.substack.com/p/climat-les-deux-escroqueries,2026-05-16T07:15:03.496Z,true,2026-05-16T07:15:03.643Z,2026-05-16T07:15:03.643Z,newsletter,everyone,🔥 Climat : les deux escroqueries,"🌍 Le réchauffement est réel. L’industrie de la solution est capturée. Le doute est financé. Deux machines, une inaction.",,40013,a463768e31cdc15f6258925e4a79ae3387d13b8e9447c91cbcc278599c1e0062
43,34,194966421,la-constellation-davril,https://giak.substack.com/p/la-constellation-davril,2026-04-21T21:46:01.548Z,true,2026-04-21T21:46:01.710Z,2026-04-21T21:46:01.710Z,newsletter,everyone,🌌 La constellation d’avril,"Quinze symptômes, un seul système.",,52016,28aa0744d1b2f001a443a0eb310e0cc3c01c41db7bdf4b74f25eda2e4b205607
44,35,194695720,larchitecture-a-luvre,https://giak.substack.com/p/larchitecture-a-luvre,2026-04-20T06:05:12.190Z,true,2026-04-20T06:05:12.355Z,2026-04-20T06:05:12.355Z,newsletter,everyone,🏗️ L'architecture à l'œuvre,"🎯 Ce que la fresque annonçait, les 17 et 18 avril l’ont confirmé.",,63350,2b9d31cb885f2260efa646e43b0fbcc0fca86fb84d871c3fd688bf3e02781507
45,36,194518266,lingenierie-de-lenclos,https://giak.substack.com/p/lingenierie-de-lenclos,2026-04-19T05:35:51.073Z,true,2026-04-19T05:35:51.225Z,2026-04-19T05:35:51.225Z,newsletter,everyone,🐕L’ingénierie de l’enclos,"🚔 Quinze bornes sur un territoire. Chacune semble isolée. Reliées, elles ne dessinent plus une image : elles délimitent une prison.",,51915,4a9598cb8399f2a09fa000aa17328980910e0e5cd8f0ae483e72e527a74a981b
46,37,194422681,le-leviathan-de-verre,https://giak.substack.com/p/le-leviathan-de-verre,2026-04-16T16:39:49.821Z,true,2026-04-16T16:39:50.000Z,2026-04-16T16:39:50.000Z,newsletter,everyone,🕸️ Le Léviathan de verre,Quinze événements documentés. L’architecture d’une dépossession légale.,,43547,97ad62aa5b72b0500ac67701c370761d6e6cf03f77c46760db885419cb53c61d
47,38,194130616,le-protocole-du-re-enracinement,https://giak.substack.com/p/le-protocole-du-re-enracinement,2026-04-13T23:03:22.771Z,true,2026-04-13T23:03:22.910Z,2026-04-13T23:03:22.910Z,newsletter,everyone,🌳 Le protocole du ré-enracinement,Comment sortir de la machine sans jamais la combattre ⚙️,,18485,6b4d31fbd24bd84a2c075eb88dded27025aa1bfe0fec64f092f83f92f92d9709
48,39,194040178,lingenierie-de-la-possession,https://giak.substack.com/p/lingenierie-de-la-possession,2026-04-13T10:48:17.930Z,true,2026-04-13T10:48:18.081Z,2026-04-13T10:48:18.081Z,newsletter,everyone,⚙️ L’INGÉNIERIE DE LA POSSESSION,⛓️ Anatomie d’une machine acéphale : pourquoi la résistance est la maintenance du système,,42379,c02126c1ac3d9c457b3991c11d096f59f8b7fea2576b808926543164bef4895a
49,40,193809543,audiovisuel-public-anatomie-dune,https://giak.substack.com/p/audiovisuel-public-anatomie-dune,2026-04-10T16:12:27.265Z,true,2026-04-10T16:12:27.432Z,2026-04-10T16:12:27.432Z,newsletter,everyone,⚖️ AUDIOVISUEL PUBLIC : ANATOMIE D’UNE CAPTURE D’ÉTAT,🚩 Chronique d’une prédation financière sous bouclier pénal (1958-2026),,14856,f4bd430a3f001926e6129144e08de5b75d111ae814ced865b414590c95e18bb3
50,41,193730222,la-commission-qui-devait-eclairer,https://giak.substack.com/p/la-commission-qui-devait-eclairer,2026-04-09T21:04:21.399Z,true,2026-04-09T21:04:21.579Z,2026-04-09T21:04:21.579Z,newsletter,everyone,🗳️ La commission qui devait éclairer la France va peut-être être enterrée pour 25 ans,"📺 Comment l’audiovisuel public français est devenu une machine à enrichir les réseaux privés, et pourquoi on fait tout pour faire disparaître les preuves.",,46772,84e1bd3562e258acc73810ca6ae6d305ae84c482fa16e0d30fcd8f5ce4da9f98
51,42,193327603,ce-que-le-corps-sait-et-que-la-machine,https://giak.substack.com/p/ce-que-le-corps-sait-et-que-la-machine,2026-04-06T07:57:02.316Z,true,2026-04-06T07:57:02.505Z,2026-04-06T07:57:02.505Z,newsletter,everyone,🧊 Ce que le corps sait et que la machine ne saura jamais,🫀 L’ultime frontière que l’intelligence artificielle ne franchira pas,,24529,88ce9e9f986004f5982cff50345f0bd406de6cd797ee48a794b2a309d3ed87bf
52,43,193239406,oak-island-le-mecanisme-de-capture,https://giak.substack.com/p/oak-island-le-mecanisme-de-capture,2026-04-05T09:27:10.633Z,true,2026-04-05T09:27:10.782Z,2026-04-05T09:27:10.782Z,newsletter,everyone,🕳️ Oak Island : le mécanisme de capture cognitive,"⛏️ 230 ans de fouilles, 130 millions de dollars, six morts, zéro trésor. L’enquête que personne ne veut lire.",,53717,46e1cf5898acdd39cca54d16cbb4eb00be3b865a10c16d24bb1141c5d92bdf9e
53,44,193017697,comment-la-richesse-verrouille-le,https://giak.substack.com/p/comment-la-richesse-verrouille-le,2026-04-03T05:22:37.777Z,true,2026-04-03T05:22:37.953Z,2026-04-03T05:22:37.953Z,newsletter,everyone,🔒 Comment la richesse verrouille le système,🔍 Des alternatives existent. Aucune n’est adoptée. Cette investigation identifie les cinq points de rupture du circuit financier qui les bloque.,,50280,34d17c9c78147e6be4654962b58d2755c6174fb105d2b47f47ea8d91523fe791
54,45,192726440,le-vampire-de-la-croissance,https://giak.substack.com/p/le-vampire-de-la-croissance,2026-03-31T21:57:00.096Z,true,2026-03-31T21:57:00.307Z,2026-03-31T21:57:00.307Z,newsletter,everyone,🩸LE VAMPIRE DE LA CROISSANCE,⚙️ Pourquoi le débat croissance versus décroissance est un leurre conçu pour masquer le vrai mécanisme : l’extraction systématique du vivant.,,36334,3eb1bed338e2ccfa1f6a030cba3e30c8f67f4ac2975db44c913895143dd561ae
