section,source_no,citation_count
"5. Après publication : corriger, contextualiser, réparer",27,1
"5. Après publication : corriger, contextualiser, réparer",28,2
"5. Après publication : corriger, contextualiser, réparer",31,1
"5. Après publication : corriger, contextualiser, réparer",32,1
"5. Après publication : corriger, contextualiser, réparer",42,1
"5. Après publication : corriger, contextualiser, réparer",43,1
"5. Après publication : corriger, contextualiser, réparer",44,1
"5. Après publication : corriger, contextualiser, réparer",58,1
"5. Après publication : corriger, contextualiser, réparer",59,1
"5. Après publication : corriger, contextualiser, réparer",61,1
"5. Après publication : corriger, contextualiser, réparer",62,1
"5. Après publication : corriger, contextualiser, réparer",67,1
"5. Après publication : corriger, contextualiser, réparer",68,1
"5. Après publication : corriger, contextualiser, réparer",78,1
"5. Après publication : corriger, contextualiser, réparer",79,1
"5. Après publication : corriger, contextualiser, réparer",81,2
"5. Après publication : corriger, contextualiser, réparer",86,2
"5. Après publication : corriger, contextualiser, réparer",90,3
"5. Après publication : corriger, contextualiser, réparer",91,1
"5. Après publication : corriger, contextualiser, réparer",92,1
"5. Après publication : corriger, contextualiser, réparer",93,1
"5. Après publication : corriger, contextualiser, réparer",94,1
"5. Après publication : corriger, contextualiser, réparer",95,1
"5. Après publication : corriger, contextualiser, réparer",96,1
"5. Après publication : corriger, contextualiser, réparer",97,1
"5. Après publication : corriger, contextualiser, réparer",98,1
"5. Après publication : corriger, contextualiser, réparer",100,1
6. Test adversarial : ce que l’enquête a dû retirer,4,1
6. Test adversarial : ce que l’enquête a dû retirer,7,1
6. Test adversarial : ce que l’enquête a dû retirer,12,1
6. Test adversarial : ce que l’enquête a dû retirer,13,1
6. Test adversarial : ce que l’enquête a dû retirer,14,1
6. Test adversarial : ce que l’enquête a dû retirer,15,1
6. Test adversarial : ce que l’enquête a dû retirer,28,1
6. Test adversarial : ce que l’enquête a dû retirer,34,1
6. Test adversarial : ce que l’enquête a dû retirer,35,1
6. Test adversarial : ce que l’enquête a dû retirer,36,3
6. Test adversarial : ce que l’enquête a dû retirer,72,1
6. Test adversarial : ce que l’enquête a dû retirer,76,1
6. Test adversarial : ce que l’enquête a dû retirer,87,1
6. Test adversarial : ce que l’enquête a dû retirer,90,1
6. Test adversarial : ce que l’enquête a dû retirer,92,1
6. Test adversarial : ce que l’enquête a dû retirer,93,1
6. Test adversarial : ce que l’enquête a dû retirer,99,1
6. Test adversarial : ce que l’enquête a dû retirer,101,1
7. Un standard de confiance en trois temps,29,1
7. Un standard de confiance en trois temps,31,1
7. Un standard de confiance en trois temps,32,1
Conclusion : la confiance n’exclut pas le contrôle,38,1
Conclusion : la confiance n’exclut pas le contrôle,39,1
Conclusion : la confiance n’exclut pas le contrôle,41,1
Conclusion : la confiance n’exclut pas le contrôle,102,1
Conclusion : la confiance n’exclut pas le contrôle,103,1
