id,periode,strate_ou_regime,dispositif_ou_cas,peuple_titulaire,initiative_citoyenne_autonome,agenda_public_contraint,decision_populaire_directe,mandat_ou_programme_opposable,revocation_des_elus,veto_ou_abrogation_populaire,controle_continu_opposable,filtre_principal,effet_reel,anti_strate_ou_ouverture,pilote_a_l_origine,mecanisme_de_persistance,qualite_preuve,verdict_forensique,sources
FR12,1850,Restriction électorale,Loi du 31 mai 1850 et condition de résidence,P,0,0,0,0,0,0,0,"Condition de résidence excluant environ trois millions d'électeurs","Réduction intentionnelle du corps électoral populaire","Mobilisation républicaine et rétablissement ultérieur du suffrage","Majorité conservatrice de l'Assemblée","Peur sociale et contrôle des listes",A,"Exemple net de réversibilité de l'inclusion populaire","https://www2.assemblee-nationale.fr/decouvrir-l-assemblee/histoire/le-suffrage-universel"
FR13,1852-1870,Second Empire,Suffrage universel masculin sous candidatures officielles et plébiscites,1,0,0,1,0,0,0,0,"Appareil d'État, candidatures officielles, presse et définition des questions","Forte légitimation populaire d'un exécutif autoritaire","Libéralisation progressive en fin de régime et sanction plébiscitaire finale","Louis-Napoléon Bonaparte","Couplage suffrage-plébiscite-administration",A,"Le vote peut coexister avec une très faible autonomie d'agenda; cas canonique du plébiscitarisme","https://www.conseil-constitutionnel.fr/les-constitutions-dans-l-histoire/constitution-de-1852-second-empire"
FR14,1875-1940,Troisième République,Parlementarisme représentatif sans référendum national,P,0,0,0,0,0,0,P,"Partis, notables et assemblées détiennent initiative et décision; mandat représentatif","Parlement central, exécutif politiquement dépendant; peuple sanctionne par élections","Libertés de presse, réunion, syndicalisation et association renforcent l'influence entre élections","Lois constitutionnelles de 1875 et majorités républicaines","Routines parlementaires, partis et légitimité électorale",A,"Réfute une domination exécutive continue mais confirme l'absence du peuple-législateur","https://www.assemblee-nationale.fr/dyn/histoire-et-patrimoine/troisieme-republique"
FR15,1872-1889,Justice administrative,Justice déléguée puis arrêt Cadot,NA,0,0,0,0,0,0,1,"Accès contentieux, intérêt à agir, juge professionnel","L'administration devient juridiquement contestable par les administrés","Contre-pouvoir opposable et production de droits","Législateur de 1872 puis Conseil d'État","Autonomisation jurisprudentielle et légitimité de l'État de droit",A,"Anti-verrou juridique réel; contrôle de légalité et non transfert d'agenda politique","https://www.conseil-etat.fr/qui-sommes-nous/le-conseil-d-etat/histoire-et-patrimoine/histoire-du-conseil-d-etat"
FR16,1881-1901,Libertés collectives,Presse syndicats et associations,NA,0,P,0,0,0,0,P,"Influence sans obligation juridique de suite","Accroît fortement la capacité d'organisation, d'information et de pression","Crée des corps intermédiaires autonomes après Le Chapelier","Majorités républicaines et mouvements sociaux","Institutionnalisation durable des libertés publiques",A,"Anti-strate majeure: on ne vote pas seulement puis on se tait; mais la parole ne devient pas décision","https://www.vie-publique.fr/fiches/23886-les-libertes-publiques-sous-la-iiie-republique"
FR17,1936,Mobilisation électorale et sociale,Front populaire et accords Matignon,P,0,P,0,0,0,P,P,"Programme parlementaire, négociation gouvernement-patronat-syndicats et rapport de force gréviste","Vote, grèves et négociation produisent des réformes substantielles","Congés payés, semaine de quarante heures, conventions collectives","Coalition électorale, gouvernement Blum, syndicats et grévistes","Institutionnalisation sociale des acquis",A,"Contre-exemple à l'impuissance totale; pas à l'absence d'initiative légale populaire autonome","https://www.vie-publique.fr/fiches/268973-les-accords-matignon-de-1936"
FR18,1944-1945,Inclusion électorale,Droit de vote et éligibilité des femmes,P,0,0,P,0,0,0,0,"Droit accordé par ordonnance; représentation demeure","Double approximativement la population civique électorale","Égalité politique formelle des sexes","GPRF et Assemblée consultative","Constitutionnalisation ultérieure de l'égalité",A,"Anti-strate fondamentale d'inclusion, tardive; ne modifie pas les pouvoirs opératoires des électeurs","https://www.vie-publique.fr/eclairage/23920-droit-de-vote-des-femmes-quelques-etapes"
FR19,1945-1946,Refondation constituante,Deux référendums constitutionnels de 1946,1,0,0,1,0,0,1,P,"Les assemblées rédigent et soumettent; les citoyens n'initient pas le texte","Le rejet de mai oblige les représentants à rédiger un nouveau projet","Veto constituant effectif du corps électoral","GPRF et assemblées constituantes","Référendum comme procédure exceptionnelle de fondation",A,"Vrai cas de décision populaire contraignante, mais agenda et propositions restent élitaires","https://www.conseil-constitutionnel.fr/les-constitutions-dans-l-histoire/constitution-de-1946-ive-republique"
FR20,1946-1958,Quatrième République,Parlementarisme de souveraineté nationale,1,0,0,P,0,0,0,P,"Initiative et décision représentatives; instabilité des coalitions","Assemblée dominante mais citoyen toujours non législateur","Préambule social, pluralisme et élections compétitives","Constituante de 1946","Partis, administration et compromis parlementaires",A,"Le Parlement peut dominer l'exécutif sans que le peuple gouverne directement","https://www.conseil-constitutionnel.fr/les-constitutions-dans-l-histoire/constitution-de-1946-ive-republique"
FR21,1958,Cinquième République,Constitution et parlementarisme rationalisé,1,0,0,P,0,0,0,P,"Référendum convoqué par autorités; initiative des lois réservée au Premier ministre et aux parlementaires; mandat impératif nul","Exécutif renforcé et domaine parlementaire encadré","Suffrage, référendum d'en haut, contrôle parlementaire et juridictionnel","De Gaulle, Debré, gouvernement et Comité consultatif","Texte, fait majoritaire, mode de scrutin et présidentialisation",A,"Noyau contemporain: peuple souverain en titre, électeur et parfois arbitre, presque jamais initiateur","https://www.conseil-constitutionnel.fr/le-bloc-de-constitutionnalite/texte-integral-de-la-constitution-du-4-octobre-1958-en-vigueur"
FR22,1962,Présidentialisation,Élection du président au suffrage universel direct,1,0,0,P,0,0,0,P,"Candidatures filtrées; pouvoirs exercés librement après l'élection","Renforce le lien de légitimité direct et la centralité présidentielle","Sanction présidentielle périodique plus claire","De Gaulle; référendum de l'article 11 contesté","Couplage légitimité directe, majorité parlementaire et calendrier électoral",A,"Accroît le choix populaire d'une personne mais concentre la délégation au lieu de la rendre continue","https://www.vie-publique.fr/fiches/19412-lelection-du-president-de-la-republique-au-suffrage-universel-direct"
FR23,1969,Référendum présidentiel,Rejet du projet de régionalisation et départ de de Gaulle,1,0,0,1,0,P,1,P,"Question et moment choisis par le président; révocation non prévue mais engagement politique personnel","Le non bloque le projet et provoque une démission volontaire","Veto populaire effectif et sanction personnelle exceptionnelle","De Gaulle","Norme politique du référendum engageant; non juridiquement obligatoire pour le titulaire",A,"Contre-exemple à l'idée d'un vote toujours décoratif; ne crée aucun droit citoyen de déclenchement ou de révocation","https://www.vie-publique.fr/eclairage/24021-le-referendum-du-27-avril-1969"
FR24,1971-1974,Justice constitutionnelle,Bloc de constitutionnalité et saisine élargie,NA,0,0,0,0,0,0,1,"Saisine réservée à des autorités politiques avant 2010","Lois davantage contrôlables au regard des droits","Opposition parlementaire dotée d'un recours","Conseil constitutionnel puis révision de 1974","Juridicisation des droits et stratégies de l'opposition",A,"Anti-verrou juridictionnel; le juge contrôle les représentants sans transmettre le pouvoir législatif aux citoyens","https://www.conseil-constitutionnel.fr/la-constitution/la-protection-des-droits-et-libertes"
FR25,1981-1983,Alternance et programme,Élection de François Mitterrand et 110 propositions,P,0,0,P,0,0,0,P,"Programme politiquement prometteur mais juridiquement non opposable; majorité présidentielle","Réformes importantes puis tournant de la rigueur et arbitrages non soumis à ratification populaire","Alternance substantielle: abolition de la peine de mort, nationalisations, décentralisation","Électeurs, candidat, partis et majorité","Responsabilité électorale différée; contraintes économiques et européennes",A,"Réfute « rien n'est appliqué »; confirme que l'électeur ne peut exiger ni empêcher les écarts au programme","https://www.vie-publique.fr/eclairage/268535-francois-mitterrand-president-1981-1995-14-annees-de-transformations"
FR26,1982-1983,Décentralisation,Lois Defferre,NA,0,P,0,0,0,0,P,"Assemblées locales représentatives; contrôle de légalité préfectoral a posteriori","Transfert de compétences et fin de la tutelle administrative préalable","Pluralise les centres de décision territoriaux","Gouvernement Mauroy, Gaston Defferre et Parlement","Intérêts des collectivités et constitutionnalisation ultérieure",A,"Anti-strate réelle contre la centralisation; la démocratie locale demeure surtout représentative","https://www.vie-publique.fr/fiches/19608-quest-ce-que-lacte-i-de-la-decentralisation-les-lois-defferre"
FR27,2000-2002,Architecture électorale,Quinquennat puis inversion du calendrier,P,0,0,P,0,0,0,P,"Présidentielle précède les législatives; mode de scrutin majoritaire","Tend à donner au président élu une majorité d'exécution et à subordonner l'élection législative","Mandat présidentiel raccourci et cohabitation toujours juridiquement possible","Référendum de 2000 puis loi organique de 2001","Incitations électorales et discipline majoritaire; effet non absolu visible en 2022-2024",A,"Couplage stratifié plus probant que l'idée d'un complot; renforce la délégation présidentielle","https://www.vie-publique.fr/eclairage/272060-quinquennat-presidentiel-retour-sur-le-referendum-du-24-septembre-2000"
FR28,2003,Participation locale,Référendum décisionnel et droit de pétition locaux,P,P,P,P,0,0,P,P,"Référendum organisé à l'initiative de la collectivité; pétition demande seulement l'inscription à l'ordre du jour","Ouvre une décision directe territoriale sous contrôle institutionnel","Expérimentation locale et consultation des électeurs","Révision constitutionnelle de 2003","Usage limité, seuils et initiative institutionnelle",A,"Ouverture partielle; ne constitue pas un RIC national ni même une initiative locale pleinement autonome","https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000006527593"
FR29,2005-2008,Europe et révision constitutionnelle,Rejet du traité constitutionnel puis ratification parlementaire du traité de Lisbonne,1,0,0,1,0,0,1,P,"Exécutifs négocient; Parlement autorise la ratification après révision; aucun référendum obligatoire pour Lisbonne","Le TCE rejeté n'entre pas en vigueur; un texte juridiquement distinct reprend une grande partie de sa substance institutionnelle","Le non de 2005 produit une rupture juridique et retarde/reconfigure le projet","Gouvernements et institutions européennes; constituants dérivés","Asymétrie d'agenda: les gouvernants peuvent reformuler et resoumettre par une autre voie","A,"Cas fort de contournement politique de la volonté exprimée, mais « vote annulé » ou « même texte » seraient factuellement excessifs","https://www.senat.fr/rap/r07-188/r07-188_mono.html | https://www.europarl.europa.eu/factsheets/fr/sheet/5/le-traite-de-lisbonne"
FR30,2006,Mobilisation sociale,Retrait du contrat première embauche,P,0,P,0,0,0,P,P,"Pression de rue, syndicats et opinion; aucun droit populaire de retrait automatique","Loi promulguée mais dispositif abandonné après mobilisation","Veto social de fait exceptionnellement efficace","Gouvernement, Parlement, syndicats, étudiants et manifestants","Coût politique, blocage social et médiation","A,"Contre-exemple à l'impuissance; exemple de veto extrajuridique, inégal et coûteux","https://www.vie-publique.fr/eclairage/272805-le-contrat-premiere-embauche-cpe-chronologie"
FR31,2008-2015,Référendum d'initiative partagée,RIP de l'article 11,1,0,P,P,0,0,P,P,"Initiative réservée à un cinquième des parlementaires; soutien d'un dixième des électeurs; examen des deux chambres peut éviter le référendum","Crée une voie théorique jamais déclenchée jusqu'au référendum","Soutien électoral formalisé et contrôle du Conseil constitutionnel","Révision constitutionnelle de 2008 et loi organique de 2013","Seuils, gatekeeping parlementaire et fenêtre procédurale",A,"Le nom est trompeur: ce n'est pas une initiative populaire autonome","https://qpc360.conseil-constitutionnel.fr/commentaire-decision-2013-681-dc-0 | https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000019241004"
FR32,2010-,Justice constitutionnelle,QPC ouverte aux justiciables,NA,0,0,0,0,0,0,1,"Litige préalable, filtre des juridictions suprêmes, contrôle limité aux droits et libertés constitutionnels","Permet l'abrogation de dispositions législatives inconstitutionnelles","Pouvoir citoyen indirect mais juridiquement opposable","Révision de 2008, législateur organique et juridictions","Usage contentieux diffus et jurisprudence",A,"Meilleur contre-exemple à la formule « citoyens sans aucun droit au chapitre »; contrôle de droits, non souveraineté d'agenda","https://www.conseil-etat.fr/decisions-de-justice/qpc-et-questions-a-la-cjue/questions-prioritaires-de-constitutionnalite"
FR33,2015-,Assemblée nationale,Pétitions citoyennes en ligne,P,P,P,0,0,0,0,P,"Commission filtre; à 500 000 signatures dans trente départements la Conférence des présidents décide encore de débattre ou non","Peut produire rapport, audition ou débat mais aucun vote obligatoire","Canal public de mise à l'agenda","Bureau et règlement de l'Assemblée","Faible coût institutionnel et faculté discrétionnaire de suite",A,"Sas participatif: expression reconnue, agenda non contraint, décision représentative","https://petitions.assemblee-nationale.fr/pages/parcours_petition"
FR34,2010-,CESE,Pétition citoyenne au Conseil économique social et environnemental,P,P,P,0,0,0,0,P,"150 000 soutiens dans un an; le CESE rend un avis non contraignant","Peut imposer l'examen par le CESE, pas par le législateur ni le gouvernement","Visibilité, expertise et participation organisée","Révisions constitutionnelles et lois organiques","Institution consultative sans pouvoir normatif","A,"Initiative d'avis, non initiative de loi; ne réfute pas le verrou décisionnel","https://www.lecese.fr/petitions-citoyennes/petitions-mode-demploi"
FR35,1995-,Démocratie environnementale,CNDP et débats publics,P,P,P,0,0,0,0,P,"Périmètre légal, saisine et maîtrise d'ouvrage; recommandations non contraignantes","Le porteur doit rendre compte de la suite, peut modifier ou abandonner","Information, contradictoire et traçabilité de la réponse","Législateur et autorités environnementales","Professionnalisation de la participation et obligations procédurales",A,"Anti-verrou procédural sérieux mais absence d'autorité décisionnelle citoyenne","https://www.debatpublic.fr/sites/default/files/2022-04/MODE-D-EMPLOI-CNDP.pdf"
FR36,2018-2019,Mouvement social,Gilets jaunes et revendication du RIC,P,0,P,0,0,0,P,P,"Mobilisation coûteuse; agenda décidé par le gouvernement; absence de mécanisme RIC","Obtient moratoire fiscal et mesures de pouvoir d'achat, pas la réforme souverainiste centrale","Grand débat, visibilité des territoires et concessions matérielles","Mobilisés, exécutif, élus, syndicats faibles et forces de l'ordre","Concessions budgétaires et absorption consultative de la crise",A,"Cas central: le régime répond mais conserve le monopole des instruments; perméabilité sans co-gouvernement","https://www.vie-publique.fr/eclairage/268303-gilets-jaunes-les-dates-cles-du-mouvement"
FR37,2019-2020,RIP en pratique,RIP Aéroports de Paris,1,0,P,0,0,0,P,P,"248 parlementaires initient; environ 1,09 million de soutiens, loin du seuil d'environ 4,7 millions","Proposition déclarée conforme mais procédure arrêtée faute de soutiens","Première mobilisation nationale formalisée autour du RIP","Parlementaires d'opposition et citoyens soutiens","Seuil très élevé, ergonomie et faible mobilisation",A,"Expérience probante du filtre; dire que le Conseil constitutionnel l'a rejetée serait faux","https://www.conseil-constitutionnel.fr/decision/2020/2019-1-8RIP.htm"
FR38,2019-2021,Convention citoyenne,Convention citoyenne pour le climat,P,P,P,0,0,0,0,P,"Mandat fixé par l'exécutif; membres tirés au sort; suites traduites et sélectionnées par gouvernement et Parlement","Produit 149 propositions mais sans transmission automatique ni opposabilité du « sans filtre »","Délibération informée et influence substantielle sur le débat","Présidence, CESE, comité de gouvernance et citoyens tirés au sort","Discrétion gouvernementale dans la traduction normative",A,"Démocratie délibérative consultative; illustre l'écart entre parole institutionnalisée et décision","https://www.conventioncitoyennepourleclimat.fr/"
FR39,2023,Parlementarisme rationalisé,Réforme des retraites et article 49.3 sur le PLFRSS,P,0,P,0,0,0,0,P,"Monopole gouvernemental du texte financier, délais constitutionnels, vote bloqué au Sénat, 49.3 à l'Assemblée, contrôle constitutionnel","Réforme adoptée malgré opposition sociale et sans vote final positif de l'Assemblée sur le texte","Motions de censure, mobilisation, contrôle du Conseil constitutionnel et RIP tenté","Gouvernement, majorité relative, Parlement, syndicats et juridictions","Procédures constitutionnelles couplées et discipline de coalition négative","A,"Cas le plus fort de dépossession contemporaine: légalité formelle élevée, autorisation populaire substantielle faible","https://www.assemblee-nationale.fr/dyn/synthese/fonctionnement-assemblee-nationale/travail-legislatif/l-examen-parlementaire-des-lois-de-finances | https://www.vie-publique.fr/fiches/19494-le-recours-larticle-493-de-la-constitution"
FR40,2024-2025,Fragmentation parlementaire,Dissolution majorité relative censures et instabilité,P,0,P,0,0,0,P,P,"Scrutin majoritaire, coalitions parlementaires, nomination présidentielle du Premier ministre","Le vote modifie fortement les rapports de force et peut faire tomber le gouvernement; il ne fixe pas un programme positif commun","Parlement retrouve du pouvoir; censure effective et négociations","Électeurs, président, partis et groupes parlementaires","Fragmentation et absence de mécanisme populaire d'arbitrage autonome",A,"Réfute un exécutif omnipotent; confirme que la sortie de blocage demeure intrareprésentative","https://www.assemblee-nationale.fr/dyn/17/dossiers/censure_gouvernement"
FR41,2025-2026,Réforme proposée,Proposition de loi constitutionnelle pour un RIC délibératif,P,P,P,1,P,P,1,P,"Texte seulement proposé puis examiné en commission; révision constitutionnelle exige article 89","Si adopté, transférerait initiative constituante législative suspensive et locale sous garanties","Montre qu'un contre-modèle est juridiquement concevable et politiquement débattu","Députés auteurs, commission des lois et associations","À ce stade aucun droit constitutionnel nouveau en vigueur",A,"Ne pas écrire qu'aucun projet n'existe; écrire qu'aucun RIC national citoyen n'est actuellement opposable","https://www.assemblee-nationale.fr/dyn/17/dossiers/instaurer_referendum_initiative_citoyenne_deliberatif_17e"
FR42,1958-2026,Architecture juridique actuelle,Articles 3 11 24 27 39 48 68 89,1,0,0,P,0,0,0,P,"Citoyens choisissent les représentants; Président et parlementaires contrôlent référendum, loi, ordre du jour, destitution et révision; mandat impératif nul","Autorisation électorale périodique et sanction rétrospective; aucune compétence citoyenne générale de déclenchement national","Droits, pluralisme, référendums d'en haut, QPC, alternance et contrôle parlementaire","Constituant de 1958 et révisions successives","Complémentarité du texte, fait majoritaire, partis, coûts de révision et intérêts des titulaires",A,"Confirmation forte de la thèse étroite: le peuple est souverain en titre, électeur en pratique, gouvernant presque jamais","https://www.conseil-constitutionnel.fr/le-bloc-de-constitutionnalite/texte-integral-de-la-constitution-du-4-octobre-1958-en-vigueur"
FR43,1958-2026,Partis et carrière politique,Discipline de groupe investitures et sélection des candidatures,P,0,P,0,0,0,0,P,"Mandat légalement libre des électeurs mais dépendance politique aux partis, groupes, financement et investiture","Le représentant est non lié par les instructions des électeurs mais souvent discipliné par sa coalition","Dissidence, groupes, primaires, médias et sanction électorale demeurent possibles","Partis, groupes parlementaires et règles électorales","Incitations de carrière, contrôle des candidatures et besoin de majorité stable",B,"Asymétrie centrale: indépendance juridique vis-à-vis de l'électeur, dépendance pratique vis-à-vis de l'appareil; intensité variable à mesurer","https://www.vie-publique.fr/parole-dexpert/300166-autonomie-travail-parlementaire-discipline-organisation-du-parlement | https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000006527492"
FR44,2022-2026,Sélection sociale,Participation électorale et recrutement social inégaux,P,0,0,P,0,0,0,P,"Ressources, diplôme, âge, métier, temps disponible et réseaux","Cadres votent bien davantage que les ouvriers non qualifiés; élus locaux socialement sursélectionnés","Suffrage juridiquement égal, financement public, pluralisme associatif","Effets cumulés sans architecte unique; partis et structures sociales","Avantages cumulatifs, abstention différentielle et professionnalisation",A,"Le peuple n'est pas seulement écarté par le droit: il s'auto-sélectionne socialement de façon inégale; causalité à ne pas réduire à une caste consciente","https://www.insee.fr/fr/statistiques/6658143 | https://www.insee.fr/fr/statistiques/6658145 | https://www.sciencespo.fr/cevipof/sites/sciencespo.fr.cevipof/files/Municipales_LR_oligarchiemunicipale_mai2026.pdf"
FR45,2024-2026,Représentation d'intérêts,Lobbying déclaré et accès organisé,NA,0,P,0,0,0,0,P,"Ressources financières, expertise, accès aux décideurs et capacité de suivi","Plus de 3 500 représentants inscrits; majorité des actions vise le Parlement et le contenu des textes","Registre HATVP, pluralité incluant entreprises, syndicats et associations, obligations déclaratives","Législateur, HATVP et organisations d'intérêts","Besoin d'expertise des décideurs et professionnalisation de l'influence",A,"Prouve une asymétrie d'accès organisée, pas à elle seule une capture ni une oligarchie unifiée","https://www.hatvp.fr/presse/representation-dinterets-ce-quil-faut-retenir-de-lanalyse-des-declarations-du-repertoire-pour-lexercice-2024/"
FR46,2009-2026,Union européenne,Initiative législative de la Commission et initiative citoyenne européenne,P,P,P,0,0,0,0,P,"Un million de citoyens peuvent inviter la Commission; elle motive sa réponse mais n'est pas tenue de légiférer; initiative législative générale surtout Commission","Ajoute un niveau de délégation et de négociation entre institutions et États","Parlement européen élu, contrôle juridictionnel, consultations et ECI","Traités ratifiés par les États et institutions de l'Union","Mise en commun de compétences, interdépendance et coûts de sortie","A,"Strate supplémentaire de distance, mais pas simple pouvoir étranger: les gouvernements français participent aux décisions; l'ECI est un agenda consultatif","https://citizens-initiative.europa.eu/how-it-works_en | https://eur-lex.europa.eu/EN/legal-content/glossary/legislative-proposals.html"
FR47,1958-2026,Programmes électoraux,Réalisation comparée de 921 promesses présidentielles,P,0,0,P,0,0,0,P,"Promesses non opposables; arbitrage exécutif et parlementaire; sanction seulement différée","Environ 60 % des promesses sont partiellement ou totalement réalisées en moyenne sur cinq mandats, avec forte variation","Le vote oriente réellement une partie de l'action publique","Candidats, partis, majorité, administration et contraintes de contexte","Réputation, cohésion de majorité et capacité gouvernementale; faible récompense électorale mesurée",A,"Réfute « rien n'est fait »; confirme l'absence de recours citoyen contre les reniements","https://conference.sciencespo.fr/content/2026-01-22/en-france-tenir-ses-promesses-electorales-ne-rapporte-rien_KeNSsPOpMAIsVitZuouJ"
FR48,1905-2026,Laïcité,Séparation des cultes et neutralité de l'État,NA,0,0,0,0,0,0,P,"Droit commun, liberté de conscience, neutralité des pouvoirs publics","Organise les rapports entre État, cultes et citoyens; aucun mécanisme démontré sur l'initiative législative populaire","Liberté de conscience, pluralisme et égalité devant la loi","Législateurs de 1905 et jurisprudences ultérieures","Constitutionnalisation en 1946-1958 et consensus républicain conflictuel",A,"Variable adjacente, non cause prouvée du verrou né en 1789; l'intégrer causalement sans mécanisme serait un anachronisme","https://www.laicite.gouv.fr/quest-ce-que-laicite | https://www.vie-publique.fr/eclairage/20200-la-laicite-en-france-depuis-la-revolution-chronologie"
