article_no,date,verification_inv002,post_id,title,keywords,relevance,reuse_policy,claim_posture,traceability_links,word_count,external_links,actors,mechanisms,dimensions,central_claim_from_corpus,evidence_anchors_from_index,explicit_limits_refutations,gaps_reuse_warning,url
11,2026-07-01,NOT_REVERIFIED,204390820.larchitecture-de-la-dependance,⛓️ L'architecture de la dépendance,"système, économie",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,4213,21,ETAT_FR,DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT|PSYCHO_COMPORTEMENT|DEPENDANCE_ECONOMIQUE,JURIDIQUE|PSYCHOLOGIQUE|POLITIQUE|ECONOMIQUE,Formule Ω = (Invisibilité × Confort) / (Visibilité × Précarité).,64 secteurs scorés (1 710 Md€ cartographiés). 8 profils-types du retraité (clé de voûte) au syndicaliste (employé de la révolte par l'État).,,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/larchitecture-de-la-dependance
12,2026-06-30,NOT_REVERIFIED,204169916.le-debat-qui-nexistait-pas-6-mecanismes,"🕳️ Le débat qui n'existait pas : 6 mécanismes, un seul récit","médias, contrôle, Europe, défense",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,3580,12,ETAT_FR|UE|MEDIAS|ENTREPRISES_FINANCE|UKRAINE,LOBBYING_RESEAUX|CADRAGE_NARRATIF|MEDIAS_AGENDA|CAPTURE_INSTITUTIONNELLE|COERCITION_ADMIN|PSYCHO_COMPORTEMENT|GUERRE_SECURITE,PSYCHOLOGIQUE|NARRATIVE,Transcript forensique du Club BFM du 27 juin 2026 (segment Ukraine).,"Transcript forensique du Club BFM du 27 juin 2026 (segment Ukraine). 4 experts : 3 sans aucune expertise militaire ou diplomatique, un lieutenant-colonel hors service depuis 21 ans.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-debat-qui-nexistait-pas-6-mecanismes
13,2026-06-28,NOT_REVERIFIED,203962785.un-geyser-de-6-metres-a-clichy-autopsie,🌊 Un geyser de 6 mètres à Clichy : autopsie d'une manipulation sous canicule,"système, médias, contrôle, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,4700,38,UE|ENTREPRISES_FINANCE|RUSSIE,FINANCEMENT_FLUX|CADRAGE_NARRATIF|INGERENCE_ETRANGERE|COERCITION_ADMIN,TECHNIQUE|NARRATIVE,"Vidéo d'un geyser à Clichy postée par @RafaelSereti (51k abonnés, 205k vues) et @camille_moscow (Storm-1516/GRU, 13k vues) à 44 min d'intervalle.","Vidéo d'un geyser à Clichy postée par @RafaelSereti (51k abonnés, 205k vues) et @camille_moscow (Storm-1516/GRU, 13k vues) à 44 min d'intervalle. Derrière l'anecdote : contrat Veolia/SEDIF 4,3 Md€ (plus grand d'Europe, validé malgré bug informatique), projet FMHP 1 Md€, ministre Barbut sans déport (153k€ actions, 3 mandats).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/un-geyser-de-6-metres-a-clichy-autopsie
14,2026-06-21,NOT_REVERIFIED,202848231.lecart-legalitelegitimite-la-signature,🔬 L'écart légalité/légitimité : la signature du régime politique français,"système, démocratie, médias, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,6200,87,ETAT_FR|UE|ALLEMAGNE,DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|CORRUPTION_TRAFFIC|ELECTION_CONSENTEMENT,JURIDIQUE|ANTHROPOLOGIQUE|POLITIQUE|ETHIQUE,Thèse de la post-démocratie (Colin Crouch) appliquée à la France.,"5 mécanismes : 49.3/ordonnances (82 % jamais ratifiées), concentration médiatique (5 milliardaires = 75 % audience), performativité/logocratie (407 déclarations contredites, 1 Md€/an com'), sous-dotation chronique (justice 0,19 % PIB), caste auto-reproduite (CELSA→cabinets→agences). 5 boucles de rétroaction sans autocorrection.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/lecart-legalitelegitimite-la-signature
15,2026-06-18,NOT_REVERIFIED,202607767.le-systeme-informatique-detat-autopsie,Le Système informatique d'État : autopsie d'une prédation structurelle,"contrôle, système, Europe",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,RICH,5090,59,ETAT_FR|UE|PLATEFORMES_BIGTECH,FINANCEMENT_FLUX|COERCITION_ADMIN,TECHNIQUE|ECONOMIQUE,"487 M€ d'amendes CNIL 2025, zéro aux victimes, 100 % au budget général.","487 M€ d'amendes CNIL 2025, zéro aux victimes, 100 % au budget général. 5 ESN = 94 % des marchés IT (3,08 Md€).",,,https://giak.substack.com/p/le-systeme-informatique-detat-autopsie
16,2026-06-15,NOT_REVERIFIED,202002466.eloge-de-la-surface,⚓ ÉLOGE DE LA SURFACE,"résistance, système, philosophie",CONTEXT,CONTEXT_ONLY,MIXED,RICH,5328,28,CITOYENS_MOUVEMENTS,FINANCEMENT_FLUX|DEPENDANCE_ECONOMIQUE,ECONOMIQUE,L'ombre est une scène de crime (art.,"450-1, 421-2-6, 222-14-2, CL46). Musée des vaincus : durée de vie moyenne d'un militant clandestin = 2-3 ans.",,,https://giak.substack.com/p/eloge-de-la-surface
17,2026-06-09,NOT_REVERIFIED,201207190.lyhanna-autopsie-dun-systeme-a-deux,🔬 Lyhanna : autopsie d'un système à deux vitesses,"justice, système, médias",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,3519,24,ETAT_FR|UE,DROIT_REGULATION,JURIDIQUE|ETHIQUE,"Lyhanna, 11 ans, assassinée le 29 mai 2026.","Lyhanna, 11 ans, assassinée le 29 mai 2026. Barella : 9 procédures (dont 4 plaintes viol sur mineur), 0 interpellation.",,,https://giak.substack.com/p/lyhanna-autopsie-dun-systeme-a-deux
18,2026-06-08,NOT_REVERIFIED,201110112.19-civilisations-5000-ans-une-lecon,"🏛️ 19 civilisations, 5000 ans, une leçon : la France n'est pas le modèle, elle est l'exception","système, philosophie, géopolitique",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,4433,45,ETAT_FR,LOBBYING_RESEAUX|CADRAGE_NARRATIF|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE,JURIDIQUE|ECONOMIQUE|NARRATIVE,14 civilisations/20 ont fusionné droit/religion/économie/morale (fusion 4D).,14 civilisations/20 ont fusionné droit/religion/économie/morale (fusion 4D). La France post-1789/1905 est l'exception radicale (6 seulement ont tenté la dissociation).,,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/19-civilisations-5000-ans-une-lecon
19,2026-06-05,NOT_REVERIFIED,200815786.lagenda-legislatif-precede-la-violence,📋 L'agenda législatif précède la violence de la rue : l'échec des politiques publiques est devenu un modèle économique.,"Europe, travail",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,6771,59,ETAT_FR|UE|GOLFE|CITOYENS_MOUVEMENTS,MEDIAS_AGENDA|MODERATION_CENSURE|DROIT_REGULATION|SURVEILLANCE_DONNEES,JURIDIQUE|TECHNIQUE|ECONOMIQUE|SOCIALE,"Loi RIPOST votée 4 jours AVANT le match PSG (26 mai, faits le 30 mai) : la loi précède la crise qu'elle est censée répondre.","Loi RIPOST votée 4 jours AVANT le match PSG (26 mai, faits le 30 mai) : la loi précède la crise qu'elle est censée répondre. 890 interpellations, 721 GAV, 62 départements touchés.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/lagenda-legislatif-precede-la-violence
20,2026-05-30,NOT_REVERIFIED,199655242.le-numerique-colonise-70-des-donnees,"💻 Le Numérique colonisé : 70 % des données françaises sur serveurs américains, zéro souveraineté","[SÉRIE] démocratie, contrôle, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,2746,22,ETAT_FR|UE|PLATEFORMES_BIGTECH|USA,FINANCEMENT_FLUX|DROIT_REGULATION|SURVEILLANCE_DONNEES|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT|COERCITION_ADMIN,JURIDIQUE|TECHNIQUE|ANTHROPOLOGIQUE|POLITIQUE|ECONOMIQUE|SOCIALE|ETHIQUE|SCIENTIFIQUE,"70% des données françaises sur serveurs américains, 95% marché données personnelles capté par GAFAM.","70% des données françaises sur serveurs américains, 95% marché données personnelles capté par GAFAM. Taxe GAFAM 800 M€/an vs 20-30 Md€ CA réel, taux effectif IS 5-10% vs 25% entreprises françaises.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-numerique-colonise-70-des-donnees
21,2026-05-30,NOT_REVERIFIED,199655311.la-justice-fantome-020-du-pib-86,"⚖️ La Justice Fantôme : 0,20 % du PIB, 86 000 détenus, 27 % de confiance — anatomie du verrou judiciaire","[SÉRIE] système, Europe, justice",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,2695,18,ETAT_FR|UE,FINANCEMENT_FLUX|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|COERCITION_ADMIN,JURIDIQUE|ECONOMIQUE|ETHIQUE,"Justice volontairement sous-dimensionnée : 0.20% PIB vs 0.31% UE, 11.3 juges/100k vs 21.9 UE, 3.2 procureurs/100k vs 11.2 UE (CEPEJ).","Justice volontairement sous-dimensionnée : 0.20% PIB vs 0.31% UE, 11.3 juges/100k vs 21.9 UE, 3.2 procureurs/100k vs 11.2 UE (CEPEJ). Budget police +50% depuis 2017 (LOPMI +15 Md€) vs justice à 0.20% PIB constant = ratio 2.5:1, asymétrie exprimant une doctrine : répression visible sans jugement.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/la-justice-fantome-020-du-pib-86
22,2026-05-30,NOT_REVERIFIED,199655164.le-verrou-28-recours-au-493-57-dabstention,"🔒 Le Verrou : 28 recours au 49.3, 57 % d’abstention, 9 propriétaires qui contrôlent 90 % des médias : la démocratie neutralisée","[SÉRIE] système, démocratie, médias, contrôle, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,4437,27,ETAT_FR|UE|MEDIAS|CITOYENS_MOUVEMENTS,FINANCEMENT_FLUX|MEDIAS_AGENDA|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT|COERCITION_ADMIN,JURIDIQUE|POLITIQUE|ECONOMIQUE|ETHIQUE|SCIENTIFIQUE,Trois verrous emboîtés neutralisent la démocratie sans coup d'État.,"Institutionnel : 49.3 utilisé 28 fois en 9 ans (dont 23 sous Borne en 18 mois, record), 120 ordonnances (2017-2024), 90% des lois adoptées sans vote (CEVIPOF 2025), débat parlementaire −40% depuis 2017, Conseil constitutionnel court-circuité (censures procédurales contournées par réécriture). Médiatique : 9 propriétaires contrôlent 90% de la diffusion (Arcom 2024) — empire Bolloré structurellement déficitaire (audit Sextant), investissement politique ; biais CNews documenté (Cagé 2024 : 40,4% temps de parole extrême droite vs 17,4% moyenne) ; 200 journalistes partis ; SLAPP contre Mediapart/France Inter ; audiovisuel public mis au pas depuis 2017 (nominations sous tutelle, −50M€ 2024).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-verrou-28-recours-au-493-57-dabstention
23,2026-05-30,NOT_REVERIFIED,199655095.la-defense-rongee-449-md-sans-munitions,"⚔️ La Défense rongée : 449 Md€ sans munitions, 101 voyages ELNET, 24 pays sans standard français : la souveraineté stratégique dissoute de l’intérieur","[SÉRIE] démocratie, défense, Europe",DIRECT,ANCHOR_RECHECK_MATERIAL,MIXED,RICH,4060,29,UE|LOBBIES_THINKTANKS|USA|RUSSIE|ISRAEL|IRAN,FINANCEMENT_FLUX|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|INGERENCE_ETRANGERE|ELECTION_CONSENTEMENT|DEPENDANCE_ECONOMIQUE|GUERRE_SECURITE,JURIDIQUE|ANTHROPOLOGIQUE|POLITIQUE|ECONOMIQUE,"Paradoxe : France = 7e économie mondiale, 3e exportateur d'armement (SIPRI), dissuasion nucléaire, mais incapable de soutenir un conflit de haute intensité plus de quelques semaines (avis PLF 2026).","Paradoxe : France = 7e économie mondiale, 3e exportateur d'armement (SIPRI), dissuasion nucléaire, mais incapable de soutenir un conflit de haute intensité plus de quelques semaines (avis PLF 2026). 449 Md€ (LPM 2024-2030) : budget 2026 à 57,2 Md€ (+13,2%), mais stocks de munitions vides, retard critique drones (dépendance US Reaper/Israël Harfang, Eurodrone pas avant 2030), choix du haut de gamme (Rafale 200 M€, SNA 1,5 Md€, dissuasion 5 Md€/an) vs masse conventionnelle (équipements individuels insuffisants — rapport sénatorial LPM 2023).",,,https://giak.substack.com/p/la-defense-rongee-449-md-sans-munitions
