id,before,after,title
INV-090,PARTIAL,SUBSTANTIAL_PRIOR,"Shadow banning, démonétisation, déréférencement et friction algorithmique : existence, fréquence, recours"
INV-091,NEW,PARTIAL,Moteurs de recherche et recommandation : structuration de l’exposition politique sans produire de contenu
INV-092,NEW,PARTIAL,"IA générative, deepfakes et opérations d’influence automatisées : changement d’échelle réel ou panique anticipatoire ?"
INV-093,NEW,PARTIAL,"Financement des campagnes françaises : argent, prêts, micro-partis, prestations, contournements possibles"
INV-095,NEW,SUBSTANTIAL_PRIOR,"Sélection des candidats avant l’élection : partis, financeurs, réseaux, médias, grandes écoles et cooptation"
INV-096,NEW,PARTIAL,Microtargeting électoral et données personnelles en France/UE
INV-097,PARTIAL,SUBSTANTIAL_PRIOR,"Bots, faux comptes, astroturfing et amplification artificielle pendant les élections"
INV-102,PARTIAL,SUBSTANTIAL_PRIOR,"Consentement sans choix réel : verrou institutionnel, offre politique, abstention, vote stratégique et légitimité"
INV-104,NEW,SUBSTANTIAL_PRIOR,Mensonge institutionnel → défiance → vulnérabilité à la manipulation : la boucle causale existe-t-elle ?
INV-105,NEW,PARTIAL,"Autorité, conformisme et obéissance : ce que Milgram, Asch et recherches contemporaines permettent réellement d’extrapoler"
INV-106,PARTIAL,SUBSTANTIAL_PRIOR,"Peur et production de menace : terrorisme, guerre, pandémie, climat, immigration, cybermenaces"
INV-107,NEW,PARTIAL,Moral panics et politiques publiques : comment un événement devient urgence collective
INV-108,NEW,PARTIAL,"Identité politique, tribalisme et raisonnement motivé : pourquoi les faits seuls échouent"
INV-109,NEW,PARTIAL,"Illusory truth, répétition et familiarité : limites réelles du pouvoir propagandiste"
INV-110,NEW,PARTIAL,"Learned helplessness, efficacité politique et résignation démocratique"
INV-111,PARTIAL,SUBSTANTIAL_PRIOR,Économie de l’indignation : médias et plateformes transforment-ils la colère en produit plutôt qu’en action ?
INV-112,PARTIAL,SUBSTANTIAL_PRIOR,"Complotisme comme symptôme, marché et instrument politique : causes réelles, exploitations et erreurs institutionnelles"
INV-113,NEW,PARTIAL,"Franc-maçonnerie : sociologie des réseaux, accès, cooptation et décisions démontrables"
INV-114,NEW,PARTIAL,"Le Siècle : composition, circulation des élites, accès et influence démontrable"
INV-115,NEW,PARTIAL,"Bilderberg : participants, agenda, réseaux, mythes et effets réellement traçables"
INV-116,NEW,PARTIAL,"WEF / Young Global Leaders : sélection, réseaux, idées, trajectoires et limites des inférences de contrôle"
INV-117,NEW,PARTIAL,"French-American Foundation / Young Leaders : réseau transatlantique, carrières et influence démontrable"
INV-119,NEW,SUBSTANTIAL_PRIOR,"Grandes écoles, ENA/INSP, Inspection des finances : reproduction, circulation et concentration des élites administratives"
INV-120,NEW,PARTIAL,"Finance et banques : lobbying, revolving doors, dépendance réglementaire et pouvoir de marché sur la décision publique"
INV-121,NEW,PARTIAL,"Industrie pharmaceutique : lobbying, expertise, recherche, régulation, médias et conflits d’intérêts"
INV-122,NEW,SUBSTANTIAL_PRIOR,"Industrie de défense : commandes publiques, lobbying, think tanks, médias et politique étrangère"
INV-123,NEW,SUBSTANTIAL_PRIOR,"Big Tech : lobbying, infrastructures, modération, données, dépendance étatique et pouvoir normatif"
INV-124,NEW,PARTIAL,"Debanking, paiements, sanctions et accès financier comme infrastructure privée/publique de coercition"
