event_id,date,actor,actor_class,topic,event_type,output_or_claim,state_at_date,later_state,audit_class,repair_or_update,downstream_use,downstream_actor,source_url,adjudication_anchor_url,confidence,notes
F200-011,2020-2022,Hoaxbuster,COLLABORATIVE_DEBUNKER_RUMOR_HUNTER,provenance,archive-pattern,Covid archive mixes original debunks with items explicitly marked 'Source externe'.,Provenance is sometimes visible; relay should not be counted as independent evidence.,Current archive preserves this distinction for sampled items.,PROVENANCE_VISIBLE,No global correction ledger found.,Often acts as amplifier/curator as well as original debunker.,AFP/WHO/other external sources,https://www.hoaxbuster.com/covid19,,MEDIUM_HIGH,Use source-level provenance in any quantitative audit.
F200-012,2020-11-17,Fake Off association,MEDIA_LITERACY_EDUCATION,Hold-Up / vaccine,TV intervention,"Secretary-general Lucile Berland appears on franceinfo for 'Complots, covid-19 et vaccin' after Hold-Up.","Pedagogical/expert mediation, not a newsroom verdict record.",No claim-level correction ledger applicable.,MEDIA_LITERACY_NOT_VERDICT_PRODUCER,N/A,Expert voice used by public broadcaster.,franceinfo,https://www.fakeoff.fr/notre-actu/,,HIGH,Do not confuse with 20 Minutes Fake Off.
F200-013,2020-12-02,Fake Off association,MEDIA_LITERACY_EDUCATION,Covid misinformation,interview,"Bondy Blog interview on dangerous effects of fake news, including Covid.",Media-literacy framing.,No claim-level verdict to adjudicate.,MEDIA_LITERACY_NOT_VERDICT_PRODUCER,N/A,Used as expert/education source.,Bondy Blog,https://www.fakeoff.fr/notre-actu/,,HIGH,
F200-014,2020-12,Fake Off association,MEDIA_LITERACY_EDUCATION,media literacy,school intervention,Journalists conduct school interventions on disinformation.,Education function.,N/A,MEDIA_LITERACY_NOT_VERDICT_PRODUCER,N/A,Educational uptake.,Schools / local education,https://www.fakeoff.fr/notre-actu/,,HIGH,
F200-015,2020-03,Journalistes Solidaires,COLLABORATIVE_FACTCHECK_INITIATIVE,Covid misinformation,launch/workflow,"Decentralized open newsroom collects doubtful claims, prioritizes virality/feasibility, investigates, edits, publishes.",Genuine structured fact-check workflow.,Operated March 2020–January 2022 per CheckFirst retrospective.,GENUINE_FACTCHECK,Correction ledger not recovered from current archive.,Collaborations and downstream reuse documented.,France Télévisions; France24/Observateurs; TF1,https://checkfirst.network/project/journalistes-solidaires/,,HIGH,
F200-016,2020-05-15,Journalistes Solidaires,COLLABORATIVE_FACTCHECK_INITIATIVE,Covid misinformation,profile,France Télévisions reports 69 investigations and 186 subjects verified in under two months.,Confirms scale and structured role in fact-checking.,Historical site continuity is weak today.,STRUCTURAL_EVIDENCE,No correction ledger recovered.,France Télévisions profiles/legitimizes the initiative.,France Télévisions,https://www.meta-media.fr/2020/05/15/alerte-covid-19-quand-des-journalistes-pigistes-benevoles-debunkent-des-fake-news.html,,HIGH,
F200-017,2020-06-19,Journalistes Solidaires,COLLABORATIVE_FACTCHECK_INITIATIVE,Covid surcharge,downstream-reuse,TF1 explicitly credits Journalistes Solidaires for tracing a 25-cent 'aide coronavirus' restaurant charge and builds its legal/contextual analysis from there.,Direct reuse by a mainstream verifier.,No correction issue identified.,DOWNSTREAM_UPTAKE,N/A,Concrete newsroom-to-newsroom uptake.,TF1 Info,https://www.tf1info.fr/societe/facturer-l-aide-au-coronavirus-est-bien-legal-dans-des-conditions-particulieres-2157084.html,,HIGH,
F200-018,2020-07,CheckFirst,TECH_RESEARCH_MONITORING_INFRASTRUCTURE,Covid disinformation,institution-formation,"Founders met through Journalistes Solidaires while fighting Covid misinformation; company created to support fact-checkers, institutions and researchers.",Infrastructure descends from a Covid fact-check initiative but is not itself a verdict newsroom.,2022 retrospective explicitly says they did not want to become another fact-checking entity.,INFRASTRUCTURE_NOT_VERDICT_PRODUCER,N/A,"Tools/methodologies used by fact-checkers, institutions, researchers.",OIF; fact-checkers; institutions; researchers,https://checkfirst.network/2-years-of-checkfirst/,,HIGH,
F200-019,2022-07-27,CheckFirst,TECH_RESEARCH_MONITORING_INFRASTRUCTURE,organizational identity,retrospective,CheckFirst explicitly states it did not want to become another fact-checking entity.,Strong self-description boundary evidence.,Still consistent with later role.,FUNCTION_BOUNDARY_CONFIRMED,N/A,"Supports ecosystem taxonomy, not a Covid verdict audit.",—,https://checkfirst.network/2-years-of-checkfirst/,,HIGH,
F200-020,2021-05-14,Fact & Furious,FACTCHECK_INVESTIGATIVE_MEDIA_HISTORICAL,vaccine magnetism,experiment,Uses a simple honey experiment to show objects can adhere to skin without vaccine magnetism.,Useful demonstration against viral magnetism videos; not by itself the full scientific proof.,TF1 reuses the experiment while adding independent expert/composition checks.,CORRECT_WITH_BOUNDS,No correction identified.,Direct reuse by TF1 verifier.,TF1 Info,https://www.tf1info.fr/sante/une-reaction-magnetique-post-vaccination-ces-videos-ne-prouvent-rien-2186097.html,,HIGH,Original F&F page no longer reliably accessible; downstream preserves the use.
F200-021,2021-05-26,Fact & Furious,FACTCHECK_INVESTIGATIVE_MEDIA_HISTORICAL,vaccine/AVC,source-lead,F&F obtains comments from Lyon fire-service hierarchy after a viral firefighter video alleging vaccine-linked strokes.,Serves as source lead; TF1 independently checks with ANSM/pharmacovigilance.,No material issue found in this downstream-preserved element.,DOWNSTREAM_UPTAKE,N/A,TF1 cites F&F and then independently verifies with authorities.,TF1 Info,https://www.tf1info.fr/sante/vaccination-covid-19-pandemie-y-a-t-il-une-hausse-des-avc-chez-des-patients-vaccines-comme-l-assure-un-pompier-de-lyon-sur-reseaux-sociaux-2187084.html,,HIGH,
F200-022,2021-05/08,Fact & Furious,FACTCHECK_INVESTIGATIVE_MEDIA_HISTORICAL,Fazze influence operation,investigation,Investigates influencer briefings in campaign disparaging Pfizer; Meta later cites Fact & Furious in its July 2021 CIB report.,Material investigative contribution corroborated by Meta's threat report.,Meta used the reporting in a platform-level investigation and shared findings with partners/researchers/law enforcement/policymakers.,STRONG_DOWNSTREAM_UPTAKE,N/A,Platform/institutional reuse.,Meta/Facebook,https://about.fb.com/wp-content/uploads/2021/08/July-2021-CIB-Report.pdf,https://about.fb.com/news/2021/08/july-2021-coordinated-inauthentic-behavior-report/,HIGH,Meta report page 15 attributes influencer briefing details to Fact & Furious.
F200-023,2021-08-06,Fact & Furious,FACTCHECK_INVESTIGATIVE_MEDIA_HISTORICAL,pharmacovigilance,contested-factcheck,"Article titled roughly 'No, Covid vaccine adverse effects are not ten times higher than other vaccines' contests raw VigiAccess comparisons.","Core methodological warning is supported: spontaneous reports are suspected, not proven causal, and cannot alone compare safety profiles.",A detailed adversarial response alleges several specific technical mistakes; original F&F page/archive is not currently sufficient for full adjudication.,CONTESTED_NOT_FULLY_ADJUDICATED,Correction history unknown due archive discontinuity.,The F&F label was reportedly used by Mediapart Club moderation in dispute with the original blogger.,Mediapart Club (reported by author),https://blogs.mediapart.fr/enzo-lolo/blog/060821/covid-19-letiquette-fact-checker-est-elle-gage-de-competence,https://who-umc.org/media/1147/umc-vigiaccess.pdf,MEDIUM_HIGH,Do not state 'F&F was wrong' globally; specific calculations need original snapshot.
F200-024,2022-02-04,Fact & Furious,FACTCHECK_INVESTIGATIVE_MEDIA_HISTORICAL,Raoult/Aberkane,cross-actor-reuse,La Tronche en Biais says its debunk relies substantially on Antoine Daoust / Fact & Furious.,Direct cross-debunker reuse.,No independence should be inferred from repetition.,DOWNSTREAM_UPTAKE,N/A,F&F material reused by La Tronche en Biais.,La Tronche en Biais,https://menace-theoriste.fr/masterclass-en-imposture-idriss-aberkane/,,HIGH,
F200-025,2022-02-08,Fact & Furious / Factoscope,FACTCHECK_MEDIA_COALITION_MEMBERS,election fact-checking,coalition,Both appear among Objectif Désinfox coalition members coordinated by AFP with Google France support.,"Institutional/professional amplification and distribution mechanism, not proof of correctness.",Coalition aimed to pool and make fact-checks more visible.,INSTITUTIONAL_AMPLIFICATION,Coalition charter includes visible corrections principles.,Cross-media distribution.,AFP / Google France / coalition media,https://www.afp.com/sites/default/files/afpcommunique/202202/pdf/cpobjectifdesinfox08022022fr.pdf,,HIGH,Post-Covid-peak but relevant to who amplified/legitimated their outputs.
F200-026,2021-07-09,Factoscope,FACTCHECK_PORTAL_AGGREGATOR,vaccine trials phase 3,binary-verdict,"Labels Olivier Véran's 'phase 3 is finished for months, validated' as Faux, based on Le Monde.",Literal claim is false: phase 3 follow-up continued.,Le Monde source simultaneously said Véran was right on the substantive point that vaccines were not simply 'experimental' in the colloquial sense.,CORRECT_NARROW_BUT_LOSES_SOURCE_NUANCE,No visible repair found in sampled page.,Repackages third-party verification into Factoscope binary label.,Le Monde → Factoscope,https://factoscope.fr/factoscope1722/la-phase-3-des-essais-de-vaccin-est-terminee-depuis-des-mois-elle-est-validee/,https://www.lemonde.fr/les-decodeurs/article/2021/07/08/covid-19-les-essais-de-phase-3-des-vaccins-sont-ils-termines-depuis-des-mois-comme-l-affirme-olivier-veran_6087580_4355770.html,HIGH,
F200-027,2021-12-03,Factoscope,FACTCHECK_PORTAL_AGGREGATOR,child vaccination,binary-verdict,Labels Marine Le Pen's statement that benefit/risk was unfavorable for child vaccination as Faux.,At that date HAS had recommended vaccination for fragile 5–11-year-olds but had not yet recommended universal 5–11 vaccination and said broader decision was forthcoming.,On 20 Dec 2021 HAS became favorable to offering vaccination to all 5–11-year-olds without obligation.,VERDICT_TOO_CATEGORICAL_AT_DATE,No visible temporal qualification/repair found in sampled page.,Repackages LCI verification and gives own binary label.,LCI → Factoscope,https://factoscope.fr/factoscope1722/la-balance-benefice-risque-etait-defavorable-a-la-vaccination-des-enfants/,https://www.has-sante.fr/jcms/p_3302411/fr/covid-19-la-has-recommande-la-vaccination-des-enfants-fragiles,HIGH,Later 20 Dec recommendation does not retroactively make 3 Dec uncertainty disappear.
F200-028,2021-12-20,HAS (adjudication anchor),PUBLIC_HEALTH_AUTHORITY,child vaccination,later-state,"HAS becomes favorable to offering vaccination to all children aged 5–11, without obligation.",Later evidence/policy state.,Shows why temporal dating matters when auditing 3 Dec Factoscope binary verdict.,LATER_STATE_CHANGE,N/A,"Adjudication anchor, not downstream use.",—,https://www.has-sante.fr/jcms/p_3306399/fr/covid-19-la-has-favorable-a-l-ouverture-de-la-vaccination-sans-obligation-aux-enfants-de-5-a-11-ans,,HIGH,
F200-029,2022-02,Factoscope,FACTCHECK_PORTAL_AGGREGATOR,professional network,coalition-member,Included in Objectif Désinfox alongside Fact & Furious and large media outlets.,Shows the aggregator's output entered a professional amplification network.,No correctness inference from membership.,INSTITUTIONAL_AMPLIFICATION,Coalition correction principles exist at network level.,Fact-check pooling/visibility.,AFP / Google France / coalition,https://www.afp.com/sites/default/files/afpcommunique/202202/pdf/cpobjectifdesinfox08022022fr.pdf,,HIGH,
F200-030,2020-04-03,La Tronche en Biais / La Menace Théoriste,SKEPTICISM_SCIENCE_COMMUNICATION_DEBUNKING,epistemic method,editorial,Advocates suspension of judgment and explicitly accepts 'I don't know' when evidence is insufficient.,Strong epistemic baseline for a moving scientific crisis.,Useful positive comparator against later overconfidence.,GOOD_EPISTEMIC_STANDARD,N/A,Public science-communication norm.,Audience / skeptical community,https://menace-theoriste.fr/la-suspension-du-jugement/,,HIGH,
F200-031,2021,La Tronche en Biais / La Menace Théoriste,SKEPTICISM_SCIENCE_COMMUNICATION_DEBUNKING,vaccine transmission,video-claim,Channel stated that vaccines protected against contagion; author later says timing made the statement doubtful/imprudent.,Claim aged poorly across Delta/Omicron and timing.,Explicitly revisited in Feb 2022.,OUTDATED_OR_OVERSIMPLIFIED_AT_DATE,Explicit later self-correction.,Original reach not reconstructed in XQ200.,YouTube audience,https://menace-theoriste.fr/masterclass-en-imposture-idriss-aberkane/,,MEDIUM_HIGH,Original exact video/date should be recovered for full repair-reach comparison.
F200-032,2022-02-04,La Tronche en Biais / La Menace Théoriste,SKEPTICISM_SCIENCE_COMMUNICATION_DEBUNKING,vaccine transmission,self-correction,Explicitly says prior claim about vaccines protecting against contagion was imprudent/doubtful at release and concludes: 'j'ai eu tort'.,Direct admission of error rather than silent update.,Rare strong positive repair case in sampled ecosystem.,SELF_CORRECTED,Explicit self-correction in later public content.,Correction distributed to a large existing audience; historical overlap with original audience not measured.,YouTube / La Menace Théoriste audience,https://menace-theoriste.fr/masterclass-en-imposture-idriss-aberkane/,,HIGH,Do not over-endorse the simplification 'true before Delta'; key finding is the explicit repair.
F200-033,2022-02-04,La Tronche en Biais / Fact & Furious,CROSS_ACTOR_CHAIN,debunking,reuse,La Tronche en Biais states it relies substantially on Fact & Furious / Antoine Daoust in its Aberkane debunk.,Shows claim/evidence can propagate between adjacent actors.,Repetition is not independent corroboration.,DEPENDENT_REUSE,N/A,Cross-actor amplification.,Fact & Furious → La Tronche en Biais,https://menace-theoriste.fr/masterclass-en-imposture-idriss-aberkane/,,HIGH,
F200-034,2020-10-27,EU DisinfoLab,RESEARCH_MONITORING_POLICY_ADVOCACY,hydroxychloroquine/platform moderation,research,Explains that scientific knowledge changed during 2020 and that information correct in April might no longer be correct later; studies Facebook labeling gaps.,Strong explicit temporal model and platform-accountability framing.,Page visibly edited 28 Oct to update a Facebook policy link.,GOOD_TEMPORAL_CALIBRATION,Visible minor edit; conceptual model itself anticipates updates.,Research informs debate on moderation/fact-checking infrastructure.,Platforms / policy community,https://www.disinfo.eu/publications/hydroxychloroquine-and-facebook%3A-the-challenge-of-moderating-scientifically-debatable-claims,,HIGH,
F200-035,2021,EU DisinfoLab,RESEARCH_MONITORING_POLICY_ADVOCACY,vaccine misinformation/Facebook,research,"In a sample of 74 IFCN-debunked vaccine claims, live Facebook posts were still found for 55 (74%) when collected 24 Mar 2021.","Measures persistence of content around debunked claims, not truth-prevalence in France.",Shows correction/moderation reach can be incomplete.,REPAIR_REACH_EVIDENCE,N/A,Used to evaluate platform enforcement rather than produce verdicts.,Facebook / policy ecosystem,https://www.disinfo.eu/publications/covid-19-vaccine-misinformation-and-facebook%3A-the-challenge-of-moderating-anti-vaxx-and-vaccine-hesitant-stances/,,HIGH,Do not transfer 74% as a French/Covid-wide rate.
F200-036,2020-2021,EU DisinfoLab,RESEARCH_MONITORING_POLICY_ADVOCACY,platform labels,research-pattern,Research highlights that fact-check labels can be inconsistently applied or circumvented across near-identical claims.,Mechanism evidence for propagation/repair asymmetry.,Supports article-level distinction between label and effective correction reach.,PLATFORM_PROPAGATION_FINDING,N/A,Policy/platform accountability.,Platforms / researchers,https://www.disinfo.eu/publications/hydroxychloroquine-and-facebook%3A-the-challenge-of-moderating-scientifically-debatable-claims,,HIGH,
F200-037,2020-03-30,EUvsDisinfo / EEAS East StratCom,INSTITUTIONAL_EU_MONITORING_DEBUNKING_STRATCOM,origin,database-entry,Entry summary alleges possible leak from a Wuhan lab; response mainly says no evidence virus was fabricated/used as weapon and cites anti-engineering evidence.,"Response does not fully match accidental-leak claim scope, though it also notes the leak paper lacked clear evidence.",WHO later kept accidental lab leak on table while engineering remained a separate question.,CLAIM_SCOPE_COLLAPSE,No formal correction found in sampled current entry.,Institutional database; findings shared in EU system.,EU institutions / Member States via EEAS,https://euvsdisinfo.eu/report/coronavirus-a-leak-from-a-lab-300m-away-from-markets/,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,Strongest scope-mismatch case.
F200-038,2020-03-31,EUvsDisinfo / EEAS East StratCom,INSTITUTIONAL_EU_MONITORING_DEBUNKING_STRATCOM,origin,database-entry,Entry summary says Covid originates from a Wuhan laboratory; response reframes as artificial creation and says no evidence it was created in labs.,Again partially answers engineering rather than the broader accidental-origin wording.,Accidental leak remains distinct/unresolved; engineering evidence is separate.,CLAIM_SCOPE_COLLAPSE,No formal correction found in sampled current entry.,Institutional database.,EU institutions / public,https://euvsdisinfo.eu/report/covid-19-originates-from-chinese-laboratory-in-wuhan/,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,
F200-039,2020-05-29,EUvsDisinfo / EEAS East StratCom,INSTITUTIONAL_EU_MONITORING_DEBUNKING_STRATCOM,origin,database-entry,Entry headline/summary says 'COVID-19 came from a laboratory'; response addresses artificial creation in laboratories.,Headline/response scope mismatch.,Later origin uncertainty confirms why 'came from lab' and 'engineered' must not be collapsed.,CLAIM_SCOPE_COLLAPSE,No formal correction found in sampled current entry.,Institutional database.,EU institutions / public,https://euvsdisinfo.eu/report/covid-19-came-from-a-laboratory/,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,
F200-040,2020-06-02,EUvsDisinfo / EEAS East StratCom,INSTITUTIONAL_EU_MONITORING_DEBUNKING_STRATCOM,origin,database-entry,Claim bundles French engineering plus accidental escape from China; response says no evidence of human source/artificial origin.,"Because the claim is conjunctive, refuting engineering materially undermines the full claim.",Still distinct from generic accidental leak hypothesis.,CORRECT_WITH_BOUNDS,No repair identified.,Institutional database.,EU institutions / public,https://euvsdisinfo.eu/report/the-coronavirus-was-engineered-in-france-and-a/,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,Counterexample within same actor.
F200-041,2020-04-30,EEAS / EUvsDisinfo,INSTITUTIONAL_EU_MONITORING_DEBUNKING_STRATCOM,institutional uptake,parliament-statement,Josep Borrell says public special reports and database cases are also part of internal/EU institutional information flows; public reports increased site traffic sharply.,"Confirms the actor's outputs sit inside a diplomatic/policy chain, not just a media-debunk chain.",Later EEAS reports explicitly say insights are shared with EU institutions/member states in real time through Rapid Alert System.,STRONG_INSTITUTIONAL_UPTAKE,N/A,Direct policy/institutional distribution.,European Parliament / EU institutions / Member States,https://www.eeas.europa.eu/eeas/disinformation-around-coronavirus-pandemic-opening-statement-hrvp-josep-borrell-european-parliament_en,,HIGH,
F200-042,2021-05-19,EEAS / EUvsDisinfo,INSTITUTIONAL_EU_MONITORING_DEBUNKING_STRATCOM,institutional uptake,special-report,"EEAS says Covid-disinformation insights are shared with EU institutions and Member States in real time, including through Rapid Alert System.",Direct formal uptake channel.,No claim that each individual database entry drove a specific policy decision.,STRONG_INSTITUTIONAL_UPTAKE,N/A,Real-time institutional sharing.,EU institutions / Member States / Rapid Alert System,https://www.eeas.europa.eu/delegations/georgia/read-eeas-special-report-update-short-assessment-narratives-and-disinformation-around-covid_en,,HIGH,"Important distinction: channel demonstrated, causal policy effect not demonstrated."
F200-043,2020-01-31,20 Minutes Fake Off,FACT_CHECKER_STRICT_MEDIA_DESK,origin/laboratory,fact-check,Investigates Wuhan P4 rumor; states there are no concrete elements supporting it at that stage while explicitly saying the hypothesis is not declared impossible.,Strong temporal calibration: absence of evidence is not converted into impossibility.,Compatible with later need to keep accidental laboratory event distinct from engineering claims.,GOOD_TEMPORAL_CALIBRATION,Page visibly updated 10 Feb 2020; no material reversal needed for this bounded formulation.,Used here as strict-control comparator.,—,https://www.20minutes.fr/monde/2707987-20200131-coronavirus-originaire-laboratoire-wuhan-lie-france-retour-rumeur-virale,https://www.who.int/fr/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,Counterexample to a cherry-picked 'fact-checkers closed the lab hypothesis' narrative.
F200-044,2020-04-17,20 Minutes Fake Off,FACT_CHECKER_STRICT_MEDIA_DESK,origin/engineering,fact-check,Refutes Luc Montagnier's HIV-sequence/engineered-virus claim while noting that US intelligence was examining a laboratory-origin possibility and that no evidence supported it at that stage.,Separates engineering evidence from the broader unresolved origin question.,Genomic evidence still does not support deliberate engineering; accidental lab event remains a distinct unresolved hypothesis.,GOOD_TEMPORAL_CALIBRATION,No material correction identified/needed for the bounded claim.,Strict-control comparator.,—,https://www.20minutes.fr/sante/2762791-20200417-non-coronavirus-cree-partir-vih-contrairement-affirme-professeur-luc-montagnier,https://www.who.int/fr/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,Positive control.
F200-045,2020-04-16,Conspiracy Watch,HYBRID_SPECIALIZED_PRESS_DEBUNKING,origin,article-update,Mise à jour d’un article de mars: l’hypothèse d’une fuite accidentelle depuis un laboratoire est distinguée de la fabrication/arme biologique et décrite comme devant encore être étayée.,Actor-level contextualization within 7 days of the 9 April compound wording; not a same-page correction of the 9 April article.,The distinction remains consistent with later origin debates and WHO 2025 framing.,INTERNALLY_CONTEXTUALIZED_EARLY,"Update on a different earlier article; conceptual correction/contextualization, not artifact-level repair of 09/04.",Shows the actor did not uniformly collapse lab leak and engineering throughout April 2020.,—,https://www.conspiracywatch.info/pourquoi-le-coronavirus-nest-probablement-pas-une-arme-biologique.html,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,MàJ source datée 16/04/2020; distinguishes natural-virus accidental lab event from engineered-virus claim.
