finding_id,domain,object,date_or_metric,finding,evidence_type,confidence,status,source_url,notes,action
XQ203A-011,COGNITIVE,Figures existantes,2026-08-25,XQ203 contient déjà 5 figures structurantes; créer de nouvelles figures par défaut est rejeté comme overengineering.,DECISION,HIGH,LOCKED,,Priorité à la lisibilité mobile des figures existantes et aux phrases de consolidation.,NO_NEW_FIGURE_BY_DEFAULT
XQ203A-012,MOBILE_QA,Figures 1-5 à largeur mobile,2026-08-25,"Les SVG ont une largeur de référence de 2400 px et des corps typographiques minimaux de 22 à 23 px. Affichés en pleine largeur à 390 px, ces plus petits textes correspondent à ~3,58-3,74 px CSS; plusieurs annotations secondaires deviennent trop petites sans zoom.",MEASURED+VISUAL_QA,HIGH,NEEDS_PATCH,,Ne pas reconstruire le fond; produire une variante mobile/empilement ou réduire le texte secondaire.,P1_MOBILE_FIGURES
XQ203A-013,TERMINOLOGY,CLEMI première occurrence,2026-08-25,CLEMI apparaît dans le corps sans développement lors de sa première occurrence.,MEASURED,MEDIUM_HIGH,NEEDS_PATCH,https://www.clemi.fr/,Définir « Centre pour l'éducation aux médias et à l'information (CLEMI) » à la première occurrence.,P0_READER_AID
XQ203A-014,TERMINOLOGY,OMS première occurrence,2026-08-25,OMS apparaît dans le corps sans développement lors de sa première occurrence.,MEASURED,MEDIUM,NEEDS_PATCH,,Définir une fois « Organisation mondiale de la Santé (OMS) ».,P0_READER_AID
XQ203A-015,TERMINOLOGY,FDA première occurrence,2026-08-25,FDA apparaît dans le corps sans développement lors de sa première occurrence.,MEASURED,MEDIUM,NEEDS_PATCH,,"Définir une fois « Food and Drug Administration (FDA) », agence américaine du médicament.",P0_READER_AID
XQ203A-016,TERMINOLOGY,EMA première occurrence,2026-08-25,EMA apparaît dans le corps sans développement lors de sa première occurrence.,MEASURED,MEDIUM,NEEDS_PATCH,,Définir une fois « Agence européenne des médicaments (EMA) ».,P0_READER_AID
XQ203A-017,TERMINOLOGY,SEAE première occurrence,2026-08-25,SEAE apparaît dans le corps sans développement lors de sa première occurrence.,MEASURED,MEDIUM,NEEDS_PATCH,,Définir une fois « Service européen pour l'action extérieure (SEAE) ».,P0_READER_AID
XQ203A-018,TERMINOLOGY,HAS première occurrence,2026-08-25,"« Haute Autorité de santé » est écrite avant le premier emploi de HAS, mais l'acronyme n'est pas attaché à cette première mention; la définition formelle arrive plus tard.",MEASURED,LOW_MEDIUM,NEEDS_PATCH,,Attacher (HAS) à la première mention.,P1_READER_AID
XQ203A-019,TERMINOLOGY,OR / IC à 95 %,2026-08-25,Le passage grossesse utilise « OR pondéré » et « IC à 95 % » sans définition locale.,MEASURED,MEDIUM_HIGH,NEEDS_PATCH,,"Définir « rapport des cotes (odds ratio, OR) » et « intervalle de confiance (IC) » ou reformuler en français accessible.",P0_READER_AID
XQ203A-020,TERMINOLOGY,ARNm première occurrence,2026-08-25,ARNm est employé dans l'encadré négatif avant toute définition explicite de « ARN messager ».,MEASURED,MEDIUM,NEEDS_PATCH,,Définir « ARN messager (ARNm) » à la première occurrence utile.,P1_READER_AID
XQ203A-021,TERMINOLOGY,PCR première occurrence,2026-08-25,PCR apparaît dans la présentation de l'expertise de Stojković sans développement.,MEASURED,LOW_MEDIUM,NEEDS_PATCH,,Développer si conservé dans le corps: « réaction en chaîne par polymérase (PCR) ».,P1_READER_AID
XQ203A-022,GAP,Fact & Furious original / historique,2026-08-25,Le corpus ne possède toujours pas l'original complet et son historique de correction; l'adjudication globale reste bloquée.,STATE,HIGH,OPEN,,Ne pas transformer les reprises/adversarial responses en substitut à l'original.,GAP_OPEN
