source_no,category,source_entry,urls,citation_calls
21,"Transmission, passe et « ×12 »","TF1 Info, Jean Castex au 13H, 21 juillet 2021 : https://www.tf1info.fr/sante/video-regles-d-isolement-liees-au-covid-19-les-personnes-vaccinees-ne-seront-plus-cas-contact-confirme-jean-castex-sur-tf1-2191995.html",https://www.tf1info.fr/sante/video-regles-d-isolement-liees-au-covid-19-les-personnes-vaccinees-ne-seront-plus-cas-contact-confirme-jean-castex-sur-tf1-2191995.html,2
22,"Transmission, passe et « ×12 »","*franceinfo / Vrai ou Fake*, Castex, 27 juillet 2021 : https://www.francetvinfo.fr/sante/maladie/coronavirus/vaccin/vrai-ou-fake-vaccins-contre-le-covid-19-jean-castex-a-t-il-raison-d-affirmer-que-les-personnes-ayant-recu-deux-doses-n-ont-plus-de-chance-d-attraper-la-maladie_4712273.html",https://www.francetvinfo.fr/sante/maladie/coronavirus/vaccin/vrai-ou-fake-vaccins-contre-le-covid-19-jean-castex-a-t-il-raison-d-affirmer-que-les-personnes-ayant-recu-deux-doses-n-ont-plus-de-chance-d-attraper-la-maladie_4712273.html,3
23,"Transmission, passe et « ×12 »","*Les Décodeurs*, transmission après vaccination, 29 juillet 2021 : https://www.lemonde.fr/les-decodeurs/article/2021/07/29/peut-on-transmettre-le-covid-19-en-etant-vaccine_6089910_4355770.html",https://www.lemonde.fr/les-decodeurs/article/2021/07/29/peut-on-transmettre-le-covid-19-en-etant-vaccine_6089910_4355770.html,1
24,"Transmission, passe et « ×12 »","Institut Pasteur, mise à jour du 6 septembre 2021 : https://modelisation-covid19.pasteur.fr/evaluate-control-measures/impact-partially-vaccinated-population/",https://modelisation-covid19.pasteur.fr/evaluate-control-measures/impact-partially-vaccinated-population/,1
25,"Transmission, passe et « ×12 »","*Les Décodeurs*, limites du passe sanitaire, 10 septembre 2021 : https://www.lemonde.fr/les-decodeurs/article/2021/09/10/les-limites-du-passe-sanitaire-en-sept-questions_6094179_4355770.html",https://www.lemonde.fr/les-decodeurs/article/2021/09/10/les-limites-du-passe-sanitaire-en-sept-questions_6094179_4355770.html,1
26,"Transmission, passe et « ×12 »","*CheckNews*, « À quoi sert le pass vaccinal si le vaccin n’empêche pas la transmission ? », 8 janvier 2022 : https://www.liberation.fr/checknews/a-quoi-sert-le-pass-vaccinal-si-le-vaccin-nempeche-pas-la-transmission-20220108_CIGRE5W2LFENXCE5TCTEXLO4VI/",https://www.liberation.fr/checknews/a-quoi-sert-le-pass-vaccinal-si-le-vaccin-nempeche-pas-la-transmission-20220108_CIGRE5W2LFENXCE5TCTEXLO4VI/,1
27,"Transmission, passe et « ×12 »","*AFP Factuel*, retour rétrospectif sur la transmission, 18 octobre 2022 : https://factuel.afp.com/doc.afp.com.32LA33T",https://factuel.afp.com/doc.afp.com.32LA33T,2
28,"Origine, sélection et standards","*PolitiFact*, Li-Meng Yan, fact-check retiré de la base avec note éditoriale en mai 2021 : https://www.politifact.com/factchecks/2020/sep/16/li-meng-yan/tucker-carlson-guest-airs-debunked-conspiracy-theo/",https://www.politifact.com/factchecks/2020/sep/16/li-meng-yan/tucker-carlson-guest-airs-debunked-conspiracy-theo/,3
29,"Origine, sélection et standards","*AFP Factuel*, origine du SARS-CoV-2, juin 2021 : https://factuel.afp.com/doc.afp.com.9BQ44V",https://factuel.afp.com/doc.afp.com.9BQ44V,1
30,"Origine, sélection et standards","Charles Louis-Sidois, « Both Judge and Party? Investigating the Political Unbiasedness of Fact-Checkers », *JEEA*, 2025 : https://academic.oup.com/jeea/article/23/6/2137/8087339",https://academic.oup.com/jeea/article/23/6/2137/8087339,2
31,"Origine, sélection et standards","IFCN, *Code of Principles : The commitments* : https://ifcncodeofprinciples.poynter.org/the-commitments",https://ifcncodeofprinciples.poynter.org/the-commitments,3
32,"Origine, sélection et standards","EFCSN, *Code of Standards* : https://efcsn.com/code-of-standards/",https://efcsn.com/code-of-standards/,2
33,Continuité éditoriale et tests adversariaux,"« Qui fabrique l’autorité du vrai ? », enquête précédente : https://giak.substack.com/p/qui-fabrique-lautorite-du-vrai",https://giak.substack.com/p/qui-fabrique-lautorite-du-vrai,2
34,Continuité éditoriale et tests adversariaux,"[*Annexe méthodologique du triple codage*](annexes/QUINTESSENCE_ANNEXE_METHODO_TRIPLE_CODAGE_2026-08-22.md), 22 août 2026 : périmètre des 15 interventions, règles d’extraction et de segmentation, catégories C0/C1/C2/U, accords inter-systèmes, partition disjointe des 154 propositions et registre de comparaison.",,1
35,Continuité éditoriale et tests adversariaux,"[*Pré-enregistrement « affirmations à fort enjeu de contrainte »*](annexes/XQ181_G04C_PREREG_INTRADOCUMENT_2026-08-22.md), 22 août 2026 : règle de sélection gelée des 15 documents, équilibre 5/5/5 Macron-Castex-Véran et critères de sélection avant arbitrage documentaire.",,1
36,Continuité éditoriale et tests adversariaux,"[*Dossier de réplication de l’audit 14 dossiers / 41 questions*](replication14/QUINTESSENCE_FALSIFICATION_V5_1_FROZEN_2026-08-23.md), 24 août 2026 : manifeste gelé, empreinte du protocole, règles du validateur, matrice finale, synthèse inter-systèmes, limites et empreintes des fichiers.",,3
37,Autre vérification étroite conservée comme contre-preuve,"*AFP Factuel*, rumeur « 251 fois » : https://factuel.afp.com/doc.afp.com.9LM7L9",https://factuel.afp.com/doc.afp.com.9LM7L9,1
38,Cadre juridique et matériel du choix Covid,"Légifrance, loi n° 2021-1040 du 5 août 2021 relative à la gestion de la crise sanitaire, article 14 : https://www.legifrance.gouv.fr/jorf/article_jo/JORFARTI000043909693",https://www.legifrance.gouv.fr/jorf/article_jo/JORFARTI000043909693,2
39,Cadre juridique et matériel du choix Covid,"Légifrance, loi n° 2022-46 du 22 janvier 2022 renforçant les outils de gestion de la crise sanitaire, article 1er (passe vaccinal) : https://www.legifrance.gouv.fr/jorf/article_jo/JORFARTI000045062856",https://www.legifrance.gouv.fr/jorf/article_jo/JORFARTI000045062856,1
40,Cadre juridique et matériel du choix Covid,"Commission européenne, portefeuille européen de vaccins contre la Covid-19, jusqu’à 4,2 milliards de doses sécurisées : https://commission.europa.eu/strategy-and-policy/coronavirus-response/safe-covid-19-vaccines-europeans_fr",https://commission.europa.eu/strategy-and-policy/coronavirus-response/safe-covid-19-vaccines-europeans_fr,1
41,Cadre juridique et matériel du choix Covid,"Sénat, réponse du ministère de la Santé du 23 mars 2023 sur les professionnels suspendus au titre de l’obligation vaccinale : https://www.senat.fr/questions/base/2022/qSEQ220902933.html",https://www.senat.fr/questions/base/2022/qSEQ220902933.html,2
42,"Correction, influence persistante et réparation","Walter N. & Tukachinsky R., « A Meta-Analytic Examination of the Continued Influence of Misinformation in the Face of Correction », *Communication Research*, 2020 : https://journals.sagepub.com/doi/10.1177/0093650219854600",https://journals.sagepub.com/doi/10.1177/0093650219854600,1
43,"Correction, influence persistante et réparation","Ecker U. K. H. et al., « The psychological drivers of misinformation belief and its resistance to correction », *Nature Reviews Psychology*, 2022 : https://doi.org/10.1038/s44159-021-00006-y",https://doi.org/10.1038/s44159-021-00006-y,1
44,"Correction, influence persistante et réparation","Chuai Y. et al., « Community-based fact-checking reduces the spread of misleading posts on X (formerly Twitter) », *Nature Communications*, 2026 : https://www.nature.com/articles/s41467-026-72597-0",https://www.nature.com/articles/s41467-026-72597-0,1
45,Saturation informationnelle et répétition,"Shahrzadi L., Mansouri A., Alavi M., Shabani A., « Causes, consequences, and strategies to deal with information overload: A scoping review », *International Journal of Information Management Data Insights*, 2024 : https://doi.org/10.1016/j.jjimei.2024.100261",https://doi.org/10.1016/j.jjimei.2024.100261,2
46,Saturation informationnelle et répétition,"Ye S. et al., « Systematic review and meta-analysis of the evidence for an illusory truth effect and its determinants », *Nature Communications*, 2026 : https://doi.org/10.1038/s41467-026-70041-x",https://doi.org/10.1038/s41467-026-70041-x,2
47,Efficacité du fact-checking : résultats favorables et limites,"Walter N., Cohen J., Holbert R. L., Morag Y., « Fact-Checking: A Meta-Analysis of What Works and for Whom », *Political Communication*, 2020 : https://doi.org/10.1080/10584609.2019.1668894",https://doi.org/10.1080/10584609.2019.1668894,1
48,Efficacité du fact-checking : résultats favorables et limites,"Walter N., Brooks J. J., Saucier C. J., Suresh S., « Evaluating the Impact of Attempts to Correct Health Misinformation on Social Media: A Meta-Analysis », *Health Communication*, 2021 : https://doi.org/10.1080/10410236.2020.1794553",https://doi.org/10.1080/10410236.2020.1794553,1
49,Efficacité du fact-checking : résultats favorables et limites,"Porter E., Wood T. J., « The global effectiveness of fact-checking: Evidence from simultaneous experiments in Argentina, Nigeria, South Africa, and the United Kingdom », *PNAS*, 2021 : https://doi.org/10.1073/pnas.2104235118",https://doi.org/10.1073/pnas.2104235118,1
50,Efficacité du fact-checking : résultats favorables et limites,"Henry E., Zhuravskaya E., Guriev S., « Checking and Sharing Alt-Facts », *American Economic Journal: Economic Policy*, 2022 : https://doi.org/10.1257/pol.20210037",https://doi.org/10.1257/pol.20210037,1
51,Efficacité du fact-checking : résultats favorables et limites,"Martel C., Rand D. G., « Fact-checker warning labels are effective even for those who distrust fact-checkers », *Nature Human Behaviour*, 2024 : https://doi.org/10.1038/s41562-024-01973-x",https://doi.org/10.1038/s41562-024-01973-x,1
52,Sélection et agenda : comparaisons et contrepoints,"Soo N., Morani M., Kyriakidou M., Cushion S., « Reflecting Party Agendas, Challenging Claims: An Analysis of Editorial Judgements and Fact-checking Journalism during the 2019 UK General Election Campaign », *Journalism Studies*, 2023 : https://doi.org/10.1080/1461670X.2023.2169190",https://doi.org/10.1080/1461670X.2023.2169190,1
53,Sélection et agenda : comparaisons et contrepoints,"Rivas-de-Roca R., Pérez-Curiel C., Casero-Ripollés A., « Effects of populism: The agenda of fact-checking agencies to counter European right-wing populist parties », *European Journal of Communication*, 2024 : https://doi.org/10.1177/02673231231197032",https://doi.org/10.1177/02673231231197032,1
54,Sélection et agenda : comparaisons et contrepoints,"Vargo C. J., Guo L., Amazeen M. A., « The agenda-setting power of fake news: A big data analysis of the online media landscape from 2014 to 2016 », *New Media & Society*, 2018 : https://doi.org/10.1177/1461444817712086",https://doi.org/10.1177/1461444817712086,1
55,Communication de l’incertitude et calibration,"van der Bles A. M. et al., « Communicating uncertainty about facts, numbers and science », *Royal Society Open Science*, 2019 : https://doi.org/10.1098/rsos.181870",https://doi.org/10.1098/rsos.181870,1
56,Communication de l’incertitude et calibration,"van der Bles A. M., van der Linden S., Freeman A. L. J., Spiegelhalter D. J., « The effects of communicating uncertainty on public trust in facts and numbers », *PNAS*, 2020 : https://doi.org/10.1073/pnas.1913678117",https://doi.org/10.1073/pnas.1913678117,1
57,Communication de l’incertitude et calibration,"Kerr J. et al., « The effects of communicating uncertainty around statistics, on public trust », *Royal Society Open Science*, 2023 : https://doi.org/10.1098/rsos.230604",https://doi.org/10.1098/rsos.230604,1
58,Correction de la désinformation : compléments méta-analytiques,"Chan M.-P. S., Jones C. R., Jamieson K. H., Albarracín D., « Debunking: A Meta-Analysis of the Psychological Efficacy of Messages Countering Misinformation », *Psychological Science*, 2017 : https://doi.org/10.1177/0956797617714579",https://doi.org/10.1177/0956797617714579,1
59,Correction de la désinformation : compléments méta-analytiques,"Walter N., Murphy S. T., « How to unring the bell: A meta-analytic approach to correction of misinformation », *Communication Monographs*, 2018 : https://doi.org/10.1080/03637751.2018.1467564",https://doi.org/10.1080/03637751.2018.1467564,1
60,Données internes de l’enquête citées dans le corps,"[*Journal d’audit ciblé du « ×12 »*](annexes/XQ203_AUDIT_X12_NEGATIVE_SEARCH_PROTOCOL_2026-08-24.md), contrôles des 22 et 24 août 2026 : requêtes, périmètre AFP / franceinfo / Les Décodeurs / CheckNews, fenêtres temporelles, voies d’accès, résultats négatifs bornés et limites.",,1
61,Données internes de l’enquête citées dans le corps,"[*Registre pilote de la force des réparations*](data/QUINTESSENCE_REPAIR_STRENGTH_CASES_2026-08-24.csv), 24 août 2026, enrichi le 25 août : six cas, distinction correction / symétrie structurelle / portée effective et registre des inconnues d’audience.",,1
62,Complément de chronologie Castex,"BFMTV-RMC, entretien de Jean Castex face à Jean-Jacques Bourdin, 6 janvier 2022, intégralité vidéo : https://www.youtube.com/watch?v=oMC4AJHVGmg ; transcription institutionnelle archivée par Vie-publique : https://www.vie-publique.fr/discours/283228-jean-castex-06012022-passe-vaccinal-omicron-protocole-sanitaire-ecoles",https://www.youtube.com/watch?v=oMC4AJHVGmg | https://www.vie-publique.fr/discours/283228-jean-castex-06012022-passe-vaccinal-omicron-protocole-sanitaire-ecoles,1
63,"Consolidation forensique : label, sélection et réparation","*AFP Faktencheck Deutschland*, « Die Vaers-Datenbank des CDC beweist nicht den Impftod eines Babys nach dem Stillen », publié le 7 mai 2021, complété le 3 juin 2021 : https://faktencheck.afp.com/die-vaers-datenbank-des-cdc-beweist-nicht-den-impftod-eines-babys-nach-dem-stillen",https://faktencheck.afp.com/die-vaers-datenbank-des-cdc-beweist-nicht-den-impftod-eines-babys-nach-dem-stillen,2
64,"Consolidation forensique : label, sélection et réparation","Diep P. P. U., « Check the checks: A comparison of fact-checking practices between newspapers and independent organizations during 2020 U.S. election presidential debates », *Newspaper Research Journal*, 2025, N = 440 : https://doi.org/10.1177/07395329241298965",https://doi.org/10.1177/07395329241298965,1
65,"Consolidation forensique : label, sélection et réparation","Markowitz D. M., Levine T. R., Serota K. B., Moore A. D., « Cross-checking journalistic fact-checkers: The role of sampling and scaling in interpreting false and misleading statements », *PLOS ONE*, 2023 : https://doi.org/10.1371/journal.pone.0289004",https://doi.org/10.1371/journal.pone.0289004,1
66,"Consolidation forensique : label, sélection et réparation","Cazzamatta R., « The truth game: Verification factors behind fact-checkers’ selection decisions », *Journalism*, 2025, 40 entretiens et 3 154 articles dans huit pays : https://doi.org/10.1177/14648849251371952",https://doi.org/10.1177/14648849251371952,1
67,"Consolidation forensique : label, sélection et réparation","*AFP Factuel*, politique et registre publics des corrections : https://factuel.afp.com/corrections",https://factuel.afp.com/corrections,1
68,"Consolidation forensique : label, sélection et réparation","Wack M., Duskin K., Hodel D., « Political Fact-Checking Efforts are Constrained by Deficiencies in Coverage, Speed, and Reach », *Political Communication*, 2026 ; version ouverte et données méthodologiques : https://arxiv.org/abs/2412.13280 ; DOI de la version publiée : https://doi.org/10.1080/10584609.2026.2704896",https://arxiv.org/abs/2412.13280 | https://doi.org/10.1080/10584609.2026.2704896,1
69,"Consolidation forensique : label, sélection et réparation","Cazzamatta R., « Redefining objectivity: Exploring types of evidence by fact-checkers in four European countries », *European Journal of Communication*, 2025, N = 1 976, douze organisations : https://doi.org/10.1177/02673231251319145",https://doi.org/10.1177/02673231251319145,1
70,"Consolidation forensique : label, sélection et réparation","Ye Q., « Comparison of the Transparency of Fact-checking: A Global Perspective », *Journalism Practice*, 2023 : https://doi.org/10.1080/17512786.2023.2211555",https://doi.org/10.1080/17512786.2023.2211555,1
71,"Consolidation forensique : label, sélection et réparation","*La Dépêche*, « Covid-19 : les personnes vaccinées n’auront plus à s’isoler si elles sont cas contact », 21 juillet 2021, mise à jour 29 juillet : https://www.ladepeche.fr/2021/07/21/les-personnes-vaccinees-nauront-plus-a-sisoler-si-elles-sont-cas-contact-9685112.php",https://www.ladepeche.fr/2021/07/21/les-personnes-vaccinees-nauront-plus-a-sisoler-si-elles-sont-cas-contact-9685112.php,1
72,Frontières du label et acteurs hybrides,"*Conspiracy Watch*, « La Charte éditoriale de Conspiracy Watch », entrée en vigueur le 12 janvier 2026 : https://www.conspiracywatch.info/la-charte-editoriale-de-conspiracy-watch",https://www.conspiracywatch.info/la-charte-editoriale-de-conspiracy-watch,2
73,Frontières du label et acteurs hybrides,"CLEMI, « Fact-checking en famille », fiche mise en ligne le 9 octobre 2023 : https://www.clemi.fr/familles/activites-en-famille/fact-checking-en-famille",https://www.clemi.fr/familles/activites-en-famille/fact-checking-en-famille,1
74,Frontières du label et acteurs hybrides,"CLEMI, support pédagogique « À vous de jouer ! » / exposition sur les fake news, liste de sites de fact-checking : https://www.clemi.fr/sites/default/files/clemi/Familles/Outils%20de%20sensibilisation%20et%20m%C3%A9diation/Campagne%20se%20sensibilisation/Page_FactCheck_expo_pour_QR_code.pdf",https://www.clemi.fr/sites/default/files/clemi/Familles/Outils%20de%20sensibilisation%20et%20m%C3%A9diation/Campagne%20se%20sensibilisation/Page_FactCheck_expo_pour_QR_code.pdf,1
75,Frontières du label et acteurs hybrides,"*Fake Off* (association), « Vérifier une source écrite / un article » : https://www.fakeoff.fr/portfolio/verifier-une-source-ecrite-un-article/",https://www.fakeoff.fr/portfolio/verifier-une-source-ecrite-un-article/,1
76,Frontières du label et acteurs hybrides,"*CheckFirst*, « 2 years of CheckFirst », retour sur *Journalistes Solidaires* et positionnement de CheckFirst : https://checkfirst.network/2-years-of-checkfirst/",https://checkfirst.network/2-years-of-checkfirst/,2
77,Frontières du label et acteurs hybrides,"*Hoaxbuster*, corpus « COVID-19 » : https://www.hoaxbuster.com/covid19",https://www.hoaxbuster.com/covid19,1
78,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*Conspiracy Watch* / Ifop / Fondation Jean-Jaurès, sondage sur les croyances relatives à l’origine du SARS-CoV-2, 28 mars 2020 : https://www.conspiracywatch.info/un-francais-sur-quatre-estime-a-tort-que-le-coronavirus-a-ete-concu-en-laboratoire.html",https://www.conspiracywatch.info/un-francais-sur-quatre-estime-a-tort-que-le-coronavirus-a-ete-concu-en-laboratoire.html,1
79,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*Conspiracy Watch*, « N’en déplaise aux complotistes, George Soros n’a rien à voir avec le Covid-19 », 9 avril 2020 : https://www.conspiracywatch.info/nen-deplaise-aux-complotistes-george-soros-na-rien-a-voir-avec-le-covid-19.html",https://www.conspiracywatch.info/nen-deplaise-aux-complotistes-george-soros-na-rien-a-voir-avec-le-covid-19.html,2
80,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*Conspiracy Watch*, *Conspiracy News #16/2020*, 20 avril 2020 : https://www.conspiracywatch.info/conspiracy-news-16-2020.html",https://www.conspiracywatch.info/conspiracy-news-16-2020.html,1
81,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*Conspiracy Watch*, entretien avec Étienne Simon-Lorière, « L’hypothèse d’une fabrication en laboratoire reste largement écartée », 22 mai 2021 : https://www.conspiracywatch.info/etienne-simon-loriere-lhypothese-dune-fabrication-en-laboratoire-reste-largement-ecartee.html",https://www.conspiracywatch.info/etienne-simon-loriere-lhypothese-dune-fabrication-en-laboratoire-reste-largement-ecartee.html,1
82,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*20 Minutes / Fake Off*, « Coronavirus : est-il originaire d’un laboratoire de Wuhan lié à la France ? », 31 janvier 2020, article mis à jour : https://www.20minutes.fr/monde/2707987-20200131-coronavirus-originaire-laboratoire-wuhan-lie-france-retour-rumeur-virale",https://www.20minutes.fr/monde/2707987-20200131-coronavirus-originaire-laboratoire-wuhan-lie-france-retour-rumeur-virale,1
83,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*20 Minutes / Fake Off*, « Non, le coronavirus n’a pas été créé à partir du VIH, contrairement à ce qu’affirme le professeur Luc Montagnier », 17 avril 2020 : https://www.20minutes.fr/sante/2762791-20200417-non-coronavirus-cree-partir-vih-contrairement-affirme-professeur-luc-montagnier",https://www.20minutes.fr/sante/2762791-20200417-non-coronavirus-cree-partir-vih-contrairement-affirme-professeur-luc-montagnier,1
84,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*Hoaxbuster*, « Covid-19 : épidémie de fake news », 18 avril 2020 : https://www.hoaxbuster.com/covid19/2020/04/18/covid19-epidemie-de-fake-news",https://www.hoaxbuster.com/covid19/2020/04/18/covid19-epidemie-de-fake-news,1
85,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","OMS / SAGO, rapport sur les origines du SARS-CoV-2, 27 juin 2025 : https://www.who.int/fr/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19",https://www.who.int/fr/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,1
86,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*Le Monde / Les Décodeurs*, article du 31 mars 2020 sur le sondage relatif à l’origine en laboratoire, page modifiée le 25 mai 2021 avec renvoi vers une analyse actualisée : https://www.lemonde.fr/les-decodeurs/article/2020/03/31/l-etrange-obsession-d-un-quart-des-francais-pour-la-these-du-virus-cree-en-laboratoire_6035093_4355770.html",https://www.lemonde.fr/les-decodeurs/article/2020/03/31/l-etrange-obsession-d-un-quart-des-francais-pour-la-these-du-virus-cree-en-laboratoire_6035093_4355770.html,2
87,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*Factoscope*, « La balance bénéfice-risque était défavorable à la vaccination des enfants », verdict publié le 3 décembre 2021 : https://factoscope.fr/factoscope1722/la-balance-benefice-risque-etait-defavorable-a-la-vaccination-des-enfants/",https://factoscope.fr/factoscope1722/la-balance-benefice-risque-etait-defavorable-a-la-vaccination-des-enfants/,2
88,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","Haute Autorité de santé, « Covid-19 : la HAS recommande la vaccination des enfants fragiles », 30 novembre 2021 : https://www.has-sante.fr/jcms/p_3302411/fr/covid-19-la-has-recommande-la-vaccination-des-enfants-fragiles",https://www.has-sante.fr/jcms/p_3302411/fr/covid-19-la-has-recommande-la-vaccination-des-enfants-fragiles,1
