section,source_no,citation_count
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",6,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",55,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",56,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",57,1
3. Temporalité : que savait-on réellement ce jour-là ?,7,3
3. Temporalité : que savait-on réellement ce jour-là ?,8,2
3. Temporalité : que savait-on réellement ce jour-là ?,11,1
3. Temporalité : que savait-on réellement ce jour-là ?,10,1
3. Temporalité : que savait-on réellement ce jour-là ?,13,3
L’anachronisme inverse : fermer trop tôt une question,87,1
L’anachronisme inverse : fermer trop tôt une question,88,1
L’anachronisme inverse : fermer trop tôt une question,89,1
4. Du modèle au slogan : le cas du « ×12 »,15,3
4. Du modèle au slogan : le cas du « ×12 »,16,1
4. Du modèle au slogan : le cas du « ×12 »,17,1
4. Du modèle au slogan : le cas du « ×12 »,18,1
4. Du modèle au slogan : le cas du « ×12 »,19,1
4. Du modèle au slogan : le cas du « ×12 »,60,1
4. Du modèle au slogan : le cas du « ×12 »,24,1
4. Du modèle au slogan : le cas du « ×12 »,27,1
4. Du modèle au slogan : le cas du « ×12 »,25,1
4. Du modèle au slogan : le cas du « ×12 »,26,1
"5. Après publication : corriger, contextualiser, réparer",31,1
"5. Après publication : corriger, contextualiser, réparer",32,1
"5. Après publication : corriger, contextualiser, réparer",67,1
Des réparations fortes existent,12,1
Des réparations fortes existent,14,1
Des réparations fortes existent,28,1
Des réparations fortes existent,90,1
Des réparations fortes existent,21,1
Des réparations fortes existent,22,1
Des réparations fortes existent,62,1
Contextualiser ailleurs n’est pas corriger au même endroit,79,1
Contextualiser ailleurs n’est pas corriger au même endroit,113,1
Contextualiser ailleurs n’est pas corriger au même endroit,86,1
Une reprise n’est pas une preuve indépendante,92,1
Une reprise n’est pas une preuve indépendante,93,1
Une reprise n’est pas une preuve indépendante,91,1
Une reprise n’est pas une preuve indépendante,90,1
Une reprise n’est pas une preuve indépendante,100,1
La circulation peut devenir institutionnelle,94,1
La circulation peut devenir institutionnelle,95,1
La circulation peut devenir institutionnelle,96,1
La portée réelle de la réparation reste souvent inconnue,61,1
La portée réelle de la réparation reste souvent inconnue,12,1
La portée réelle de la réparation reste souvent inconnue,14,1
La portée réelle de la réparation reste souvent inconnue,28,1
La portée réelle de la réparation reste souvent inconnue,90,1
La portée réelle de la réparation reste souvent inconnue,113,1
La portée réelle de la réparation reste souvent inconnue,86,1
La portée réelle de la réparation reste souvent inconnue,19,1
La portée réelle de la réparation reste souvent inconnue,27,1
La portée réelle de la réparation reste souvent inconnue,97,1
La portée réelle de la réparation reste souvent inconnue,98,1
La portée réelle de la réparation reste souvent inconnue,68,1
La portée réelle de la réparation reste souvent inconnue,42,1
La portée réelle de la réparation reste souvent inconnue,43,1
La portée réelle de la réparation reste souvent inconnue,58,1
La portée réelle de la réparation reste souvent inconnue,59,1
La portée réelle de la réparation reste souvent inconnue,44,1
Test 1 : un dossier gelé de 14 cas et 41 questions,36,3
Test 1 : un dossier gelé de 14 cas et 41 questions,4,1
Test 1 : un dossier gelé de 14 cas et 41 questions,12,1
Test 1 : un dossier gelé de 14 cas et 41 questions,14,1
Test 1 : un dossier gelé de 14 cas et 41 questions,28,1
Test 1 : un dossier gelé de 14 cas et 41 questions,7,1
Test 1 : un dossier gelé de 14 cas et 41 questions,13,1
Test 1 : un dossier gelé de 14 cas et 41 questions,15,1
Test 2 : le recodage de 154 affirmations échoue comme métrique,34,1
Test 2 : le recodage de 154 affirmations échoue comme métrique,35,1
Test 3 : la catégorie des « faux fact-checkers » ne tient pas,72,1
Test 3 : la catégorie des « faux fact-checkers » ne tient pas,101,1
Test 3 : la catégorie des « faux fact-checkers » ne tient pas,90,1
Test 3 : la catégorie des « faux fact-checkers » ne tient pas,92,1
Test 3 : la catégorie des « faux fact-checkers » ne tient pas,93,1
Test 3 : la catégorie des « faux fact-checkers » ne tient pas,87,1
Test 3 : la catégorie des « faux fact-checkers » ne tient pas,76,1
Test 3 : la catégorie des « faux fact-checkers » ne tient pas,99,1
Après : montrer ce que devient le verdict,31,1
Après : montrer ce que devient le verdict,32,1
Ce standard est atteignable,29,1
Conclusion : la confiance n’exclut pas le contrôle,38,1
Conclusion : la confiance n’exclut pas le contrôle,39,1
Conclusion : la confiance n’exclut pas le contrôle,41,1
Conclusion : la confiance n’exclut pas le contrôle,102,1
Conclusion : la confiance n’exclut pas le contrôle,103,1
