source_no,citation_count_body,used,category
101,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
102,2,YES,Textes juridiques complémentaires
103,2,YES,Textes juridiques complémentaires
104,2,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
105,1,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
106,1,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
107,1,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
108,1,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
109,1,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
110,2,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
111,1,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
112,1,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
113,3,YES,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental"
