clean_id,blind_id,original_claim_id,actor,speech_date,constraint_context,claim_text,original_code,second_code,third_code,third_confidence,three_way_unanimous,majority_code,all_non_C0,any_C2,c2_votes
G045,B063,GC005,Emmanuel Macron,2020-03-16,confinement,Rester chez soi et limiter les contacts est le plus important pour aider les soignants.,C1,C0,C0,90,False,C0,False,False,0
G046,B011,GC047,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,"Plus la vaccination augmente, plus elle évite l’apparition de mutations potentiellement plus dangereuses.",C1,C0,C1,70,False,C1,False,False,0
G047,B008,GC151,Olivier Véran,2022-01-11,passe vaccinal,La troisième dose confère une protection bien plus forte contre les formes graves et l’hospitalisation.,C0,C0,C0,85,True,C0,False,False,0
G048,B039,GC123,Olivier Véran,2020-10-24,état urgence sanitaire,Les mesures prises depuis août ont produit des résultats importants dans certaines métropoles comme Nice ou Bordeaux.,C1,C0,C0,75,False,C0,False,False,0
G049,B056,GC034,Emmanuel Macron,2021-03-31,restrictions / écoles,"Le virus circule dans les établissements scolaires, mais pas plus qu’ailleurs.",C1,C0,C0,80,False,C0,False,False,0
G050,B090,GC115,Olivier Véran,2020-10-13,régime transitoire,La situation sanitaire est extrêmement instable et le virus circule vite.,C0,C0,C0,90,True,C0,False,False,0
G051,B059,GC147,Olivier Véran,2022-01-11,passe vaccinal,Les mesures existantes ont permis de contenir l’épidémie et d’éviter des choix plus radicaux comme des fermetures ou confinements.,C1,C1,C1,70,True,C1,True,False,0
G052,B021,GC098,Jean Castex,2021-02-25,restrictions territoriales,"Vaccination, tests et traitements permettront un retour progressif vers une vie plus normale au printemps.",C1,C0,C1,70,False,C1,False,False,0
G053,B129,GC083,Jean Castex,2021-01-14,couvre-feu 18 h,La circulation encore limitée d’Alpha peut devenir dominante et doit être freinée.,C1,C0,C0,85,False,C0,False,False,0
G054,B047,GC068,Jean Castex,2020-09-11,tester-tracer-isoler,Les nouvelles hospitalisations repartent et la hausse des cas chez les personnes âgées augmente le risque de formes graves.,C0,C0,C0,85,True,C0,False,False,0
G055,B089,GC122,Olivier Véran,2020-10-24,état urgence sanitaire,"Dans les jours et semaines suivantes la situation va empirer quoi que nous fassions, en raison du délai entre diagnostic et formes graves.",C0,C0,C0,90,True,C0,False,False,0
G056,B057,GC015,Emmanuel Macron,2020-10-28,second confinement,"Quoi que nous fassions, près de 9 000 patients seront en réanimation à la mi-novembre.",C2,C2,C1,65,False,C2,True,True,2
G057,B092,GC075,Jean Castex,2020-10-22,extension couvre-feu,Les cas chez les plus de 65 ans ont environ triplé en six semaines.,C0,C0,C0,90,True,C0,False,False,0
G058,B103,GC043,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,"Sans action immédiate, les cas monteront fortement et entraîneront inévitablement une hausse des hospitalisations dès août.",C1,C0,C0,80,False,C0,False,False,0
G059,B049,GC089,Jean Castex,2021-02-25,restrictions territoriales,Le nombre quotidien de cas dépasse 30 000 après un plateau autour de 15 000 à 20 000.,C0,C0,C0,90,True,C0,False,False,0
G060,B013,GC086,Jean Castex,2021-01-14,couvre-feu 18 h,Le couvre-feu avancé à 18 h a une efficacité sanitaire.,C1,C0,C1,70,False,C1,False,False,0
G061,B120,GC011,Emmanuel Macron,2020-10-28,second confinement,Les mesures déjà prises étaient indispensables mais se révèlent insuffisantes pour endiguer la vague.,C1,C0,C0,85,False,C0,False,False,0
G062,B077,GC023,Emmanuel Macron,2020-10-28,second confinement,Augmenter les capacités de réanimation n’est pas une réponse suffisante à la vague.,C1,C0,C0,80,False,C0,False,False,0
G063,B096,GC020,Emmanuel Macron,2020-10-28,second confinement,Créer une bulle autour des seules personnes à risque n’est pas réaliste et est insuffisant.,C1,C0,C0,80,False,C0,False,False,0
G064,B038,GC132,Olivier Véran,2021-01-20,état urgence sanitaire,Il existe une course contre le temps pour empêcher que les variants plus transmissibles deviennent dominants.,C1,C0,C0,85,False,C0,False,False,0
G065,B104,GC104,Jean Castex,2021-03-18,confinements territorialisés,Ne pas confiner fin janvier était la bonne décision; un confinement préventif aurait probablement duré trois mois et aurait été excessif.,C1,C1,C1,70,True,C1,True,False,0
G066,B040,GC052,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,Faire porter davantage les restrictions sur les non-vaccinés est justifié par la différence de risque créée par la vaccination.,C1,C0,C1,75,False,C1,False,False,0
G067,B102,GC154,Olivier Véran,2022-01-11,passe vaccinal,L’accès préfectoral aux données nécessaires au contrôle de quarantaine/isolement est une condition indispensable à la maîtrise des chaînes de transmission.,C1,C1,C0,80,False,C1,False,False,0
G068,B100,GC063,Emmanuel Macron,2021-11-09,rappel / pass,Chez les moins de 65 ans aussi la protection vaccinale diminue au fil du temps.,C0,C0,C0,85,True,C0,False,False,0
G069,B035,GC102,Jean Castex,2021-03-18,confinements territorialisés,Les mesures depuis janvier ont permis de contenir pendant plusieurs semaines la progression épidémique.,C1,C0,C0,80,False,C0,False,False,0
G070,B117,GC124,Olivier Véran,2020-10-24,état urgence sanitaire,"Une prolongation de l’état d’urgence d’environ trois mois est aujourd’hui nécessaire, tout en permettant une sortie anticipée.",C1,C0,C0,80,False,C0,False,False,0
G071,B026,GC085,Jean Castex,2021-01-14,couvre-feu 18 h,"Dans les premiers départements à 18 h, la hausse des cas est deux à trois fois plus faible que dans les autres.",C0,C0,C1,70,False,C0,False,False,0
G072,B065,GC146,Olivier Véran,2022-01-11,passe vaccinal,"Plus de 22 000 patients sont hospitalisés pour Covid, dont environ 3 900 en soins critiques/réanimation.",C0,C0,C0,90,True,C0,False,False,0
G073,B086,GC059,Emmanuel Macron,2021-11-09,rappel / pass,Une cinquième vague a commencé en Europe; en France l’incidence augmente de 40 % en une semaine et les hospitalisations remontent.,C0,C0,C0,90,True,C0,False,False,0
G074,B017,GC030,Emmanuel Macron,2021-03-31,restrictions / écoles,Ne rien faire conduirait à une potentielle saturation hospitalière dans tout le pays.,C1,C0,C0,80,False,C0,False,False,0
G075,B072,GC025,Emmanuel Macron,2021-03-31,restrictions / écoles,Les choix depuis janvier ont fait gagner des jours de liberté et d’école sans perdre le contrôle de l’épidémie.,C1,C1,C1,70,True,C1,True,False,0
G076,B058,GC073,Jean Castex,2020-10-22,extension couvre-feu,"L’incidence nationale est d’environ 251 pour 100 000, en hausse d’environ 40 % en une semaine.",C0,C0,C0,90,True,C0,False,False,0
G077,B114,GC149,Olivier Véran,2022-01-11,passe vaccinal,La vaccination permet d’envisager de vivre le plus normalement possible malgré Omicron sans fermer massivement les activités.,C1,C0,C0,80,False,C0,False,False,0
G078,B024,GC039,Emmanuel Macron,2021-03-31,restrictions / écoles,Les restrictions d’avril et la vaccination formeront une tenaille permettant de contenir le virus et commencer à rouvrir à partir de mi-mai.,C1,C0,C1,70,False,C1,False,False,0
G079,B099,GC077,Jean Castex,2020-10-22,extension couvre-feu,Il est encore trop tôt pour mesurer l’effet du couvre-feu déjà instauré.,C0,C0,C0,85,True,C0,False,False,0
G080,B082,GC037,Emmanuel Macron,2021-03-31,restrictions / écoles,Prioriser la vaccination des plus âgés et fragiles permettra de soulager plus vite l’hôpital et sauver des vies.,C0,C0,C0,85,True,C0,False,False,0
G081,B119,GC054,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,Étendre au maximum le pass sanitaire doit pousser un maximum de personnes à se faire vacciner.,C0,C0,C1,75,False,C0,False,False,0
G082,B109,GC076,Jean Castex,2020-10-22,extension couvre-feu,L’extension du couvre-feu est préventive face à l’accélération de la circulation virale.,C1,C0,C0,80,False,C0,False,False,0
G083,B067,GC055,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,Vacciner partout dans le monde est indispensable pour éviter les variants et en finir durablement avec la pandémie.,C1,C0,C0,85,False,C0,False,False,0
G084,B116,GC137,Olivier Véran,2021-07-20,pass / obligation,L’impact hospitalier futur reste incertain dans un pays largement vacciné.,C0,C0,C0,80,True,C0,False,False,0
G085,B075,GC082,Jean Castex,2021-01-14,couvre-feu 18 h,"Les nouveaux variants, notamment Alpha, sont nettement plus contagieux.",C0,C0,C0,90,True,C0,False,False,0
G086,B054,GC050,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,"Les premiers vaccinés verront prochainement leurs anticorps et leur immunité diminuer, justifiant des rappels.",C1,C0,C0,80,False,C0,False,False,0
G087,B023,GC066,Emmanuel Macron,2021-11-09,rappel / pass,"Vaccination, pass sanitaire et gestes barrières permettront de continuer à vivre sans nouvelles fermetures ni restrictions de libertés.",C1,C0,C1,70,False,C1,False,False,0
G088,B094,GC041,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,La France connaît une reprise forte de l’épidémie touchant tous les territoires.,C0,C0,C0,90,True,C0,False,False,0
G089,B033,GC084,Jean Castex,2021-01-14,couvre-feu 18 h,Le renforcement des contrôles aux frontières doit limiter l’importation et la diffusion des variants.,C1,C0,C0,80,False,C0,False,False,0
G090,B108,GC056,Emmanuel Macron,2021-11-09,rappel / pass,Les choix collectifs pris à chaque étape ont été indispensables pour protéger la population.,C1,C0,C1,65,False,C1,False,False,0
G091,B148,GC057,Emmanuel Macron,2021-11-09,rappel / pass,"Grâce au pass sanitaire et à la stratégie de juillet, la France est parvenue à maîtriser l’épidémie.",C1,C0,C1,70,False,C1,False,False,0
G092,B043,GC105,Jean Castex,2021-03-18,confinements territorialisés,Les modèles annonçant un emballement mi-février ne se sont pas réalisés grâce à la mobilisation collective.,C1,C0,C0,80,False,C0,False,False,0
G093,B101,GC031,Emmanuel Macron,2021-03-31,restrictions / écoles,L’extension nationale des restrictions est justifiée parce qu’aucune région métropolitaine n’est épargnée et les hospitalisations augmentent partout.,C0,C0,C0,85,True,C0,False,False,0
G094,B002,GC141,Olivier Véran,2021-07-20,pass / obligation,Fermer les établissements à tous aurait le même impact épidémique et sanitaire que les fermer seulement aux non-vaccinés.,C1,C0,C2,75,False,NO_MAJORITY,False,True,1
G095,B091,GC113,Jean Castex,2021-03-18,confinements territorialisés,La campagne de vaccination va permettre de sortir de la crise et lever progressivement les restrictions.,C1,C0,C0,80,False,C0,False,False,0
G096,B097,GC145,Olivier Véran,2022-01-11,passe vaccinal,"Environ 350 000 contaminations quotidiennes sont enregistrées, un niveau record.",C0,C0,C0,90,True,C0,False,False,0
G097,B125,GC143,Olivier Véran,2021-07-20,pass / obligation,"L’enjeu n’est pas le pass sanitaire ou la liberté, mais le pass sanitaire ou le confinement.",C2,C0,C2,80,False,C2,False,True,2
G098,B142,GC022,Emmanuel Macron,2020-10-28,second confinement,Tester-alerter-protéger n’est plus efficace avec 40 000 à 50 000 cas dépistés par jour.,C1,C0,C0,85,False,C0,False,False,0
G099,B151,GC090,Jean Castex,2021-02-25,restrictions territoriales,"L’explication la plus évidente de la reprise est la progression des variants, en particulier Alpha.",C0,C0,C0,85,True,C0,False,False,0
G100,B051,GC040,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,"Les efforts proportionnés, la réouverture progressive et le plan vaccinal ont produit des résultats incontestables.",C1,C0,C1,70,False,C1,False,False,0
G101,B088,GC080,Jean Castex,2020-10-22,extension couvre-feu,Les contaminations d’aujourd’hui produisent les hospitalisations et une partie des décès de demain.,C1,C0,C0,90,False,C0,False,False,0
G102,B034,GC021,Emmanuel Macron,2020-10-28,second confinement,"Confiner seulement les personnes âgées est inefficace pour protéger l’hôpital et, à terme, les aînés.",C1,C0,C0,85,False,C0,False,False,0
G103,B134,GC087,Jean Castex,2021-01-14,couvre-feu 18 h,Le Conseil scientifique a confirmé l’utilité du couvre-feu.,C1,C0,C0,80,False,C0,False,False,0
G104,B122,GC095,Jean Castex,2021-02-25,restrictions territoriales,Le confinement le week-end dans les territoires très touchés est attendu comme moyen d’infléchir la dynamique.,C1,C0,C1,70,False,C1,False,False,0
G105,B079,GC070,Jean Castex,2020-09-11,tester-tracer-isoler,Renforcer le dépistage prioritaire et le traçage doit casser les chaînes de contamination.,C1,C0,C0,85,False,C0,False,False,0
G106,B025,GC114,Jean Castex,2021-03-18,confinements territorialisés,L’EMA confirme qu’AstraZeneca est très efficace contre les formes graves et globalement sûr; les bénéfices dépassent largement les risques rares.,C0,C0,C0,90,True,C0,False,False,0
G107,B140,GC065,Emmanuel Macron,2021-11-09,rappel / pass,"Le vaccin, bien qu’efficace, ne suffit pas à lui seul.",C0,C0,C0,85,True,C0,False,False,0
G108,B095,GC119,Olivier Véran,2020-10-13,régime transitoire,La prolongation des dispositions transitoires au-delà du 31 janvier est nécessaire pour éviter une nouvelle procédure d’urgence et garder les outils de lutte.,C1,C0,C0,80,False,C0,False,False,0
G109,B022,GC036,Emmanuel Macron,2021-03-31,restrictions / écoles,La forte baisse de mortalité des plus de 80 ans et la situation en EHPAD apportent la preuve de l’efficacité vaccinale.,C1,C0,C0,85,False,C0,False,False,0
G110,B106,GC008,Emmanuel Macron,2020-10-28,second confinement,Le virus circule à une vitesse que même les prévisions les plus pessimistes n’avaient pas anticipée.,C2,C1,C0,80,False,NO_MAJORITY,False,True,1
G111,B048,GC001,Emmanuel Macron,2020-03-16,confinement,Une personne sans symptôme peut transmettre le virus.,C0,C0,C0,95,True,C0,False,False,0
G112,B028,GC014,Emmanuel Macron,2020-10-28,second confinement,La deuxième vague sera sans doute plus dure et plus meurtrière que la première.,C1,C0,C1,70,False,C1,False,False,0
G113,B052,GC017,Emmanuel Macron,2020-10-28,second confinement,"Sans coup de frein brutal, les médecins devront choisir entre des patients.",C0,C0,C0,85,True,C0,False,False,0
G114,B128,GC110,Jean Castex,2021-03-18,confinements territorialisés,Les lieux de travail représentent environ 29 % des cas identifiés dans l’étude Pasteur citée.,C0,C0,C0,85,True,C0,False,False,0
G115,B112,GC067,Jean Castex,2020-09-11,tester-tracer-isoler,L’incidence nationale est passée d’environ 57 à 72 cas pour 100 000 en une semaine.,C0,C0,C0,90,True,C0,False,False,0
G116,B010,GC150,Olivier Véran,2022-01-11,passe vaccinal,"Le débat sur le passe vaccinal a déjà accru les primo-vaccinations, comme le passe sanitaire auparavant.",C1,C0,C0,80,False,C0,False,False,0
G117,B042,GC136,Olivier Véran,2021-07-20,pass / obligation,"La progression est extrêmement rapide, avec des hausses hebdomadaires de plusieurs centaines de pourcents et un doublement très court.",C0,C1,C0,90,False,C0,False,False,0
G118,B153,GC117,Olivier Véran,2020-10-13,régime transitoire,Les niveaux d’incidence et leur dynamique empêchent d’interrompre les dispositions de protection sanitaire.,C0,C0,C0,85,True,C0,False,False,0
G119,B070,GC042,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,Delta est trois fois plus contagieux que la première souche.,C1,C0,C1,75,False,C1,False,False,0
G120,B111,GC069,Jean Castex,2020-09-11,tester-tracer-isoler,Une circulation d’abord concentrée chez les jeunes finit inévitablement par toucher les plus vulnérables.,C1,C0,C0,85,False,C0,False,False,0
G121,B098,GC135,Olivier Véran,2021-07-20,pass / obligation,La vague touche surtout les 20-40 ans et certains territoires ont des incidences très élevées.,C0,C0,C0,85,True,C0,False,False,0
G122,B147,GC071,Jean Castex,2020-09-11,tester-tracer-isoler,Sept jours d’isolement correspondent à la durée pendant laquelle il existe un véritable risque de contagion.,C1,C0,C0,80,False,C0,False,False,0
G123,B126,GC144,Olivier Véran,2021-07-20,pass / obligation,Le pass sanitaire et la vaccination doivent aider à atteindre l’immunité collective et à se débarrasser du virus.,C1,C0,C1,70,False,C1,False,False,0
G124,B133,GC072,Jean Castex,2020-09-11,tester-tracer-isoler,Les indicateurs de Marseille et Bordeaux et les projections de réanimation à trois semaines annoncent une dégradation justifiant de nouvelles mesures.,C1,C0,C0,85,False,C0,False,False,0
G125,B149,GC079,Jean Castex,2020-10-22,extension couvre-feu,"Compte tenu des nouveaux cas, la tension hospitalière et les décès vont continuer à augmenter pendant plusieurs semaines.",C1,C0,C0,90,False,C0,False,False,0
G126,B041,GC038,Emmanuel Macron,2021-03-31,restrictions / écoles,La vaccination est la clé pour renouer avec la vie et rouvrir le pays.,C1,C0,C0,85,False,C0,False,False,0
G127,B001,GC053,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,Rendre les tests PCR payants doit encourager la vaccination plutôt que la multiplication des tests.,C0,C1,C1,70,False,C1,False,False,0
G128,B113,GC064,Emmanuel Macron,2021-11-09,rappel / pass,Plus de 80 % des personnes en réanimation ont plus de 50 ans.,C0,C0,C0,90,True,C0,False,False,0
G129,B060,GC028,Emmanuel Macron,2021-03-31,restrictions / écoles,Les restrictions décidées le 18 mars ont eu de premiers effets après deux semaines.,C1,C1,C0,80,False,C1,False,False,0
G130,B031,GC013,Emmanuel Macron,2020-10-28,second confinement,Le virus semble gagner en force à mesure que l’hiver approche et les températures baissent.,C0,C0,C1,65,False,C0,False,False,0
G131,B115,GC003,Emmanuel Macron,2020-03-16,confinement,"Respecter les gestes barrières et consignes sanitaires est le seul moyen de protéger les vulnérables, réduire les infections et la pression en réanimation.",C1,C0,C0,90,False,C0,False,False,0
G132,B123,GC035,Emmanuel Macron,2021-03-31,restrictions / écoles,L’adaptation de fermeture scolaire sur trois semaines est la solution la plus adaptée pour freiner le virus tout en préservant l’éducation.,C1,C1,C1,70,True,C1,True,False,0
G133,B004,GC081,Jean Castex,2021-01-14,couvre-feu 18 h,La France a passé les fêtes sans flambée épidémique grâce au comportement responsable de la population.,C1,C0,C0,80,False,C0,False,False,0
G134,B015,GC097,Jean Castex,2021-02-25,restrictions territoriales,La baisse de l’incidence chez les plus âgés alors qu’elle remonte ailleurs montre que les effets de la vaccination commencent.,C1,C0,C0,85,False,C0,False,False,0
G135,B081,GC142,Olivier Véran,2021-07-20,pass / obligation,Le pass sanitaire doit protéger les Français et permettre un retour à une vie aussi normale que possible.,C1,C0,C0,80,False,C0,False,False,0
G136,B012,GC033,Emmanuel Macron,2021-03-31,restrictions / écoles,Les rassemblements privés et familiaux sont les occasions où l’on se contamine le plus.,C1,C0,C0,85,False,C0,False,False,0
G137,B019,GC096,Jean Castex,2021-02-25,restrictions territoriales,"Des niveaux élevés d’incidence, de variants et de tension hospitalière justifient des mesures territoriales renforcées.",C0,C0,C0,85,True,C0,False,False,0
G138,B044,GC007,Emmanuel Macron,2020-03-16,confinement,"La fermeture des frontières extérieures de l’UE doit protéger, contenir la dissémination et préserver les systèmes de soins.",C1,C0,C0,80,False,C0,False,False,0
G139,B138,GC109,Jean Castex,2021-03-18,confinements territorialisés,Les regroupements privés et situations similaires sont les circonstances où le virus prospère d’abord.,C1,C0,C0,85,False,C0,False,False,0
G140,B144,GC099,Jean Castex,2021-03-18,confinements territorialisés,"Les cas augmentent de 23,6 % en une semaine et la France entre dans une troisième vague.",C0,C0,C0,90,True,C0,False,False,0
G141,B046,GC018,Emmanuel Macron,2020-10-28,second confinement,35 % des personnes en réanimation ont moins de 65 ans.,C0,C0,C0,90,True,C0,False,False,0
G142,B029,GC111,Jean Castex,2021-03-18,confinements territorialisés,Les nouvelles mesures sont absolument indispensables et équilibrées pour freiner sans enfermer.,C1,C0,C1,70,False,C1,False,False,0
G143,B154,GC131,Olivier Véran,2021-01-20,état urgence sanitaire,Des variants plus transmissibles circulent et peuvent modifier rapidement la dynamique.,C0,C0,C0,85,True,C0,False,False,0
