id,type,title,truth_engine,result_path,coverage,utility,next_action
INV-025,CASE,"Chine : United Front et frontière entre diaspora, influence et contrôle politique",DELIVERY_PASS_R3P1,INV-025_RUN_HANDOFF.md,NEW,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-026,PRIMARY,"Israël : influence étatique, diplomatique, industrielle, sécuritaire et informationnelle en France/UE",DELIVERY_PASS_R3P1,INV-026_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; Israel-as-sender symmetry controls available to INV-146; recheck only on material new sponsor/tasking/causal evidence.
INV-027,CASE,"ELNET France : financements, voyages parlementaires, réseaux politiques, déclarations HATVP, effets démontrables",DELIVERY_PASS_R3P1,INV-027_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-028,CASE,"AIPAC : mécanisme américain de lobbying pro-israélien, pouvoir électoral, financement, limites du parallèle avec la France",DELIVERY_PASS_R3P1,INV-028_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-029,PRIMARY,"Allemagne : exercice de puissance au sein de l’UE — institutions, coalitions, poids économique et réglementaire",DELIVERY_PASS_R3P1,INV-029_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-030,CASE,"France-Allemagne : nucléaire — divergence doctrinale, concurrence industrielle, règles européennes, intention versus effet",DELIVERY_PASS_R3P1,INV-030_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-031,PRIMARY,"Integrity Initiative : financement FCO, clusters européens et influence contre-désinformation",DELIVERY_PASS_R3P1,INV-031_RUN_HANDOFF.md,NEW_MECHANISM_GAP,HIGH,"NONE - CLOSED; reopen only on direct tasking evidence, person-specific participation evidence, Spanish decision-maker causal evidence, or material declassified oversight."
INV-033,PRIMARY,"Émirats arabes unis : influence clandestine et réputationnelle en Europe, dont réseaux de renseignement privé lorsque démontrés",DELIVERY_PASS_R3P1,INV-033_RUN_HANDOFF.md,PARTIAL,HIGH,CLOSED — UAE-linked private-intelligence/covert-reputation control routed to INV-146; recheck only on material judicial/tasking/causal evidence.
INV-035,PRIMARY,"Ukraine : diplomatie d’influence de guerre en France/UE, financement, communication, relais politiques et médiatiques",DELIVERY_PASS_R3P1,INV-035_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-036,PRIMARY,"Turquie : État, diaspora, religion, associations et mobilisation politique en Europe",DELIVERY_PASS_R3P1,INV-036_RUN_HANDOFF.md,NEW,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-037,PRIMARY,"Iran : influence, diasporas, réseaux politiques et opérations informationnelles en Europe",DELIVERY_PASS_R3P1,INV-037_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-039,PRIMARY,"Qui exerce réellement le pouvoir dans l’UE ? Commission, Conseil, Parlement, CJUE, BCE, États, lobbies",DELIVERY_PASS_R3P1,INV-039_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE — CLOSED; procedure-specific power map available to INV-040; synthesis remains blocked by other constitutive investigations.
INV-041,PRIMARY,"Commission européenne et production réglementaire : initiative, expertise, consultations, trilogues, actes délégués",DELIVERY_PASS_R3P1,INV-041_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-042,PRIMARY,"Lobbying européen : acteurs, dépenses, accès, consultations, portes tournantes",DELIVERY_PASS_R3P1,INV-042_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-043,PRIMARY,"DSA comme dispositif de gouvernance informationnelle : obligations réelles, intermédiaires, effets et recours",DELIVERY_PASS_R3P1,INV-043_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-044,PRIMARY,European Democracy Shield / EDMO / EUvsDisinfo / anti-FIMI : appareil européen de défense cognitive,DELIVERY_PASS_R3P1,INV-044_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; distributed EU information-governance architecture established; centralized Commission censorship chain not established; feed INV-040 and INV-144.
INV-045,PRIMARY,"EFCSN, IFCN, fact-checkers et financement européen : certification comme infrastructure d’accès",DELIVERY_PASS_R3P1,INV-045_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,"NONE — CLOSED; program-specific certification/access gates and EU funding capacity established; universal public authority, editorial command and political effect not established; delta routed to INV-040, INV-088, INV-144."
INV-046,PRIMARY,"Chat Control, eIDAS, identité numérique, portefeuille européen : sécurité versus infrastructure potentielle de contrôle",DELIVERY_PASS_R3P1,INV-046_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-047,PRIMARY,Sanctions européennes comme instrument de coercition politique et informationnelle,DELIVERY_PASS_R3P1,INV-047_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-048,PRIMARY,"Commerce, normes et droit européen comme instruments de puissance : Mercosur, concurrence, standards, conditionnalité",DELIVERY_PASS_R3P1,INV-048_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-049,PRIMARY,"Open Society Foundations / George Soros : flux réels, bénéficiaires, objectifs, mécanismes, effets ; tester mythologie et dénégation naïve",DELIVERY_PASS_R2A2,INV-049_RUN_HANDOFF.md,PARTIAL,HIGH,CLOSED — pilot PASS after targeted RENARD; no further material delta.
INV-051,PRIMARY,"Fondations Gates, Ford, Rockefeller, Omidyar et grandes philanthropies : pouvoir politique sans mandat électif",DELIVERY_PASS_R3P1,INV-051_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-053,PRIMARY,"ONG liées aux migrations en France/Europe : qui finance quoi, pourquoi, avec quel effet opérationnel et politique ?",DELIVERY_PASS_R3P1,INV-053_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-054,PRIMARY,ONG de droits humains et contentieux stratégique : recours judiciaire comme instrument de transformation politique,DELIVERY_PASS_R3P1,INV-054_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; strategic litigation is intentional legal influence with case-specific institutional effects; external donor tasking and durable counterfactual effect not established; feed INV-052 and INV-129.
INV-056,PRIMARY,Astroturfing : organisations présentées comme grassroots mais financées ou orchestrées par des intérêts structurés,DELIVERY_PASS_R3P1,INV-056_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; astroturfing/front deception verified case-specifically where concealed principal/tasking/orchestration is evidenced; funding/alignment alone insufficient; prevalence and generalized policy/electoral effect NOT_ESTABLISHED.
INV-057,PRIMARY,"ONG comme intermédiaires de politique étrangère : comparaison USA, UE, États et fondations",DELIVERY_PASS_R3P1,INV-057_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-059,PRIMARY,Think tanks français : cartographie argent → experts → médias → cabinets → politiques publiques,DELIVERY_PASS_R3P1,INV-059_RUN_HANDOFF.md,PARTIAL,HIGH,"NONE — CLOSED; funding/access/expert-output/media/parliamentary reuse pathways established across selected French think tanks; donor-specific tasking, generalized covert sponsor laundering and causal policy adoption not established; reopen only on authenticated donor tasking/content-control evidence, decision-process causality, or a material prevalence denominator."
INV-061,PRIMARY,"Think tanks américains et politique française/européenne : Atlantic Council, German Marshall Fund, Brookings, Heritage, etc.",DELIVERY_PASS_R3P1,INV-061_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-062,PRIMARY,McKinsey et cabinets de conseil dans l’État français : prestation technique ou délégation cognitive de souveraineté ?,DELIVERY_PASS_R3P1,INV-062_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-063,PRIMARY,"Big Four et production de normes : conseil, audit, réglementation, marchés publics, revolving doors",DELIVERY_PASS_R3P1,INV-063_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-064,PRIMARY,Cabinets de relations publiques et communication stratégique : marché professionnel de fabrication de réputation et d’opinion,DELIVERY_PASS_R3P1,INV-064_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-065,PRIMARY,"Experts médiatiques : sélection, financement, conflits d’intérêts invisibles",DELIVERY_PASS_R3P1,INV-065_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-066,PRIMARY,Recherche académique financée par intérêts publics ou privés : agenda-setting scientifique et indépendance réelle,DELIVERY_PASS_R3P1,INV-066_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-067,PRIMARY,"Groupes d’experts publics : composition, conflits d’intérêts, sélection et pouvoir normatif",DELIVERY_PASS_R3P1,INV-067_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-069,PRIMARY,"Communication gouvernementale française : SIG, Élysée, ministères, budgets, campagnes et objectifs comportementaux",DELIVERY_PASS_R3P1,INV-069_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,"NONE — CLOSED; centralized government communication/opinion-analysis/media-buying/segmentation infrastructure and campaign exposure established; behavioral objectives documented case-specifically; generalized partisan misuse and causal preference/behavior/electoral effect not established; recheck only on authenticated partisan tasking, credible causal campaign-outcome designs, or material full-spend/provider denominator."
INV-070,PRIMARY,"Sciences comportementales dans l’État : DITP, nudges, architecture de choix, éthique et usages réels",DELIVERY_PASS_R3P1,INV-070_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-071,PRIMARY,"VIGINUM : doctrine, critères, données, attribution, mesure d’impact et accountability",DELIVERY_PASS_R2A2,INV-071_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,CLOSED — pilot PASS; RENARD NO.
INV-072,PRIMARY,SGDSN et doctrine française de guerre/influence informationnelle,DELIVERY_PASS_R3P1,INV-072_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-073,PRIMARY,"Armées françaises et guerre cognitive / influence : doctrines, capacités, cibles et frontière intérieur/extérieur",DELIVERY_PASS_R3P1,INV-073_RUN_HANDOFF.md,PARTIAL,HIGH,"NONE — CLOSED; French military ILI/L2I doctrine/capability and exterior operational boundary established; 2020 France-origin CIB institutional tasking and downstream political/electoral effect not established; recheck only on authenticated tasking, deliberate domestic-targeting or causal evidence."
INV-074,PRIMARY,"ARCOM : régulateur, arbitre politique ou infrastructure procédurale ?",DELIVERY_PASS_R3P1,INV-074_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-075,PRIMARY,"Audiovisuel public : argent, gouvernance, production privée, nominations et indépendance éditoriale",DELIVERY_PASS_R3P1,INV-075_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-076,CASE,Subventions publiques et aides à la presse : dépendance économique et effets possibles sur le pluralisme,DELIVERY_PASS_R3P1,INV-076_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-077,PRIMARY,Publicité et campagnes institutionnelles comme levier économique sur les médias,DELIVERY_PASS_R3P1,INV-077_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-078,PRIMARY,Fonds Marianne et financement étatique de la contre-influence : anatomie complète,DELIVERY_PASS_R3P1,INV-078_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,"NONE — CLOSED; public counter-discourse funding, selection/governance failures and beneficiary-output issues established; direct state editorial tasking, final criminal guilt and causal political/electoral effect not established; route terminal delta to INV-144."
INV-079,PRIMARY,"Associations et prestataires subventionnés pour lutter contre désinformation, haine ou radicalisation",DELIVERY_PASS_R3P1,INV-079_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE — CLOSED; public funding/capacity ecosystem established; generalized editorial/moderation command and political/electoral causal effect not established; route terminal delta to INV-088 and INV-144.
INV-080,PRIMARY,"Sanction administrative sans condamnation judiciaire : gel des avoirs, expulsions, interdictions, réputation et seuil de preuve",DELIVERY_PASS_R3P1,INV-080_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE — CLOSED; preventive administrative powers and judicial controls established case-specifically; general partisan instrumentalization and electoral effect not established; route terminal delta to INV-129.
INV-081,PRIMARY,Propriété réelle des médias français : reconstruire les chiffres sans reprendre 9 milliardaires/80-90 % sans dénominateur,DELIVERY_PASS_R3P1,INV-081_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE — CLOSED; output available to INV-082 and INV-095 when their other dependencies are satisfied.
INV-084,PRIMARY,"AFP, Reuters, AP : pouvoir des agences sur la définition de l’agenda informationnel",DELIVERY_PASS_R3P1,INV-084_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-085,PRIMARY,Sélection des sujets avant même leur traitement : pouvoir éditorial en amont du verdict,DELIVERY_PASS_R3P1,INV-085_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE — CLOSED; upstream selection gate and relative systematic selection differences established; generalized owner/funder/state/platform topic command and political/electoral causal effect not established; route terminal delta to INV-082 and INV-068.
INV-087,PRIMARY,"Sondages comme technologie d’influence : formulation, publication, horse-race politics, effets d’entraînement",DELIVERY_PASS_R3P1,INV-087_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; polls can change viability information and behavior case-specifically; generalized intentional manipulation and causal winner change not established; reopen only on causal France/EU vote/outcome evidence or authenticated tasking.
INV-089,CASE,Trusted flaggers et intermédiaires de modération : pouvoir sans responsabilité directe,DELIVERY_PASS_R3P1,INV-089_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,"NONE — CLOSED; DSA trusted-flagger priority channel and platform-decision separation established; case-specific moderation outcomes heterogeneous; systemic political bias, state tasking and causal democratic/electoral effect not established; reopen only on notice-level error/appeal denominator, authenticated tasking or causal effect evidence."
INV-090,CASE,"Shadow banning, démonétisation, déréférencement et friction algorithmique : existence, fréquence, recours",DELIVERY_PASS_R3P1,INV-090_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,"NONE — CLOSED; explicit visibility restriction mechanisms and case-specific exposure effects established; generic partisan shadowban, generalized state tasking and electoral effect NOT_ESTABLISHED; recheck only on typed decision/reach/tasking or causal data."
INV-091,CASE,Moteurs de recherche et recommandation : structuration de l’exposition politique sans produire de contenu,DELIVERY_PASS_R3P1,INV-091_RUN_HANDOFF.md,PARTIAL,HIGH,"NONE — CLOSED; algorithmic ranking/recommendation -> differentiated exposure established; downstream political effects contingent and case-specific; no generalized France/EU electoral effect, partisan intent or state tasking established; reopen only on causal France/EU designs, reproducible political-exposure audits or authenticated tasking."
INV-092,PRIMARY,"IA générative, deepfakes et opérations d’influence automatisées : changement d’échelle réel ou panique anticipatoire ?",DELIVERY_PASS_R3P1,INV-092_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-093,PRIMARY,"Financement des campagnes françaises : argent, prêts, micro-partis, prestations, contournements possibles",DELIVERY_PASS_R3P1,INV-093_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; regulated multi-channel financing and graded controls established; upstream individual-fund origin gap remains; route terminal delta to INV-095 and INV-102; recheck only on material primary origin-of-funds or causal evidence.
INV-094,CASE,Financement étranger direct ou indirect des partis et candidats européens,DELIVERY_PASS_R3P1,INV-094_RUN_HANDOFF.md,PARTIAL,HIGH,"NONE — CLOSED; route terminal delta to INV-095; recheck only on material beneficial-owner, contract/counterparty, judicial/prosecutorial or causal evidence."
INV-096,PRIMARY,Microtargeting électoral et données personnelles en France/UE,DELIVERY_PASS_R3P1,INV-096_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; data-driven political microtargeting verified as capability/use; persuasion heterogeneous; general vote/result effect NOT_ESTABLISHED; post-Oct-2025 EU paid-platform regime materially changed; recheck only on campaign targeting logs or France/UE causal vote designs.
INV-097,PRIMARY,"Bots, faux comptes, astroturfing et amplification artificielle pendant les élections",DELIVERY_PASS_R3P1,INV-097_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,"NONE — CLOSED; artificial amplification via coordinated/inauthentic networks is established case-specifically through distribution and human retransmission; bot/fake-account/coordination/tasking categories remain distinct; generalized France/EU persuasion/electoral effect not established; recheck only on authenticated tasking, platform-scale incremental exposure denominator or causal electoral design."
INV-098,PRIMARY,"Achat de votes, clientélisme et redistribution électoraliste : formes modernes et réalité française",DELIVERY_PASS_R3P1,INV-098_RUN_HANDOFF.md,NEW,HIGH,"NONE — CLOSED; direct vote-buying case-specifically established; clientelism/electoralist allocation bounded; national prevalence, coordinated architecture and general causal electoral effect not established; route terminal delta to INV-102."
INV-099,PRIMARY,"Fraude électorale réelle versus industrie de l’accusation de fraude : fréquence, mécanismes, vérifiabilité",DELIVERY_PASS_R3P1,INV-099_RUN_HANDOFF.md,NEW,HIGH,"NONE — CLOSED; case-specific electoral fraud and fraud/error/accusation boundaries established; national prevalence, systemic architecture and general causal political effect not established; route terminal delta to INV-102."
INV-100,PRIMARY,Annulation ou neutralisation judiciaire/administrative d’une élection : Roumanie et comparaisons internationales,DELIVERY_PASS_R3P1,INV-100_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; route terminal delta to INV-102 and INV-129; recheck only on material judicial/declassified/causal evidence.
INV-103,PRIMARY,Défiance institutionnelle française : mesurer précisément qui n’est plus cru et pourquoi,DELIVERY_PASS_R3P1,INV-103_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED after post-run review; RENARD NO; causal upgrades require new identified designs/data.
INV-111,PRIMARY,Économie de l’indignation : médias et plateformes transforment-ils la colère en produit plutôt qu’en action ?,DELIVERY_PASS_R3P1,INV-111_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-112,PRIMARY,"Complotisme comme symptôme, marché et instrument politique : causes réelles, exploitations et erreurs institutionnelles",DELIVERY_PASS_R3P1,INV-112_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-119,PRIMARY,"Grandes écoles, ENA/INSP, Inspection des finances : reproduction, circulation et concentration des élites administratives",DELIVERY_PASS_R3P1,INV-119_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-120,PRIMARY,"Finance et banques : lobbying, revolving doors, dépendance réglementaire et pouvoir de marché sur la décision publique",DELIVERY_PASS_R3P1,INV-120_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-121,PRIMARY,"Industrie pharmaceutique : lobbying, expertise, recherche, régulation, médias et conflits d’intérêts",DELIVERY_PASS_R3P1,INV-121_RUN_HANDOFF.md,PARTIAL,MEDIUM,NONE - CLOSED; see RUN_HANDOFF.
INV-122,PRIMARY,"Industrie de défense : commandes publiques, lobbying, think tanks, médias et politique étrangère",DELIVERY_PASS_R3P1,INV-122_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-123,PRIMARY,Big Tech / EUCS : lobbying contre les critères de souveraineté cloud et modification du schéma européen,DELIVERY_PASS_R3P1,INV-123_RUN_HANDOFF.md,NEW_CAUSAL_CASE,HIGH,"NONE - CLOSED; reopen only on internal EUCS drafting rationale, ECCG/member-state decision records, or actor-specific access evidence capable of causal attribution."
INV-124,PRIMARY,"Debanking, paiements, sanctions et accès financier comme infrastructure privée/publique de coercition",DELIVERY_PASS_R3P1,INV-124_RUN_HANDOFF.md,PARTIAL,HIGH,"NONE — CLOSED; financial coercion/exclusion architectures separated; public sanctions establish direct command, generalized private political tasking/effect not established; delta routed to INV-129."
INV-125,PRIMARY,"Infrastructures numériques critiques et souveraineté : cloud, hébergement, données, câbles, puces, extraterritorialité et dépendance comme leviers de pouvoir",DELIVERY_PASS_R3P1,INV-125_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-126,PRIMARY,"Corps intermédiaires, syndicats, fédérations professionnelles et chambres consulaires : représentation légitime versus capture de la décision",DELIVERY_PASS_R3P1,INV-126_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-127,PRIMARY,"Soft power culturel et académique : universités, bourses, instituts, échanges, langue, culture et formation des élites",DELIVERY_PASS_R3P1,INV-127_RUN_HANDOFF.md,NEW,MEDIUM,NONE - CLOSED; see RUN_HANDOFF.
INV-128,PRIMARY,"Influence-for-hire : renseignement privé, cabinets d’intelligence, réputation, infiltration et campagnes clandestines pour clients étatiques ou privés",DELIVERY_PASS_R3P1,INV-128_RUN_HANDOFF.md,PARTIAL,HIGH,"NONE — CLOSED; route attribution/client gaps to INV-134, indirect electoral funding to INV-140, symmetry to INV-146."
INV-130,PRIMARY,"Maroc : influence politique, diplomatique, économique, sécuritaire et diasporique en France",DELIVERY_PASS_R3P1,INV-130_RUN_HANDOFF.md,NEW,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-131,PRIMARY,"Algérie : influence politique, diplomatique, économique, sécuritaire et diasporique en France",DELIVERY_PASS_R3P1,INV-131_RUN_HANDOFF.md,NEW,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-132,PRIMARY,Réseaux d’élites extra-institutionnels : cartographie comparative France/transnational et triage des cas réellement matériels,DELIVERY_PASS_R3P1,INV-132_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-134,PRIMARY,"Attribution d’ingérence : chaîne de preuve, degrés de confiance, contradictions, corrections et responsabilités",DELIVERY_PASS_R3P1,INV-134_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; attribution-edge model available to INV-137/144/146; recheck only on material new technical/tasking/causal evidence.
INV-135,PRIMARY,"Hack-and-leak, kompromat et divulgations synchronisées : voler, authentifier, falsifier ou publier pour peser sur une élection",DELIVERY_PASS_R3P1,INV-135_RUN_HANDOFF.md,PARTIAL,HIGH,"NONE — CLOSED; route attribution chronology to INV-137, timing questions to INV-143, symmetry to INV-146; recheck only on material new technical/judicial/causal evidence."
INV-136,PRIMARY,"Corruption étrangère au cœur des institutions européennes : Qatargate/Morocco, Huawei et diplomatie des cadeaux",DELIVERY_PASS_R3P1,INV-136_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; recheck Qatargate/Huawei only on material judicial/documentary evidence; route disclosure boundary to INV-145 and symmetry to INV-146.
INV-137,PRIMARY,Renseignement → exécutif → médias : la chaîne d’attribution anonyme comme dispositif d’influence,DELIVERY_PASS_R3P1,INV-137_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED; disclosure/confidence model available to INV-144/146; recheck Murayev/bounties/Nord Stream only on material declassification/judicial evidence.
INV-138,PRIMARY,"France comme puissance d’influence à l’étranger : diplomatie, AFD, médias internationaux, réseaux politiques, assistance électorale et renseignement",DELIVERY_PASS_R3P1,INV-138_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; France-as-sender controls available to INV-146; recheck only on material tasking/candidate/causal evidence.
