upstream_ref,eligible,inheritance_status,forensic_id,reason
INV-002:FCT-005,YES,DIRECT,FM-0031,historical direct lineage preserved
INV-003:LED-001,YES,DIRECT,FM-0032,historical direct lineage preserved
INV-003:CLM-001,YES,DIRECT,FM-0033,historical direct lineage preserved
INV-003:AXS-001,YES,DIRECT,FM-0034,historical direct lineage preserved
INV-003:CAU-001,YES,DIRECT,FM-0035,historical direct lineage preserved
INV-003:FCT-001,YES,DIRECT,FM-0036,historical direct lineage preserved
INV-003:FCT-002,YES,DIRECT,FM-0037,historical direct lineage preserved
INV-003:FCT-003,YES,DIRECT,FM-0038,historical direct lineage preserved
INV-003:FCT-004,YES,DIRECT,FM-0039,historical direct lineage preserved
INV-003:FCT-005,YES,DIRECT,FM-0040,historical direct lineage preserved
INV-004:LED-001,YES,DIRECT,FM-0041,historical direct lineage preserved
INV-004:CLM-001,YES,DIRECT,FM-0042,historical direct lineage preserved
INV-004:AXS-001,YES,DIRECT,FM-0043,historical direct lineage preserved
INV-004:CAU-001,YES,DIRECT,FM-0044,historical direct lineage preserved
INV-004:FCT-001,YES,DIRECT,FM-0045,historical direct lineage preserved
INV-004:FCT-002,YES,DIRECT,FM-0046,historical direct lineage preserved
INV-004:FCT-003,YES,DIRECT,FM-0047,historical direct lineage preserved
INV-004:FCT-004,YES,DIRECT,FM-0048,historical direct lineage preserved
INV-004:FCT-005,YES,DIRECT,FM-0049,historical direct lineage preserved
INV-005:LED-001,YES,DIRECT,FM-0050,historical direct lineage preserved
INV-005:CLM-001,YES,DIRECT,FM-0051,historical direct lineage preserved
INV-005:AXS-001,YES,DIRECT,FM-0052,historical direct lineage preserved
INV-005:CAU-001,YES,DIRECT,FM-0053,historical direct lineage preserved
INV-005:FCT-001,YES,DIRECT,FM-0054,historical direct lineage preserved
INV-005:FCT-002,YES,DIRECT,FM-0055,historical direct lineage preserved
INV-005:FCT-003,YES,DIRECT,FM-0056,historical direct lineage preserved
INV-005:FCT-004,YES,DIRECT,FM-0057,historical direct lineage preserved
INV-005:FCT-005,YES,DIRECT,FM-0058,historical direct lineage preserved
INV-006:LED-001,YES,DIRECT,FM-0059,historical direct lineage preserved
INV-006:CLM-001,YES,DIRECT,FM-0060,historical direct lineage preserved
INV-006:AXS-001,YES,DIRECT,FM-0061,historical direct lineage preserved
INV-006:CAU-001,YES,DIRECT,FM-0062,historical direct lineage preserved
INV-006:FCT-001,YES,DIRECT,FM-0063,historical direct lineage preserved
INV-006:FCT-002,YES,DIRECT,FM-0064,historical direct lineage preserved
INV-006:FCT-003,YES,DIRECT,FM-0065,historical direct lineage preserved
INV-006:FCT-004,YES,DIRECT,FM-0066,historical direct lineage preserved
INV-006:FCT-005,YES,DIRECT,FM-0067,historical direct lineage preserved
INV-007:LED-001,YES,DIRECT,FM-0068,historical direct lineage preserved
INV-007:CLM-001,YES,DIRECT,FM-0069,historical direct lineage preserved
INV-007:AXS-001,YES,DIRECT,FM-0070,historical direct lineage preserved
INV-007:CAU-001,YES,DIRECT,FM-0071,historical direct lineage preserved
INV-007:FCT-001,YES,DIRECT,FM-0072,historical direct lineage preserved
INV-007:FCT-002,YES,DIRECT,FM-0073,historical direct lineage preserved
INV-007:FCT-003,YES,DIRECT,FM-0389,historical direct lineage preserved
INV-007:FCT-004,YES,DIRECT,FM-0075,historical direct lineage preserved
INV-007:FCT-005,YES,DIRECT,FM-0076,historical direct lineage preserved
INV-008:LED-001,YES,DIRECT,FM-0077,historical direct lineage preserved
INV-008:CLM-001,YES,DIRECT,FM-0078,historical direct lineage preserved
INV-008:AXS-001,YES,DIRECT,FM-0079,historical direct lineage preserved
INV-008:CAU-001,YES,DIRECT,FM-0080,historical direct lineage preserved
INV-008:FCT-001,YES,DIRECT,FM-0081,historical direct lineage preserved
INV-008:FCT-002,YES,DIRECT,FM-0082,historical direct lineage preserved
INV-008:FCT-003,YES,DIRECT,FM-0083,historical direct lineage preserved
INV-008:FCT-004,YES,DIRECT,FM-0084,historical direct lineage preserved
INV-008:FCT-005,YES,DIRECT,FM-0085,historical direct lineage preserved
INV-009:LED-001,YES,DIRECT,FM-0086,historical direct lineage preserved
INV-009:CLM-001,YES,DIRECT,FM-0087,historical direct lineage preserved
INV-009:CLM-002,YES,DIRECT,FM-0088,historical direct lineage preserved
INV-009:CLM-003,YES,DIRECT,FM-0089,historical direct lineage preserved
INV-009:AXS-001,YES,DIRECT,FM-0090,historical direct lineage preserved
INV-009:AXS-002,YES,DIRECT,FM-0091,historical direct lineage preserved
INV-009:AXS-003,YES,DIRECT,FM-0092,historical direct lineage preserved
INV-009:CAU-001,YES,DIRECT,FM-0093,historical direct lineage preserved
INV-009:FCT-001,YES,DIRECT,FM-0094,historical direct lineage preserved
INV-009:FCT-002,YES,DIRECT,FM-0095,historical direct lineage preserved
INV-009:FCT-003,YES,DIRECT,FM-0096,historical direct lineage preserved
INV-009:FCT-004,YES,DIRECT,FM-0097,historical direct lineage preserved
INV-009:FCT-005,YES,DIRECT,FM-0098,historical direct lineage preserved
INV-010:LED-001,YES,DIRECT,FM-0099,historical direct lineage preserved
INV-010:CLM-001,YES,DIRECT,FM-0100,historical direct lineage preserved
INV-010:CLM-002,YES,DIRECT,FM-0101,historical direct lineage preserved
INV-010:CLM-003,YES,DIRECT,FM-0102,historical direct lineage preserved
INV-010:AXS-001,YES,DIRECT,FM-0103,historical direct lineage preserved
INV-010:AXS-002,YES,DIRECT,FM-0104,historical direct lineage preserved
INV-010:AXS-003,YES,DIRECT,FM-0105,historical direct lineage preserved
INV-010:CAU-001,YES,DIRECT,FM-0106,historical direct lineage preserved
INV-010:FCT-001,YES,DIRECT,FM-0107,historical direct lineage preserved
INV-010:FCT-002,YES,DIRECT,FM-0108,historical direct lineage preserved
INV-010:FCT-003,YES,DIRECT,FM-0109,historical direct lineage preserved
INV-010:FCT-004,YES,DIRECT,FM-0110,historical direct lineage preserved
INV-010:FCT-005,YES,DIRECT,FM-0111,historical direct lineage preserved
INV-011:LED-001,YES,DIRECT,FM-0112,historical direct lineage preserved
INV-011:CLM-001,YES,DIRECT,FM-0113,historical direct lineage preserved
INV-011:CLM-002,YES,DIRECT,FM-0114,historical direct lineage preserved
INV-011:CLM-003,YES,DIRECT,FM-0115,historical direct lineage preserved
INV-011:AXS-001,YES,DIRECT,FM-0116,historical direct lineage preserved
INV-011:AXS-002,YES,DIRECT,FM-0117,historical direct lineage preserved
INV-011:AXS-003,YES,DIRECT,FM-0118,historical direct lineage preserved
INV-011:CAU-001,YES,DIRECT,FM-0119,historical direct lineage preserved
INV-011:FCT-001,YES,DIRECT,FM-0120,historical direct lineage preserved
INV-011:FCT-002,YES,DIRECT,FM-0121,historical direct lineage preserved
INV-011:FCT-003,YES,DIRECT,FM-0122,historical direct lineage preserved
INV-011:FCT-004,YES,DIRECT,FM-0123,historical direct lineage preserved
INV-011:FCT-005,YES,DIRECT,FM-0124,historical direct lineage preserved
INV-012:LED-001,YES,DIRECT,FM-0125,historical direct lineage preserved
INV-012:CLM-001,YES,DIRECT,FM-0126,historical direct lineage preserved
INV-012:CLM-002,YES,DIRECT,FM-0127,historical direct lineage preserved
INV-012:CLM-003,YES,DIRECT,FM-0128,historical direct lineage preserved
INV-012:AXS-001,YES,DIRECT,FM-0129,historical direct lineage preserved
INV-012:AXS-002,YES,DIRECT,FM-0130,historical direct lineage preserved
INV-012:AXS-003,YES,DIRECT,FM-0131,historical direct lineage preserved
INV-012:CAU-001,YES,DIRECT,FM-0132,historical direct lineage preserved
INV-012:FCT-001,YES,DIRECT,FM-0133,historical direct lineage preserved
INV-012:FCT-002,YES,DIRECT,FM-0134,historical direct lineage preserved
INV-012:FCT-003,YES,DIRECT,FM-0135,historical direct lineage preserved
INV-012:FCT-004,YES,DIRECT,FM-0136,historical direct lineage preserved
INV-012:FCT-005,YES,DIRECT,FM-0137,historical direct lineage preserved
INV-013:LED-001,YES,DIRECT,FM-0138,historical direct lineage preserved
INV-013:LED-002,YES,DIRECT,FM-0139,historical direct lineage preserved
INV-013:LED-003,YES,DIRECT,FM-0140,historical direct lineage preserved
INV-013:CLM-001,YES,DIRECT,FM-0141,historical direct lineage preserved
INV-013:CLM-002,YES,DIRECT,FM-0142,historical direct lineage preserved
INV-013:CLM-003,YES,DIRECT,FM-0143,historical direct lineage preserved
INV-013:AXS-001,YES,DIRECT,FM-0144,historical direct lineage preserved
INV-013:AXS-002,YES,DIRECT,FM-0145,historical direct lineage preserved
INV-013:AXS-003,YES,DIRECT,FM-0146,historical direct lineage preserved
INV-013:AXS-004,YES,DIRECT,FM-0147,historical direct lineage preserved
INV-013:AXS-005,YES,DIRECT,FM-0148,historical direct lineage preserved
INV-013:CAU-001,YES,DIRECT,FM-0149,historical direct lineage preserved
INV-013:CAU-002,YES,DIRECT,FM-0150,historical direct lineage preserved
INV-013:FCT-001,YES,DIRECT,FM-0151,historical direct lineage preserved
INV-013:FCT-002,YES,DIRECT,FM-0152,historical direct lineage preserved
INV-013:FCT-003,YES,DIRECT,FM-0153,historical direct lineage preserved
INV-013:FCT-004,YES,DIRECT,FM-0154,historical direct lineage preserved
INV-013:FCT-005,YES,DIRECT,FM-0396,historical direct lineage preserved
INV-014:LED-001,YES,DIRECT,FM-0156,historical direct lineage preserved
INV-014:CLM-001,YES,DIRECT,FM-0157,historical direct lineage preserved
INV-014:AXS-001,YES,DIRECT,FM-0158,historical direct lineage preserved
INV-014:CAU-001,YES,DIRECT,FM-0159,historical direct lineage preserved
INV-014:FCT-001,YES,DIRECT,FM-0160,historical direct lineage preserved
INV-014:FCT-002,YES,DIRECT,FM-0161,historical direct lineage preserved
INV-014:FCT-003,YES,DIRECT,FM-0162,historical direct lineage preserved
INV-015:LED-001,YES,DIRECT,FM-0163,historical direct lineage preserved
INV-015:CLM-001,YES,DIRECT,FM-0164,historical direct lineage preserved
INV-015:AXS-001,YES,DIRECT,FM-0165,historical direct lineage preserved
INV-015:CAU-001,YES,DIRECT,FM-0166,historical direct lineage preserved
INV-015:FCT-001,YES,DIRECT,FM-0167,historical direct lineage preserved
INV-015:FCT-002,YES,DIRECT,FM-0168,historical direct lineage preserved
INV-015:FCT-003,YES,DIRECT,FM-0169,historical direct lineage preserved
INV-015:FCT-004,YES,DIRECT,FM-0170,historical direct lineage preserved
INV-015:FCT-005,YES,DIRECT,FM-0171,historical direct lineage preserved
INV-016:LED-001,YES,DIRECT,FM-0172,historical direct lineage preserved
INV-016:CLM-001,YES,DIRECT,FM-0173,historical direct lineage preserved
INV-016:AXS-001,YES,DIRECT,FM-0174,historical direct lineage preserved
INV-016:CAU-001,YES,DIRECT,FM-0175,historical direct lineage preserved
INV-016:CAU-002,YES,DIRECT,FM-0176,historical direct lineage preserved
INV-016:FCT-001,YES,DIRECT,FM-0177,historical direct lineage preserved
INV-016:FCT-002,YES,DIRECT,FM-0178,historical direct lineage preserved
INV-016:FCT-003,YES,DIRECT,FM-0179,historical direct lineage preserved
INV-016:FCT-004,YES,DIRECT,FM-0180,historical direct lineage preserved
INV-016:FCT-005,YES,DIRECT,FM-0396,historical direct lineage preserved
INV-017:LED-001,YES,DIRECT,FM-0182,historical direct lineage preserved
INV-017:LED-002,YES,DIRECT,FM-0183,historical direct lineage preserved
INV-017:LED-003,YES,DIRECT,FM-0184,historical direct lineage preserved
INV-017:LED-004,YES,DIRECT,FM-0185,historical direct lineage preserved
INV-017:CLM-001,YES,DIRECT,FM-0186,historical direct lineage preserved
INV-017:CLM-002,YES,DIRECT,FM-0187,historical direct lineage preserved
INV-017:AXS-001,YES,DIRECT,FM-0188,historical direct lineage preserved
INV-017:AXS-002,YES,DIRECT,FM-0189,historical direct lineage preserved
INV-017:AXS-003,YES,DIRECT,FM-0190,historical direct lineage preserved
INV-017:AXS-004,YES,DIRECT,FM-0191,historical direct lineage preserved
INV-017:CAU-001,YES,DIRECT,FM-0192,historical direct lineage preserved
INV-017:CAU-002,YES,DIRECT,FM-0193,historical direct lineage preserved
INV-017:FCT-001,YES,DIRECT,FM-0194,historical direct lineage preserved
INV-017:FCT-002,YES,DIRECT,FM-0195,historical direct lineage preserved
INV-017:FCT-003,YES,DIRECT,FM-0196,historical direct lineage preserved
INV-017:FCT-004,YES,DIRECT,FM-0197,historical direct lineage preserved
INV-017:FCT-005,YES,DIRECT,FM-0198,historical direct lineage preserved
INV-017:FCT-006,YES,DIRECT,FM-0199,historical direct lineage preserved
INV-017:FCT-007,YES,DIRECT,FM-0200,historical direct lineage preserved
INV-017:FCT-008,YES,DIRECT,FM-0201,historical direct lineage preserved
INV-018:LED-001,YES,DIRECT,FM-0202,historical direct lineage preserved
INV-018:LED-002,YES,DIRECT,FM-0203,historical direct lineage preserved
INV-018:LED-003,YES,DIRECT,FM-0204,historical direct lineage preserved
INV-018:CLM-001,YES,DIRECT,FM-0205,historical direct lineage preserved
INV-018:CLM-002,YES,DIRECT,FM-0206,historical direct lineage preserved
INV-018:CLM-003,YES,DIRECT,FM-0207,historical direct lineage preserved
INV-018:AXS-001,YES,DIRECT,FM-0208,historical direct lineage preserved
INV-018:AXS-002,YES,DIRECT,FM-0209,historical direct lineage preserved
INV-018:CAU-001,YES,DIRECT,FM-0210,historical direct lineage preserved
INV-018:CAU-002,YES,DIRECT,FM-0211,historical direct lineage preserved
INV-018:FCT-001,YES,DIRECT,FM-0212,historical direct lineage preserved
INV-018:FCT-002,YES,DIRECT,FM-0213,historical direct lineage preserved
INV-018:FCT-003,YES,DIRECT,FM-0214,historical direct lineage preserved
INV-018:FCT-004,YES,DIRECT,FM-0215,historical direct lineage preserved
INV-018:FCT-005,YES,DIRECT,FM-0216,historical direct lineage preserved
INV-018:FCT-006,YES,DIRECT,FM-0217,historical direct lineage preserved
INV-019:LED-001,YES,DIRECT,FM-0218,historical direct lineage preserved
INV-019:LED-002,YES,DIRECT,FM-0219,historical direct lineage preserved
INV-019:LED-003,YES,DIRECT,FM-0220,historical direct lineage preserved
INV-019:CLM-001,YES,DIRECT,FM-0221,historical direct lineage preserved
INV-019:CLM-002,YES,DIRECT,FM-0222,historical direct lineage preserved
INV-019:AXS-001,YES,DIRECT,FM-0223,historical direct lineage preserved
INV-019:AXS-002,YES,DIRECT,FM-0224,historical direct lineage preserved
INV-019:CAU-001,YES,DIRECT,FM-0225,historical direct lineage preserved
INV-019:CAU-002,YES,DIRECT,FM-0226,historical direct lineage preserved
INV-019:CAU-003,YES,DIRECT,FM-0227,historical direct lineage preserved
INV-019:FCT-001,YES,DIRECT,FM-0228,historical direct lineage preserved
INV-019:FCT-002,YES,DIRECT,FM-0229,historical direct lineage preserved
INV-019:FCT-003,YES,DIRECT,FM-0230,historical direct lineage preserved
INV-019:FCT-004,YES,DIRECT,FM-0231,historical direct lineage preserved
INV-019:FCT-005,YES,DIRECT,FM-0232,historical direct lineage preserved
INV-020:LED-001,YES,DIRECT,FM-0233,historical direct lineage preserved
INV-020:LED-002,YES,DIRECT,FM-0234,historical direct lineage preserved
INV-020:LED-003,YES,DIRECT,FM-0235,historical direct lineage preserved
INV-020:CLM-001,YES,DIRECT,FM-0236,historical direct lineage preserved
INV-020:CLM-002,YES,DIRECT,FM-0237,historical direct lineage preserved
INV-020:CLM-003,YES,DIRECT,FM-0238,historical direct lineage preserved
INV-020:CLM-004,YES,DIRECT,FM-0239,historical direct lineage preserved
INV-020:AXS-001,YES,DIRECT,FM-0240,historical direct lineage preserved
INV-020:AXS-002,YES,DIRECT,FM-0241,historical direct lineage preserved
INV-020:CAU-001,YES,DIRECT,FM-0242,historical direct lineage preserved
INV-020:CAU-002,YES,DIRECT,FM-0243,historical direct lineage preserved
INV-020:CAU-003,YES,DIRECT,FM-0244,historical direct lineage preserved
INV-020:FCT-001,YES,DIRECT,FM-0245,historical direct lineage preserved
INV-020:FCT-002,YES,DIRECT,FM-0246,historical direct lineage preserved
INV-020:FCT-003,YES,DIRECT,FM-0247,historical direct lineage preserved
INV-020:FCT-004,YES,DIRECT,FM-0248,historical direct lineage preserved
INV-020:FCT-005,YES,DIRECT,FM-0249,historical direct lineage preserved
INV-021:LED-001,YES,DIRECT,FM-0250,historical direct lineage preserved
INV-021:LED-002,YES,DIRECT,FM-0251,historical direct lineage preserved
INV-021:LED-003,YES,DIRECT,FM-0252,historical direct lineage preserved
INV-021:LED-004,YES,DIRECT,FM-0253,historical direct lineage preserved
INV-021:CLM-001,YES,DIRECT,FM-0254,historical direct lineage preserved
INV-021:CLM-002,YES,DIRECT,FM-0255,historical direct lineage preserved
INV-021:AXS-001,YES,DIRECT,FM-0256,historical direct lineage preserved
INV-021:AXS-002,YES,DIRECT,FM-0257,historical direct lineage preserved
INV-021:AXS-003,YES,DIRECT,FM-0258,historical direct lineage preserved
INV-021:CAU-001,YES,DIRECT,FM-0259,historical direct lineage preserved
INV-021:CAU-002,YES,DIRECT,FM-0260,historical direct lineage preserved
INV-021:CAU-003,YES,DIRECT,FM-0261,historical direct lineage preserved
INV-021:FCT-001,YES,DIRECT,FM-0262,historical direct lineage preserved
INV-021:FCT-002,YES,DIRECT,FM-0263,historical direct lineage preserved
INV-021:FCT-003,YES,DIRECT,FM-0264,historical direct lineage preserved
INV-021:FCT-004,YES,DIRECT,FM-0265,historical direct lineage preserved
INV-022:LED-001,YES,DIRECT,FM-0266,historical direct lineage preserved
INV-022:LED-002,YES,DIRECT,FM-0267,historical direct lineage preserved
INV-022:LED-003,YES,DIRECT,FM-0268,historical direct lineage preserved
INV-022:CLM-001,YES,DIRECT,FM-0269,historical direct lineage preserved
INV-022:AXS-001,YES,DIRECT,FM-0270,historical direct lineage preserved
INV-022:AXS-002,YES,DIRECT,FM-0271,historical direct lineage preserved
INV-022:CAU-001,YES,DIRECT,FM-0272,historical direct lineage preserved
INV-022:CAU-002,YES,DIRECT,FM-0273,historical direct lineage preserved
INV-022:CAU-003,YES,DIRECT,FM-0274,historical direct lineage preserved
INV-022:FCT-001,YES,DIRECT,FM-0275,historical direct lineage preserved
INV-022:FCT-002,YES,DIRECT,FM-0276,historical direct lineage preserved
INV-022:FCT-003,YES,DIRECT,FM-0277,historical direct lineage preserved
INV-022:FCT-004,YES,DIRECT,FM-0278,historical direct lineage preserved
INV-022:FCT-005,YES,DIRECT,FM-0279,historical direct lineage preserved
INV-022:FCT-006,YES,DIRECT,FM-0280,historical direct lineage preserved
INV-023:LED-001,YES,DIRECT,FM-0281,historical direct lineage preserved
INV-023:LED-002,YES,DIRECT,FM-0282,historical direct lineage preserved
INV-023:LED-003,YES,DIRECT,FM-0283,historical direct lineage preserved
INV-023:LED-004,YES,DIRECT,FM-0396,historical direct lineage preserved
INV-023:LED-005,YES,DIRECT,FM-0285,historical direct lineage preserved
INV-023:CLM-001,YES,DIRECT,FM-0286,historical direct lineage preserved
INV-023:CLM-002,YES,DIRECT,FM-0287,historical direct lineage preserved
INV-023:CLM-003,YES,DIRECT,FM-0288,historical direct lineage preserved
INV-023:CLM-004,YES,DIRECT,FM-0289,historical direct lineage preserved
INV-023:CLM-005,YES,DIRECT,FM-0290,historical direct lineage preserved
INV-023:AXS-001,YES,DIRECT,FM-0291,historical direct lineage preserved
INV-023:AXS-002,YES,DIRECT,FM-0292,historical direct lineage preserved
INV-023:AXS-003,YES,DIRECT,FM-0293,historical direct lineage preserved
INV-023:AXS-004,YES,DIRECT,FM-0294,historical direct lineage preserved
INV-023:AXS-005,YES,DIRECT,FM-0295,historical direct lineage preserved
INV-023:CAU-001,YES,DIRECT,FM-0296,historical direct lineage preserved
INV-023:CAU-002,YES,DIRECT,FM-0297,historical direct lineage preserved
INV-023:FCT-001,YES,DIRECT,FM-0298,historical direct lineage preserved
INV-023:FCT-002,YES,DIRECT,FM-0299,historical direct lineage preserved
INV-023:FCT-003,YES,DIRECT,FM-0396,historical direct lineage preserved
INV-023:FCT-004,YES,DIRECT,FM-0389,historical direct lineage preserved
INV-023:FCT-005,YES,DIRECT,FM-0396,historical direct lineage preserved
INV-024:LED-001,YES,DIRECT,FM-0303,historical direct lineage preserved
INV-024:LED-002,YES,DIRECT,FM-0304,historical direct lineage preserved
INV-024:LED-003,YES,DIRECT,FM-0305,historical direct lineage preserved
INV-024:CLM-001,YES,DIRECT,FM-0306,historical direct lineage preserved
INV-024:CLM-002,YES,DIRECT,FM-0307,historical direct lineage preserved
INV-024:AXS-001,YES,DIRECT,FM-0308,historical direct lineage preserved
INV-024:AXS-002,YES,DIRECT,FM-0309,historical direct lineage preserved
INV-024:AXS-003,YES,DIRECT,FM-0310,historical direct lineage preserved
INV-024:CAU-001,YES,DIRECT,FM-0311,historical direct lineage preserved
INV-024:CAU-002,YES,DIRECT,FM-0312,historical direct lineage preserved
INV-024:CAU-003,YES,DIRECT,FM-0313,historical direct lineage preserved
INV-024:FCT-001,YES,DIRECT,FM-0314,historical direct lineage preserved
INV-024:FCT-002,YES,DIRECT,FM-0315,historical direct lineage preserved
INV-024:FCT-003,YES,DIRECT,FM-0316,historical direct lineage preserved
INV-024:FCT-004,YES,DIRECT,FM-0317,historical direct lineage preserved
INV-025:LED-001,YES,DIRECT,FM-0318,historical direct lineage preserved
INV-025:LED-002,YES,DIRECT,FM-0319,historical direct lineage preserved
INV-025:LED-003,YES,DIRECT,FM-0320,historical direct lineage preserved
INV-025:CLM-001,YES,DIRECT,FM-0321,historical direct lineage preserved
INV-025:CLM-002,YES,DIRECT,FM-0322,historical direct lineage preserved
INV-025:AXS-001,YES,DIRECT,FM-0323,historical direct lineage preserved
INV-025:AXS-002,YES,DIRECT,FM-0324,historical direct lineage preserved
INV-025:CAU-001,YES,DIRECT,FM-0325,historical direct lineage preserved
INV-025:CAU-002,YES,DIRECT,FM-0326,historical direct lineage preserved
INV-025:CAU-003,YES,DIRECT,FM-0327,historical direct lineage preserved
INV-025:FCT-001,YES,DIRECT,FM-0328,historical direct lineage preserved
INV-025:FCT-002,YES,DIRECT,FM-0329,historical direct lineage preserved
INV-025:FCT-003,YES,DIRECT,FM-0330,historical direct lineage preserved
INV-025:FCT-004,YES,DIRECT,FM-0331,historical direct lineage preserved
INV-026:LED-001,YES,DIRECT,FM-0332,historical direct lineage preserved
INV-026:LED-002,YES,DIRECT,FM-0333,historical direct lineage preserved
INV-026:LED-003,YES,DIRECT,FM-0334,historical direct lineage preserved
INV-026:LED-004,YES,DIRECT,FM-0335,historical direct lineage preserved
INV-026:CLM-001,YES,DIRECT,FM-0336,historical direct lineage preserved
INV-026:CLM-002,YES,DIRECT,FM-0337,historical direct lineage preserved
INV-026:CLM-003,YES,DIRECT,FM-0338,historical direct lineage preserved
INV-026:CLM-004,YES,DIRECT,FM-0339,historical direct lineage preserved
INV-026:CLM-005,YES,DIRECT,FM-0340,historical direct lineage preserved
INV-026:CLM-006,YES,DIRECT,FM-0341,historical direct lineage preserved
INV-026:AXS-001,YES,DIRECT,FM-0342,historical direct lineage preserved
INV-026:AXS-002,YES,DIRECT,FM-0343,historical direct lineage preserved
INV-026:AXS-003,YES,DIRECT,FM-0344,historical direct lineage preserved
INV-026:AXS-004,YES,DIRECT,FM-0345,historical direct lineage preserved
INV-026:AXS-005,YES,DIRECT,FM-0346,historical direct lineage preserved
INV-026:AXS-006,YES,DIRECT,FM-0347,historical direct lineage preserved
INV-026:AXS-007,YES,DIRECT,FM-0348,historical direct lineage preserved
INV-026:CAU-001,YES,DIRECT,FM-0349,historical direct lineage preserved
INV-026:FCT-001,YES,DIRECT,FM-0350,historical direct lineage preserved
INV-026:FCT-002,YES,DIRECT,FM-0351,historical direct lineage preserved
INV-026:FCT-003,YES,DIRECT,FM-0352,historical direct lineage preserved
INV-026:FCT-004,YES,DIRECT,FM-0353,historical direct lineage preserved
INV-026:FCT-005,YES,DIRECT,FM-0354,historical direct lineage preserved
INV-026:FCT-006,YES,DIRECT,FM-0355,historical direct lineage preserved
INV-026:FCT-007,YES,DIRECT,FM-0356,historical direct lineage preserved
INV-027:LED-001,YES,DIRECT,FM-0357,historical direct lineage preserved
INV-027:LED-002,YES,DIRECT,FM-0358,historical direct lineage preserved
INV-027:LED-003,YES,DIRECT,FM-0359,historical direct lineage preserved
INV-027:LED-004,YES,DIRECT,FM-0360,historical direct lineage preserved
INV-027:CLM-001,YES,DIRECT,FM-0361,historical direct lineage preserved
INV-027:CLM-002,YES,DIRECT,FM-0362,historical direct lineage preserved
INV-027:CLM-003,YES,DIRECT,FM-0363,historical direct lineage preserved
INV-027:CLM-004,YES,DIRECT,FM-0364,historical direct lineage preserved
INV-027:CLM-005,YES,DIRECT,FM-0365,historical direct lineage preserved
INV-027:CLM-006,YES,DIRECT,FM-0366,historical direct lineage preserved
INV-027:AXS-001,YES,DIRECT,FM-0367,historical direct lineage preserved
INV-027:AXS-002,YES,DIRECT,FM-0368,historical direct lineage preserved
INV-027:AXS-003,YES,DIRECT,FM-0369,historical direct lineage preserved
INV-027:AXS-004,YES,DIRECT,FM-0370,historical direct lineage preserved
INV-027:AXS-005,YES,DIRECT,FM-0371,historical direct lineage preserved
INV-027:AXS-006,YES,DIRECT,FM-0372,historical direct lineage preserved
INV-027:AXS-007,YES,DIRECT,FM-0373,historical direct lineage preserved
INV-027:CAU-001,YES,DIRECT,FM-0374,historical direct lineage preserved
INV-027:FCT-001,YES,DIRECT,FM-0375,historical direct lineage preserved
INV-027:FCT-002,YES,DIRECT,FM-0376,historical direct lineage preserved
INV-027:FCT-003,YES,DIRECT,FM-0377,historical direct lineage preserved
INV-027:FCT-004,YES,DIRECT,FM-0378,historical direct lineage preserved
