claim_id,forensic_id,raw_kind,origin_refs,source_status,current_epi,disposition,support_fct_count,unique_source_urls,unique_source_families,primary_source_signal,quantitative_signal,causal_signal,e4_design_signal,evidence_level,classification_reason,scope,scope_reason
C-FM-0122,FM-0122,FCT,INV-011:FCT-003,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0123,FM-0123,FCT,INV-011:FCT-004,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0124,FM-0124,FCT,INV-011:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0126,FM-0126,CLM,INV-012:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,NO,NO,NO,E0,R0 open investigative proposition: no positive assertion right,NATIONAL,explicit France/national keyword
C-FM-0127,FM-0127,CLM,INV-012:CLM-002,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,NO,YES,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0128,FM-0128,CLM,INV-012:CLM-003,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0132,FM-0132,CAU,INV-012:CAU-001,GAP,UNKNOWN,BLOCKED,0,0,0,NO,NO,YES,NO,E1,R1 non-finding/documentary gap only; underlying proposition remains UNKNOWN,OTHER,no safe geographic inference
C-FM-0133,FM-0133,FCT,INV-012:FCT-001,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0134,FM-0134,FCT,INV-012:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0135,FM-0135,FCT,INV-012:FCT-003,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0136,FM-0136,FCT,INV-012:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0137,FM-0137,FCT,INV-012:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0141,FM-0141,CLM,INV-013:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0142,FM-0142,CLM,INV-013:CLM-002,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0143,FM-0143,CLM,INV-013:CLM-003,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0149,FM-0149,CAU,INV-013:CAU-001,SATURATED,INFERENCE,RESOLVED,1,1,1,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0150,FM-0150,CAU,INV-013:CAU-002,SATURATED,INFERENCE,RESOLVED,1,1,1,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0151,FM-0151,FCT,INV-013:FCT-001,FACT,FACT,RESOLVED,1,1,1,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0152,FM-0152,FCT,INV-013:FCT-002,FACT,FACT,RESOLVED,1,1,1,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0153,FM-0153,FCT,INV-013:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0154,FM-0154,FCT,INV-013:FCT-004,FACT,FACT,RESOLVED,1,1,1,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0155,FM-0155,FCT,INV-013:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0157,FM-0157,CLM,INV-014:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,LOCAL,local institution/site keyword
C-FM-0159,FM-0159,CAU,INV-014:CAU-001,SATURATED,INFERENCE,RESOLVED,1,1,2,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,LOCAL,local institution/site keyword
C-FM-0160,FM-0160,FCT,INV-014:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0161,FM-0161,FCT,INV-014:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0162,FM-0162,FCT,INV-014:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0164,FM-0164,CLM,INV-015:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0166,FM-0166,CAU,INV-015:CAU-001,SUPPORTED,INFERENCE,RESOLVED,1,1,2,YES,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0167,FM-0167,FCT,INV-015:FCT-001,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E3,R7 primary act/contract/register directly establishes the bounded fact/relation,OTHER,no safe geographic inference
C-FM-0168,FM-0168,FCT,INV-015:FCT-002,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0169,FM-0169,FCT,INV-015:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0170,FM-0170,FCT,INV-015:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0171,FM-0171,FCT,INV-015:FCT-005,FACT,FACT,RESOLVED,1,1,1,YES,YES,NO,NO,E3,R7 primary act/contract/register directly establishes the bounded fact/relation,OTHER,no safe geographic inference
C-FM-0173,FM-0173,CLM,INV-016:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0175,FM-0175,CAU,INV-016:CAU-001,SATURATED,INFERENCE,RESOLVED,1,1,2,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0176,FM-0176,CAU,INV-016:CAU-002,SATURATED,INFERENCE,RESOLVED,1,1,2,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0177,FM-0177,FCT,INV-016:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0178,FM-0178,FCT,INV-016:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0179,FM-0179,FCT,INV-016:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0180,FM-0180,FCT,INV-016:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0181,FM-0181,FCT,INV-016:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
