claim_id,subject_id,claim_type,statement,valid_from,valid_to,epistemic_status,commercial_value,publicability,sensitivity,last_reviewed,notes
CLM-0140,ART-RR,EXISTENCE,Le dépôt public giak/reseau-racine existe.,,,OBSERVED,MEDIUM,YES,normal,2026-08-16,
CLM-0141,ART-RR,TECHNICAL,"Le README documente une messagerie Rust/Nostr utilisant NIP-17/NIP-44, Docker, CLI et cellules chiffrées.",,,DOCUMENTED,MEDIUM,YES,normal,2026-08-16,
CLM-0142,ART-RR,INFERENCE,Le projet prouve une pratique de Rust/crypto appliquée; il ne suffit pas à qualifier la personne de cryptographe ou expert cybersécurité.,,,INFERRED,HIGH,YES,normal,2026-08-16,
CLM-0200,PUB-SUBSTACK,EXISTENCE,La page Substack publique « Résistance Cognitive » est active et attribuée à Christophe Giacomel / Giak.,,,OBSERVED,HIGH,YES,normal,2026-08-16,
CLM-0201,PUB-SUBSTACK,METRIC,La page À propos déclare 119 articles publiés au 16/08/2026.,,,DOCUMENTED,HIGH,CAUTION,normal,2026-08-16,À confirmer par export/listing dédoublonné.
CLM-0202,PUB-SUBSTACK,METRIC,"La page À propos déclare plus de 2,2 millions de mots de dossiers d'enquête.",,,SELF_REPORTED,MEDIUM,BLOCKED,normal,2026-08-16,Requiert comptage reproductible du corpus.
CLM-0203,PUB-SUBSTACK,METRIC,La page À propos déclare 16 à 30 heures par article.,,,SELF_REPORTED,LOW,CAUTION,normal,2026-08-16,Temps de travail auto-estimé; faible intérêt probatoire.
CLM-0204,PUB-SUBSTACK,PROCESS,"La page À propos décrit un workflow LLM avec recherche, compilation, reformulation, vérification humaine, recadrage et confrontation de plusieurs modèles.",,,DOCUMENTED,HIGH,YES,normal,2026-08-16,
CLM-0205,PUB-TECH,PUBLICATION,"Le portfolio public contient une production technique sur architecture, design patterns, JavaScript/TypeScript et IA/MCP.",,,OBSERVED,MEDIUM,YES,normal,2026-08-16,
CLM-0206,PUB-TECH,METRIC,Le résumé 2026 revendique 30+ articles techniques.,,,SELF_REPORTED,MEDIUM,CAUTION,normal,2026-08-16,Compter la timeline/les pages pour établir un total exact.
CLM-0300,PERSON,CAPABILITY,"« Intelligence Artificielle — Expert » est une auto-évaluation, pas un claim canonique publiable tel quel.",,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,
CLM-0301,PERSON,CAPABILITY,« Sécurité & Privacy — Expert » est une auto-évaluation insuffisamment étayée pour devenir un positionnement principal.,,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,
CLM-0302,PERSON,CAPABILITY,« Qualité & Testing — Expert » est une auto-évaluation; les pratiques et métriques doivent être publiées à la place du niveau.,,,SELF_REPORTED,MEDIUM,BLOCKED,normal,2026-08-16,
CLM-0303,PERSON,AUTHORSHIP,"« Tous les projets from scratch, solo » dépasse ce que les dépôts seuls peuvent prouver.",,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,Préférer mainteneur/pilote principal si l'historique le confirme.
CLM-0304,ART-MCO,QUALITY,« Compression DSL zéro perte sémantique » est un claim de performance fort non vérifié dans V0.1.,,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,"Nécessite protocole d'évaluation, corpus, métrique et résultats reproductibles."
CLM-0305,PERSON,INFERENCE,Les preuves actuelles soutiennent mieux « architecture logicielle + systèmes IA + knowledge engineering » que « prompt engineer ».,,,INFERRED,HIGH,YES,normal,2026-08-16,
CLM-0306,PERSON,INFERENCE,Les preuves de fabrication technique sont actuellement plus fortes que les preuves d'usage client et de ROI pour les projets IA récents.,,,INFERRED,HIGH,YES,normal,2026-08-16,
CLM-0400,REAL-HYDRO,RESULT,"HydroDam: -40 % incidents, ROI <12 mois, -25 % coûts, 85 % prédiction pannes.",,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,Présent dans le résumé 2026; aucune pièce client/mesure indépendante collectée dans V0.1.
CLM-0401,REAL-ACCES,RESULT,"Accès Industrie: +30 % optimisation d'utilisation, 99,95 % disponibilité et autres métriques de volume.",,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,Présent dans le résumé 2026; aucune pièce client/mesure indépendante collectée dans V0.1.
CLM-0402,REAL-DFACTO,RESULT,"DFacto: +45 % productivité comptable, ROI 4 mois, +30 % suivi charges, +25 % pilotage.",,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,Présent dans le résumé 2026; aucune pièce client/mesure indépendante collectée dans V0.1.
CLM-0403,REAL-BBOI,RESULT,"BBOI: -40 % temps de gestion, -60 % erreurs, +35 % efficacité, ROI <6 mois.",,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,Présent dans le résumé 2026; aucune pièce client/mesure indépendante collectée dans V0.1.
CLM-0404,REAL-BBOIH,RESULT,"BBOIHeures: -70 % erreurs de saisie, 4 h/j gagnées, -15 % coûts RH, 95 % satisfaction.",,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,Présent dans le résumé 2026; aucune pièce client/mesure indépendante collectée dans V0.1.
CLM-0405,REAL-VDGI,RESULT,"VDGI: +40 % productivité, -60 % erreurs, +30 % traitement, 99,9 % disponibilité.",,,SELF_REPORTED,HIGH,BLOCKED,normal,2026-08-16,Présent dans le résumé 2026; aucune pièce client/mesure indépendante collectée dans V0.1.
