edge_id,claim_id,source_id,relation,directness,scope,independence_group,notes
EDG-0026,CLM-0022,SRC-0001,PARTIALLY_SUPPORTS,secondary-self,"Summary repeats the claim; same originator, no independence.",GIACOMEL_SELF,
EDG-0027,CLM-0023,SRC-0001,PARTIALLY_SUPPORTS,secondary-self,"Summary repeats the claim; same originator, no independence.",GIACOMEL_SELF,
EDG-0028,CLM-0024,SRC-0001,PARTIALLY_SUPPORTS,secondary-self,"Summary repeats the claim; same originator, no independence.",GIACOMEL_SELF,
EDG-0029,CLM-0025,SRC-0001,PARTIALLY_SUPPORTS,secondary-self,"Summary repeats the claim; same originator, no independence.",GIACOMEL_SELF,
EDG-0030,CLM-0026,SRC-0001,PARTIALLY_SUPPORTS,secondary-self,"Summary repeats the claim; same originator, no independence.",GIACOMEL_SELF,
EDG-0031,CLM-0027,SRC-0001,PARTIALLY_SUPPORTS,secondary-self,"Summary repeats the claim; same originator, no independence.",GIACOMEL_SELF,
EDG-0032,CLM-0028,SRC-0001,PARTIALLY_SUPPORTS,secondary-self,"Summary repeats the claim; same originator, no independence.",GIACOMEL_SELF,
EDG-0033,CLM-0100,SRC-0005,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0034,CLM-0100,SRC-0006,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0035,CLM-0101,SRC-0006,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0036,CLM-0102,SRC-0007,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0037,CLM-0103,SRC-0007,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0038,CLM-0104,SRC-0007,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0039,CLM-0105,SRC-0007,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0040,CLM-0106,SRC-0007,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0041,CLM-0107,SRC-0007,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0042,CLM-0107,SRC-0006,SUPPORTS,contextual,repository existence/current activity,GITHUB_PLATFORM,
EDG-0043,CLM-0110,SRC-0005,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0044,CLM-0111,SRC-0008,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0045,CLM-0112,SRC-0008,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0046,CLM-0113,SRC-0008,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0047,CLM-0115,SRC-0008,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0048,CLM-0114,SRC-0009,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0049,CLM-0114,SRC-0001,SUPPORTS,contextual,summary scopes 0.py to Truth Engine v2 but wording can be misread,GIACOMEL_SELF,
EDG-0050,CLM-0120,SRC-0005,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0051,CLM-0120,SRC-0011,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0052,CLM-0121,SRC-0010,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0053,CLM-0122,SRC-0010,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0054,CLM-0122,SRC-0011,SUPPORTS,contextual,,GITHUB_PLATFORM,
EDG-0055,CLM-0130,SRC-0005,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0056,CLM-0131,SRC-0012,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0057,CLM-0132,SRC-0012,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0058,CLM-0140,SRC-0005,SUPPORTS,direct,,GITHUB_PLATFORM,
EDG-0059,CLM-0141,SRC-0013,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0060,CLM-0142,SRC-0013,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0061,CLM-0200,SRC-0004,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0062,CLM-0201,SRC-0004,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0063,CLM-0202,SRC-0004,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0064,CLM-0203,SRC-0004,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0065,CLM-0204,SRC-0004,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0066,CLM-0205,SRC-0002,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0067,CLM-0205,SRC-0015,SUPPORTS,contextual,,GITHUB_PLATFORM,
EDG-0068,CLM-0206,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0069,CLM-0300,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0070,CLM-0301,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0071,CLM-0302,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0072,CLM-0303,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0073,CLM-0304,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0074,CLM-0305,SRC-0007,SUPPORTS,contextual,,GIACOMEL_SELF,
EDG-0075,CLM-0305,SRC-0008,SUPPORTS,contextual,,GIACOMEL_SELF,
EDG-0076,CLM-0305,SRC-0012,SUPPORTS,contextual,,GIACOMEL_SELF,
EDG-0077,CLM-0306,SRC-0001,SUPPORTS,contextual,,GIACOMEL_SELF,
EDG-0078,CLM-0306,SRC-0005,SUPPORTS,contextual,,GITHUB_PLATFORM,
EDG-0079,CLM-0400,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0080,CLM-0401,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0081,CLM-0402,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0082,CLM-0403,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0083,CLM-0404,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0084,CLM-0405,SRC-0001,SUPPORTS,direct,,GIACOMEL_SELF,
