archive_path,source_path,role,canonical,note,size_bytes,sha256
02_INVESTIGATIONS/2026-08-25_17-48_p0-suite-dix-organisations_INVESTIGATION.md,/mnt/data/2026-08-25_17-48_p0-suite-dix-organisations_INVESTIGATION.md,Investigation / matière probatoire,False,,20018,76ec0c761e820ce120249a27c5c86d2273835e293a049db32300265dfe2e9d20
02_INVESTIGATIONS/2026-08-25_18-10_ia-declaree-vs-ia-reelle_INVESTIGATION.md,/mnt/data/2026-08-25_18-10_ia-declaree-vs-ia-reelle_INVESTIGATION.md,Investigation / matière probatoire,False,,11612,c94d595eec296c4e31b0ebc282ad0ee21f2dd4b79939dc9dbef950f79b7b1e5e
02_INVESTIGATIONS/2026-08-25_18-24_licenciements-ia-et-prix-services_INVESTIGATION.md,/mnt/data/2026-08-25_18-24_licenciements-ia-et-prix-services_INVESTIGATION.md,Investigation / matière probatoire,False,,15588,a2d0005feae8aabf9137242cdcf61ddd18a69811bc0c68040f77a2d9e7f78ccf
02_INVESTIGATIONS/2026-08-25_18-36_pyramide-services_INVESTIGATION.md,/mnt/data/2026-08-25_18-36_pyramide-services_INVESTIGATION.md,Investigation / matière probatoire,False,,18443,583a6df211b6afbdb6457ec040ae998c02052b8be8f44d605744ad7d9bb997c7
02_INVESTIGATIONS/2026-08-25_18-54_fresque-historique-travail-ia_INVESTIGATION.md,/mnt/data/2026-08-25_18-54_fresque-historique-travail-ia_INVESTIGATION.md,Investigation / matière probatoire,False,,15672,09eb08857f99039dd44bcb98be9a0a3b568067c3bca2082da5ee015ab0614c67
03_AUDITS_QA/2026-08-25_V3_1_P0_P1_APPLIED.md,/mnt/data/2026-08-25_V3_1_P0_P1_APPLIED.md,Audit / QA / décisions éditoriales,False,,1877,b781b283b49044fdf736aebcb9a3577b53e100dd3916b05eb21a04664a1ab554
03_AUDITS_QA/2026-08-25_V3_DOUBLECHECK_FORENSIQUE.md,/mnt/data/2026-08-25_V3_DOUBLECHECK_FORENSIQUE.md,Audit / QA / décisions éditoriales,False,,7611,166311dc4276b2dd6432a286e25b33f29b7ced8cc5008999a73486eff0c0c408
03_AUDITS_QA/2026-08-25_article-v2_p0-p1_APPLIED.md,/mnt/data/2026-08-25_article-v2_p0-p1_APPLIED.md,Audit / QA / décisions éditoriales,False,,1517,37228ba26db8dcda62e653eb3daf04051ee4286f96078a36cc0fc7c843039d0a
03_AUDITS_QA/2026-08-25_article-v3_RESET_REPORT.md,/mnt/data/2026-08-25_article-v3_RESET_REPORT.md,Audit / QA / décisions éditoriales,False,,2110,dbaf692a9188c9f654fc95b9bdd2df2949dd9eb8dae34c8c93324acc1f5ec2c2
03_AUDITS_QA/2026-08-25_audit-multirole-article-v1_REVIEW.md,/mnt/data/2026-08-25_audit-multirole-article-v1_REVIEW.md,Audit / QA / décisions éditoriales,False,,7282,d8c784a1f5aa5ab5fc2c1b34dbf99e5772728fe7e7f37c046b2c1643fe9d90ef
04_TRACEABILITY/IA_TRAVAIL_MANIFEST_SHA256.txt,/mnt/data/IA_TRAVAIL_MANIFEST_SHA256.txt,Manifest antérieur,False,,5973,1c0bb9b6e3cdf18cf82bd29bd4b9aa2fe73ddc8869c7d935f21d9569478736bb
04_TRACEABILITY/IA_TRAVAIL_TRACEABILITY_DASHBOARD_preview.png,/mnt/data/IA_TRAVAIL_TRACEABILITY_DASHBOARD_preview.png,Aperçu visuel du dashboard,False,,399589,2e03956e3eea2c98780584bfdb6f3ba1c72f7d805068aa59db80be150496adc3
04_TRACEABILITY/IA_TRAVAIL_TRACEABILITY_README.md,/mnt/data/IA_TRAVAIL_TRACEABILITY_README.md,README du socle maître,False,,2066,75391a52103948bb32e47f2fa3fa835b64042e5ffeaf80662dd1ef9674caacc6
04_TRACEABILITY/canonical_v3_1/IA_TRAVAIL_TRACEABILITY_MASTER.sqlite,/mnt/data/IA_TRAVAIL_V3_1_BUNDLE_2026-08-25.zip!/IA_TRAVAIL_TRACEABILITY_MASTER.sqlite,État canonique de traçabilité V3.1,True,"Extrait du bundle V3.1, utilisé comme référence canonique.",466944,701b914a52f141081c0b867231a3eb89f80e326dc0e8d7ba525949a0374ee38f
04_TRACEABILITY/canonical_v3_1/IA_TRAVAIL_TRACEABILITY_MASTER.xlsx,/mnt/data/IA_TRAVAIL_V3_1_BUNDLE_2026-08-25.zip!/IA_TRAVAIL_TRACEABILITY_MASTER.xlsx,État canonique de traçabilité V3.1,True,"Extrait du bundle V3.1, utilisé comme référence canonique.",245056,8f9f8b1b6b2ea2deb4cdc240d4733e825e229fb2c02c592353aee2015c01b3ba
04_TRACEABILITY/root_snapshot_regression/IA_TRAVAIL_TRACEABILITY_MASTER_ROOT_2026-08-26.sqlite,/mnt/data/IA_TRAVAIL_TRACEABILITY_MASTER.sqlite,Snapshot racine détecté comme régressé,False,État racine V1-only détecté lors de l'archivage ; conservé comme preuve de régression.,376832,c7f8f7dce0210e18d0b7ad4ffc95d110ec0cfaa139e44558e532bd41aa5d53b8
04_TRACEABILITY/root_snapshot_regression/IA_TRAVAIL_TRACEABILITY_MASTER_ROOT_2026-08-26.xlsx,/mnt/data/IA_TRAVAIL_TRACEABILITY_MASTER.xlsx,Snapshot racine du dashboard,False,Le classeur racine avait le même SHA-256 que le classeur canonique V3.1 au moment du contrôle.,245056,8f9f8b1b6b2ea2deb4cdc240d4733e825e229fb2c02c592353aee2015c01b3ba
05_CONVERSATION/CONVERSATION_ARCHIVE_LIMITATION.md,generated,Avertissement de complétude conversation,True,Documente l'absence d'export verbatim.,821,c516223dc1e9dd0c051dcc74c4713440833c2b42267a967f7e4ed71e690603f9
05_CONVERSATION/CURRENT_CONVERSATION_EVENTS.md,/mnt/data/CURRENT_CONVERSATION_EVENTS.md,Synthèse structurée de conversation disponible localement,False,,4162,1307494a31a66cf6ff569c064d937d1016341b3031f828f37856aa57b3c8207b
06_METHOD_PROMPTS/prompt-phase2_5_raisonnement_narratif.md,/mnt/data/prompt-phase2_5_raisonnement_narratif.md,Prompt / méthode de raisonnement ou rédaction,False,,20301,1e3a037251c0ac3cce73ecb43df0f2b1f15c6e30a48c4129ef15d908c19cca7b
06_METHOD_PROMPTS/prompt-v38_phase3(3).md,/mnt/data/prompt-v38_phase3(3).md,Prompt / méthode de raisonnement ou rédaction,False,,40575,e700ade3ab3cb8d2a03f70dd16822b0b5c164b7ab89df01ce8ed9c0a61922a30
08_VISUAL_ITERATIONS/a_large_multi_panel_editorial_collage_infographi.png,/mnt/data/a_large_multi_panel_editorial_collage_infographi.png,Itération visuelle / illustration article,False,,2496531,3ef97da29f62c62d6ceecae0abaa1a70144fb1ccc0a47a50e60bb1235d230fee
08_VISUAL_ITERATIONS/analyse_comparative_au_bureau.png,/mnt/data/analyse_comparative_au_bureau.png,Itération visuelle / illustration article,False,,1896336,2e31c67f5781accfeab051260ad92610f7bc28be75d25d738aee3cd9f3df75a5
08_VISUAL_ITERATIONS/analyse_juridique_et_suivi_du_temps_facturable.png,/mnt/data/analyse_juridique_et_suivi_du_temps_facturable.png,Itération visuelle / illustration article,False,,1794360,154473665b82d9a00b2120cb35e34ec381a9267a2d4fc5a31511ad833e7f1a95
08_VISUAL_ITERATIONS/automatisation_transfert_de_l_emploi.png,/mnt/data/automatisation_transfert_de_l_emploi.png,Itération visuelle / illustration article,False,,844955,71235d66d6fe8242a0a9d055b2ea09a3715c5c1d75277095b656047b2024c93a
08_VISUAL_ITERATIONS/bureau_sous_tension_entre_dossiers_et_écrans.png,/mnt/data/bureau_sous_tension_entre_dossiers_et_écrans.png,Itération visuelle / illustration article,False,,2116443,59dc247694d7182ee3af08a45b68fe9c0b39f4643b2448713cd6f665877c8759
08_VISUAL_ITERATIONS/centre_de_contrôle_informatique_en_entreprise.png,/mnt/data/centre_de_contrôle_informatique_en_entreprise.png,Itération visuelle / illustration article,False,,1999389,6f8238fe5b938ae726bfb53695399102a557a865ba213eee562d3ff08e91b53f
08_VISUAL_ITERATIONS/diagnostic_de_l_essai_à_la_transformation.png,/mnt/data/diagnostic_de_l_essai_à_la_transformation.png,Itération visuelle / illustration article,False,,931364,4dc9825422e2bc9603e3f323a53337960690e40164c93f3dd813937e20dbd2c4
08_VISUAL_ITERATIONS/du_travail_à_l_intelligence_artificielle.png,/mnt/data/du_travail_à_l_intelligence_artificielle.png,Itération visuelle / illustration article,False,,936151,71f2644a25bca90176385f80956531d583a015c75e26e4dae0c7aad6a8d4b084
08_VISUAL_ITERATIONS/imagegen.png,/mnt/data/imagegen.png,Itération visuelle / illustration article,False,,1752953,e758742258cc3a958d1d53a401a04f4a52170f513f59b6b691c83355bb606cd1
08_VISUAL_ITERATIONS/l_ia_et_le_temps_facturable.png,/mnt/data/l_ia_et_le_temps_facturable.png,Itération visuelle / illustration article,False,,856067,95137c364f6da4674ba712e32854e83fe8559008e5f35331dec0d331caea3ca7
08_VISUAL_ITERATIONS/le_paradoxe_du_junior_apprendre_à_l_ère_de_l_ia.png,/mnt/data/le_paradoxe_du_junior_apprendre_à_l_ère_de_l_ia.png,Itération visuelle / illustration article,False,,866673,b0e34c0187e4e569e27f4e5f0b188e0cd2c09c2f07dac849104596342f4d02dc
08_VISUAL_ITERATIONS/répartition_de_la_valeur_du_temps_économisé.png,/mnt/data/répartition_de_la_valeur_du_temps_économisé.png,Itération visuelle / illustration article,False,,871461,8c9321e4f46c427350e07e95e5087efce8714aaa33949024b2d2be9160ac705d
08_VISUAL_ITERATIONS/stratégie_ia_au_cœur_du_bureau.png,/mnt/data/stratégie_ia_au_cœur_du_bureau.png,Itération visuelle / illustration article,False,,2049271,8aa5e0ca96c720d834119570390cad9facf009605e5c53ea2a57561170ac1f0d
08_VISUAL_ITERATIONS/travail_nocturne_au_bureau_high_tech.png,/mnt/data/travail_nocturne_au_bureau_high_tech.png,Itération visuelle / illustration article,False,,1752953,e758742258cc3a958d1d53a401a04f4a52170f513f59b6b691c83355bb606cd1
08_VISUAL_ITERATIONS/typologie_des_formes_de_remplacement.png,/mnt/data/typologie_des_formes_de_remplacement.png,Itération visuelle / illustration article,False,,890021,fbf088da98f02eb8ae434dcc27fe9404418a021a06ee4c71efddbffa85f0c471
09_REFERENCE_STYLE_FACTCHECK/root_svg/FIG_02_CONTINUUM_EPISTEMIQUE.svg,/mnt/data/FIG_02_CONTINUUM_EPISTEMIQUE.svg,Référence SVG article fact-checking,False,,6195,0a6143aae5ac1be17f5f195f6a84146f9fb3db1298ee91076dece9ba5c78edb8
09_REFERENCE_STYLE_FACTCHECK/root_svg/FIG_03_MODELE_AU_SLOGAN_X12.svg,/mnt/data/FIG_03_MODELE_AU_SLOGAN_X12.svg,Référence SVG article fact-checking,False,,7361,be4275e48fc448e882d3f269d95ebc506c7fa50a86e038e877d0a0c2d132efae
09_REFERENCE_STYLE_FACTCHECK/root_svg/FIG_04_CORRECTION_CONTEXTUALISATION_REPARATION.svg,/mnt/data/FIG_04_CORRECTION_CONTEXTUALISATION_REPARATION.svg,Référence SVG article fact-checking,False,,6468,220293fce6558fce44bf75e9415429290de06e64539976c84c394af64519790d
09_REFERENCE_STYLE_FACTCHECK/root_svg/FIG_05_FALSIFICATION_REPARATION.svg,/mnt/data/FIG_05_FALSIFICATION_REPARATION.svg,Référence SVG article fact-checking,False,,7414,a3499d165aa982e17583fdee455407676ea68f3cc4f7dd13cc2b0d23719ee404
10_HISTORY_BUNDLES/IA_TRAVAIL_TRACEABILITY_BUNDLE.zip,/mnt/data/IA_TRAVAIL_TRACEABILITY_BUNDLE.zip,Bundle historique / passation,False,,259882,a55c257a273db72c2bd3330c4e99f223121cf02624b9db4236ec53a1c998d1db
10_HISTORY_BUNDLES/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25.zip,/mnt/data/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25.zip,Bundle historique / passation,False,,283843,c91f50c2db89378110b187a9f1714952634430df231c5635ac184c569f88d0f2
10_HISTORY_BUNDLES/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_1810.zip,/mnt/data/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_1810.zip,Bundle historique / passation,False,,322051,1f35136e44ac7cf9dd33d6991f95f35a7abb50d0b7324c926825849d214413e6
10_HISTORY_BUNDLES/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_1824.zip,/mnt/data/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_1824.zip,Bundle historique / passation,False,,353200,6f78989ea373be45dccdc8fe172f3d3cd087d3d88f2b3e69d977c3df6e33e92c
10_HISTORY_BUNDLES/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_1836.zip,/mnt/data/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_1836.zip,Bundle historique / passation,False,,385251,5b307174e846280b437bd76494158e24ab554dd432c3a45fe3974743e18ead99
10_HISTORY_BUNDLES/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_1854.zip,/mnt/data/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_1854.zip,Bundle historique / passation,False,,302501,87a1cc63a7294edf45a6a8fcc8b2aa004adad8b5dca0d8cb5a50078aff1866d5
10_HISTORY_BUNDLES/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_AUDIT_V1.zip,/mnt/data/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_AUDIT_V1.zip,Bundle historique / passation,False,,276876,fb41f42c7b9d7dd977d64f880c4b7a34dc0826fa3fadfdcf4a400fc96bf5b07e
10_HISTORY_BUNDLES/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_V2_P0P1.zip,/mnt/data/IA_TRAVAIL_TRACEABILITY_BUNDLE_2026-08-25_V2_P0P1.zip,Bundle historique / passation,False,,287316,fe87d83b09473afbf78f6668f6ea570e52b74bce8bae9355584b76d693c359e7
10_HISTORY_BUNDLES/IA_TRAVAIL_V3_1_BUNDLE_2026-08-25.zip,/mnt/data/IA_TRAVAIL_V3_1_BUNDLE_2026-08-25.zip,Bundle historique / passation,False,,1580293,4f594b990e89a38d793fd64240889aa6ff57deda94d66863cb369b7453a27ce3
10_HISTORY_BUNDLES/IA_TRAVAIL_V3_1_FIGURES.zip,/mnt/data/IA_TRAVAIL_V3_1_FIGURES.zip,Bundle historique / passation,False,,1231883,21672ec26a817f4dccb226e28d491c0ee98ed94c4f60da862d0c0bd1332aea9a
10_HISTORY_BUNDLES/IA_TRAVAIL_V3_BUNDLE_2026-08-25.zip,/mnt/data/IA_TRAVAIL_V3_BUNDLE_2026-08-25.zip,Bundle historique / passation,False,,1531519,153bfaf43dd7203d7bed6b2b76afef66804e2dc7541b0fc7ce0246176bbe0e4f
10_HISTORY_BUNDLES/IA_TRAVAIL_V3_DOUBLECHECK_BUNDLE_2026-08-25.zip,/mnt/data/IA_TRAVAIL_V3_DOUBLECHECK_BUNDLE_2026-08-25.zip,Bundle historique / passation,False,,1557558,7e64b216439d81e817d62da7bd3f4d070c21270f58779b6f70d4b9fee2a90dca
10_HISTORY_BUNDLES/IA_TRAVAIL_V3_FIGURES.zip,/mnt/data/IA_TRAVAIL_V3_FIGURES.zip,Bundle historique / passation,False,,1492804,359ecc6b806038089c8a47d385c6cd6bfa10fb8d4d721c0f4f3cc3a6b36e3f40
11_SOURCE_INPUTS/2026-08-24_leffondrement-du-modele-salarial(1).zip,/mnt/data/2026-08-24_leffondrement-du-modele-salarial(1).zip,Bundle source initial / matière fournie en amont,False,,249828,90be6cdb884542236f220acda35ef70b2af2f230abc3e820902c07caf273352c
