reader_id	title	url	origin	provenance
S49	VIGINUM — RRN : une campagne numérique de manipulation de l’information complexe et persistante	https://www.sgdsn.gouv.fr/viginum/publications/rrn-une-campagne-numerique-de-manipulation-de-linformation-complexe-et	INV-097/SRC-001	TE_ORIGINAL_SOURCE
S50	Nature Communications — Exposure to the Russian Internet Research Agency foreign influence campaign	https://www.nature.com/articles/s41467-022-35576-9	INV-097/SRC-013	TE_ORIGINAL_SOURCE
S51	Code électoral — article L106	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006353253/2026-04-12	INV-098/SRC-001	TE_ORIGINAL_SOURCE
S52	OSCE/ODIHR — France presidential election 2022 final report	https://odihr.osce.org/odihr/elections/france/525330	INV-099/SRC-002	TE_ORIGINAL_SOURCE
S53	Hotararea nr. 32 din 6 decembrie 2024 privind anularea procesului electoral	https://legislatie.just.ro/Public/FormaPrintabila/00000G2OH5FWE05C8WF3A5SI29IWJBGG	INV-100/SRC-001	TE_ORIGINAL_SOURCE
S54	French election control commission final report 2017	https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000036649861	INV-135/SRC-001	TE_ORIGINAL_SOURCE
S55	France official APT28/GRU attribution 2025	https://www.diplomatie.gouv.fr/fr/presse-et-ressources/decouvrir-et-informer/actualites/russie-attribution-de-cyberattaques-contre-la-france-au-service-de-renseignement-militaire-russe	INV-135/SRC-002	TE_ORIGINAL_SOURCE
S56	CSM — avis du 15 septembre 2020 sur le PNF et l’enquête Fillon	https://www.conseil-superieur-magistrature.fr/publications/avis-de-la-formation-pleniere-du-conseil-superieur-de-la-magistrature-du-15-septembre	INV-143/SRC-001	TE_ORIGINAL_SOURCE
S57	Les inégalités sociales d’accès aux grandes écoles	https://www.insee.fr/fr/statistiques/1375870	INV-119/SRC-004	TE_ORIGINAL_SOURCE
S58	Rapporteur Sénat - Inspection des finances et pantouflage	https://www.senat.fr/rap/r18-016-2/r18-016-24.html	INV-119/SRC-019	TE_ORIGINAL_SOURCE
S59	EBA — detrimental impact of unwarranted de-risking	https://www.eba.europa.eu/publications-and-media/press-releases/eba-alerts-detrimental-impact-unwarranted-de-risking-and	INV-124/SRC-005	TE_ORIGINAL_SOURCE
S60	European Commission Data Act explained	https://digital-strategy.ec.europa.eu/en/factpages/data-act-explained	INV-125/SRC-002	TE_ORIGINAL_SOURCE
S61	Légifrance — Code du travail, négociation collective	https://www.legifrance.gouv.fr/codes/id/LEGISCTA000006145398/2026-04-28	INV-126 targeted recovery	TARGETED_WEB_RECOVERY
S62	Programme France Excellence Eiffel	https://www.campusfrance.org/fr/le-programme-de-bourses-france-excellence-eiffel	INV-127/SRC-005	TE_ORIGINAL_SOURCE
S63	Meta strategic IO report 2017-2020	https://about.fb.com/news/2021/05/influence-operations-threat-report/	INV-128/SRC-001	TE_ORIGINAL_SOURCE
S64	Raport końcowy Komisji Nadzwyczajnej ds. nielegalnej inwigilacji	https://www.senat.gov.pl/download/gfx/senat/pl/defaultaktualnosci/1924/15764/1/raport_koncowy_z_prac_komisji_nadzwyczajnej.pdf	INV-141/SRC-006	TE_ORIGINAL_SOURCE
S65	Baromètre de la confiance politique CEVIPOF 2026 : la confiance s’effondre en politique, la proximité fait figure de refuge	https://www.sciencespo.fr/cevipof/fr/actualites/barometre-de-la-confiance-politique-cevipof-2026-la-confiance-s-effondre-en-politique-la-proximite-fait-figure-de-refuge/	INV-103/SRC-001	TE_ORIGINAL_SOURCE
S66	Social reinforcement learning as a predictor of real-world moral outrage expressions	https://pmc.ncbi.nlm.nih.gov/articles/PMC8363141/	INV-111 targeted recovery	TARGETED_WEB_RECOVERY
S67	VIGINUM — Analyse du mode opératoire informationnel russe Storm-1516	https://www.sgdsn.gouv.fr/publications/analyse-du-mode-operatoire-informationnel-russe-storm-1516	INV-112 targeted recovery	TARGETED_WEB_RECOVERY
S68	Les missions de VIGINUM	https://www.sgdsn.gouv.fr/viginum/comprendre-viginum/les-missions-de-viginum	INV-147/SRC-005	TE_ORIGINAL_SOURCE
S69	Article 18-11 - transparence des activités influence pour mandant étranger	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000050052952	INV-147/SRC-001	TE_ORIGINAL_SOURCE
S70	Foreign Agents Registration Act - Index and Act	https://www.justice.gov/nsd-fara/fara-index-and-act	INV-147/SRC-010	TE_ORIGINAL_SOURCE
