id,workstream,kind,title,coverage_initial,evaluation,decision,depth,priority,status,dependencies,truth_engine,renard,renard_reason,corpus_refs,result_path,next_action,created_at,updated_at,notes,coverage_current,utility,item_type,execution_mode,parent_id,merged_into,wave,gate,coverage_basis,structure_note
INV-011,W1,INVESTIGATION,"CIA, médias et Operation Mockingbird : faits établis, mythes, continuités éventuelles",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A071:186904003.larchitecture-de-la-censure-europeenne,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-012,W1,INVESTIGATION,"COINTELPRO et ingénierie politique intérieure américaine : infiltration, fragmentation, surveillance, neutralisation",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A071:186904003.larchitecture-de-la-censure-europeenne;A082:183123537.lempire-du-mensonge-rapport-dautopsie,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-013,W1,INVESTIGATION,"Active Measures soviétiques puis russes : continuités, ruptures, doctrine et efficacité réelle",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A004:210182384.lingerence-sans-mesure;A008:208733314.la-fabrique-de-la-menace-comment;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie;A116:180061326.qui-a-vraiment-la-tete-dans-le-sable,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-014,W1,INVESTIGATION,"Révolutions de couleur : Serbie, Géorgie, Ukraine, Kirghizistan ; dynamique endogène versus assistance extérieure",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A100:180377342.bandera-vs-petain-ce-que-les-faits;A111:180120693.macron-et-la-paix-en-ukraine-ce-que;A118:180054346.kallas-et-les-19-pays-ce-que-les,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,MEDIUM,Ordre non figé : sélection dynamique après chaque résultat.
INV-015,W1,INVESTIGATION,"Otpor, CANVAS et exportation des techniques de mobilisation politique",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,NEW,HIGH,CASE,GREENFIELD,INV-014,,MAIN_DYNAMIC,PILOT_VALIDATED,NO_SUBSTANTIAL_PRIOR_IDENTIFIED,Ordre non figé : sélection dynamique après chaque résultat.
INV-016,W1,INVESTIGATION,"Printemps arabes : spontanéité, réseaux sociaux, assistance occidentale, ONG, diplomatie et intérêts géopolitiques",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,NEW,HIGH,PRIMARY,GREENFIELD,,,MAIN_DYNAMIC,PILOT_VALIDATED,NO_SUBSTANTIAL_PRIOR_IDENTIFIED,Ordre non figé : sélection dynamique après chaque résultat.
INV-017,W1,INVESTIGATION,"Cambridge Analytica : données, psychométrie, microtargeting et différence entre capacité revendiquée et efficacité démontrée",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A071:186904003.larchitecture-de-la-censure-europeenne;A082:183123537.lempire-du-mensonge-rapport-dautopsie,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,CASE,DEEPEN,INV-096,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-018,W1,INVESTIGATION,"Élections américaines 2016 : opération russe démontrée, effet électoral non démontré, construction politique ultérieure du récit",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A118:180054346.kallas-et-les-19-pays-ce-que-les;A004:210182384.lingerence-sans-mesure,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,CASE,DEEPEN,INV-013,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-019,W2,INVESTIGATION,"États-Unis : architecture publique de promotion de la démocratie — State Department, USAID, NED, USAGM, médias/société civile/élections",NEW,CONFIRMED,DO,DEEPEN,P1,BLOCKED,,NOT_RUN,UNDECIDED,,A090:181766389.les-telegraphistes-de-la-terreur;A004:210182384.lingerence-sans-mesure,,Wait for human review/acceptance of METHOD_PACK v0.1; then execute pilots one by one.,2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,PILOT,HUMAN_REVIEW_METHOD_PACK,STRONG,Inclut désormais l’axe ex-INV-020 : frontière diplomatie publique / soft power / influence / action clandestine. Pilot choisi pour tester une famille probatoire distincte.
INV-020,W2,INVESTIGATION,États-Unis : frontière diplomatie publique / soft power / influence / action clandestine,PARTIAL,CONFIRMED,MERGE,DEEPEN,P1,MERGED,,NOT_RUN,UNDECIDED,,A118:180054346.kallas-et-les-19-pays-ce-que-les;A082:183123537.lempire-du-mensonge-rapport-dautopsie,,Traité comme axe/cas dans INV-019; aucun run séparé.,2026-09-05,2026-09-05,,PARTIAL,HIGH,MERGED,MERGED,INV-019,INV-019,N/A,N/A,THIN,"Recouvrement structurel jugé trop fort ; préserver l’ID pour traçabilité, exécuter dans INV-019."
INV-021,W2,INVESTIGATION,"Services américains et France/Europe depuis la guerre froide : renseignement, influence, souveraineté, cas documentables",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A020:199655242.le-numerique-colonise-70-des-donnees;A071:186904003.larchitecture-de-la-censure-europeenne;A118:180054346.kallas-et-les-19-pays-ce-que-les,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,MEDIUM,Ordre non figé : sélection dynamique après chaque résultat.
INV-022,W2,INVESTIGATION,"Russie : opérations d’influence visant la France — acteurs, infrastructures, campagnes, audiences, impacts réels",SUBSTANTIAL_PRIOR,CONFIRMED,RECHECK,RECHECK,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A004:210182384.lingerence-sans-mesure;A008:208733314.la-fabrique-de-la-menace-comment;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie;A116:180061326.qui-a-vraiment-la-tete-dans-le-sable;A119:180052771.qui-est-vraiment-louis-duclos,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,SUBSTANTIAL_PRIOR,HIGH,PRIMARY,RECHECK_EXTEND,,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-023,W2,INVESTIGATION,"Russie : financement, contacts et relations avec partis/mouvements européens",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A116:180061326.qui-a-vraiment-la-tete-dans-le-sable;A119:180052771.qui-est-vraiment-louis-duclos,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,CASE,DEEPEN,INV-022,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-024,W2,INVESTIGATION,"Chine : système d’influence en France et en Europe — entreprises, diaspora, universités, médias, diplomatie, standards technologiques",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A008:208733314.la-fabrique-de-la-menace-comment;A020:199655242.le-numerique-colonise-70-des-donnees,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-025,W2,INVESTIGATION,"Chine : United Front et frontière entre diaspora, influence et contrôle politique",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,NEW,HIGH,CASE,GREENFIELD,INV-024,,MAIN_DYNAMIC,PILOT_VALIDATED,NO_SUBSTANTIAL_PRIOR_IDENTIFIED,Ordre non figé : sélection dynamique après chaque résultat.
INV-026,W2,INVESTIGATION,"Israël : influence étatique, diplomatique, industrielle, sécuritaire et informationnelle en France/UE",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A023:199655095.la-defense-rongee-449-md-sans-munitions;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A057:192293819.la-democratie-en-cage,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-027,W2,INVESTIGATION,"ELNET France : financements, voyages parlementaires, réseaux politiques, déclarations HATVP, effets démontrables",SUBSTANTIAL_PRIOR,CONFIRMED,RECHECK,RECHECK,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A023:199655095.la-defense-rongee-449-md-sans-munitions;A045:194518266.lingenierie-de-lenclos;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A057:192293819.la-democratie-en-cage,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,SUBSTANTIAL_PRIOR,HIGH,CASE,RECHECK_EXTEND,INV-026,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-028,W2,INVESTIGATION,"AIPAC : mécanisme américain de lobbying pro-israélien, pouvoir électoral, financement, limites du parallèle avec la France",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A055:192483249.ce-nest-pas-du-satanisme-cest-une,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,CASE,DEEPEN,INV-026,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-029,W2,INVESTIGATION,"Allemagne : exercice de puissance au sein de l’UE — institutions, coalitions, poids économique et réglementaire",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A024:199655040.leurope-piege-francais-12-contentieux;A060:190739827.le-sabotage-energetique-francais;A063:189855247.le-sanctuaire-inverse-comment-la,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-030,W2,INVESTIGATION,"France-Allemagne : nucléaire — divergence doctrinale, concurrence industrielle, règles européennes, intention versus effet",PARTIAL,CONFIRMED,RECHECK,RECHECK,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A060:190739827.le-sabotage-energetique-francais;A063:189855247.le-sanctuaire-inverse-comment-la;A114:180084168.energies-renouvelables-le-double,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,SUBSTANTIAL_PRIOR,HIGH,CASE,RECHECK_EXTEND,INV-029,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-031,W2,INVESTIGATION,"Royaume-Uni : influence financière, diplomatique, médiatique et renseignement en Europe",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,NEW,HIGH,PRIMARY,GREENFIELD,,,MAIN_DYNAMIC,PILOT_VALIDATED,NO_SUBSTANTIAL_PRIOR_IDENTIFIED,Ordre non figé : sélection dynamique après chaque résultat.
INV-032,W2,INVESTIGATION,"Qatar : investissements, lobbying, sport, médias, islam, politique et soft power en France",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A083:183424330.lagonie-du-souverain-la-singularite;A115:180081515.ukraine-ce-que-hayer-trump-et-zelenskyy,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-033,W2,INVESTIGATION,"Émirats arabes unis : influence clandestine et réputationnelle en Europe, dont réseaux de renseignement privé lorsque démontrés",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A071:186904003.larchitecture-de-la-censure-europeenne,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-034,W2,INVESTIGATION,"Arabie saoudite : finance, religion, lobbying, industrie et relations politiques françaises",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A083:183424330.lagonie-du-souverain-la-singularite;A115:180081515.ukraine-ce-que-hayer-trump-et-zelenskyy,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-035,W2,INVESTIGATION,"Ukraine : diplomatie d’influence de guerre en France/UE, financement, communication, relais politiques et médiatiques",PARTIAL,CONFIRMED,RECHECK,RECHECK,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A008:208733314.la-fabrique-de-la-menace-comment;A058:191802696.la-guerre-des-autres;A090:181766389.les-telegraphistes-de-la-terreur;A099:180396722.alla-poedie-cafards-censure-et-opacite;A100:180377342.bandera-vs-petain-ce-que-les-faits;A103:180267309.corruption-en-ukraine-garraud-a-t;A104:180261963.democratie-rare-en-temps-de-guerre-82a;A111:180120693.macron-et-la-paix-en-ukraine-ce-que;A115:180081515.ukraine-ce-que-hayer-trump-et-zelenskyy;A118:180054346.kallas-et-les-19-pays-ce-que-les;A119:180052771.qui-est-vraiment-louis-duclos,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,SUBSTANTIAL_PRIOR,HIGH,PRIMARY,RECHECK_EXTEND,,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-036,W2,INVESTIGATION,"Turquie : État, diaspora, religion, associations et mobilisation politique en Europe",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,NEW,HIGH,PRIMARY,GREENFIELD,,,MAIN_DYNAMIC,PILOT_VALIDATED,NO_SUBSTANTIAL_PRIOR_IDENTIFIED,Ordre non figé : sélection dynamique après chaque résultat.
INV-037,W2,INVESTIGATION,"Iran : influence, diasporas, réseaux politiques et opérations informationnelles en Europe",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A075:186127641.limpasse-persique-pourquoi-loccident,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-038,W2,INVESTIGATION,"Maroc et Algérie : influence politique, diplomatique et diasporique en France — séparer les deux États dans l’enquête",NEW,CONFIRMED,SYNTHESIZE,SYNTHESIS,P1,BLOCKED,INV-130;INV-131,NOT_RUN,UNDECIDED,,,,Ne lancer qu’après INV-130 et INV-131 ; comparer sans fusionner les causalités.,2026-09-05,2026-09-05,,NEW,HIGH,SYNTHESIS,SYNTHESIS,,,SYNTH,CHILDREN_DONE,NO_SUBSTANTIAL_PRIOR_IDENTIFIED,"Ancien scope non atomique corrigé : Maroc et Algérie investigués séparément, puis comparaison."
INV-039,W3,INVESTIGATION,"Qui exerce réellement le pouvoir dans l’UE ? Commission, Conseil, Parlement, CJUE, BCE, États, lobbies",PARTIAL,CONFIRMED,RECHECK,RECHECK,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A014:202848231.lecart-legalitelegitimite-la-signature;A022:199655164.le-verrou-28-recours-au-493-57-dabstention;A024:199655040.leurope-piege-francais-12-contentieux;A037:199049245.le-changement-de-regime-pourquoi;A057:192293819.la-democratie-en-cage,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,SUBSTANTIAL_PRIOR,HIGH,PRIMARY,RECHECK_EXTEND,,,MAIN_DYNAMIC,PILOT_VALIDATED,STRONG,Ordre non figé : sélection dynamique après chaque résultat.
INV-040,W3,INVESTIGATION,Déficit démocratique européen : réalité mesurable versus slogan politique,PARTIAL,CONFIRMED,SYNTHESIZE,SYNTHESIS,P1,BLOCKED,INV-039;INV-041;INV-042;INV-043;INV-044;INV-045;INV-046;INV-047;INV-048,NOT_RUN,UNDECIDED,,A007:206399715.le-peuple-nexiste-que-sur-convocation;A010:205911763.le-verrou-invisible-anatomie-du-ric;A014:202848231.lecart-legalitelegitimite-la-signature;A022:199655164.le-verrou-28-recours-au-493-57-dabstention;A037:199049245.le-changement-de-regime-pourquoi;A057:192293819.la-democratie-en-cage,,Attendre les investigations constitutives ; synthétiser seulement les deltas probatoires.,2026-09-05,2026-09-05,,SUBSTANTIAL_PRIOR,HIGH,SYNTHESIS,SYNTHESIS,,,SYNTH,DEPENDENCIES_DONE,STRONG,"Ancien backlog trop plat : cette entrée est une synthèse dépendante, pas un run primaire."
