note;source;niveau_source;statut_R14;constat_forensique
15;Wavestone, premier trimestre 2026/27 : https://www.wavestone.com/fr/regul-information/2026-27-1er-trimestre-en-repli-de-2-objectifs-annuels-ajustes-ai-builders-acquisition-ciblee-dun-cabinet-francais-ia-et-data/;A2 primaire entreprise;CONFIRMÉ;"Wavestone T1 2026/27 ; attribution à l’entreprise."
16;Cour d’appel de Paris, 21 mai 2026, Groupe Moniteur, n° 25/13232 : https://justice.pappers.fr/decision/25160ffba91478fa29047ae6efebb007583026d5;B1 texte juridictionnel via miroir;CONFIRMÉ AVEC BORNE;"Dispositif de la cour d’appel vérifié ; hébergement Pappers et non source institutionnelle directe."
17;Robyn A. Husa et al., « Ambient Artificial Intelligence Use and Clinician Documentation Burden, Productivity, and Efficiency », *JAMA Network Open*, 2026 : https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2849634;A1 article académique observationnel;CORRIGÉ R9;"Étude rétrospective/observationnelle ; la baisse du temps de note est observée, sans association avec plus de rendez-vous. Causalité retirée."
18;Klarna Group, rapport annuel 2025, SEC : https://www.sec.gov/Archives/edgar/data/2003292/000200329226000007/klar-20251231.htm;A1 dépôt SEC + attribution entreprise;CONFIRMÉ AVEC BORNE;"Effectifs Klarna et explication stratégique vérifiés dans le 20-F ; l’attribution causale reste celle de l’entreprise."
19;Société Générale, projet de simplification organisationnelle en France, 22 janvier 2026 : https://www.societegenerale.com/fr/actualites/communiques-de-presse/renforcement-de-lefficacite-par-la-simplification-de-lorganisation-et-du-developpement-des;A2 primaire entreprise;CONFIRMÉ AVEC BORNE;"Projet Société Générale : projet annoncé, 1 800 postes nets, départs naturels/mobilité ; ne pas traiter comme bilan ex post."
20;Fédération bancaire française, « Solidité des marqueurs de l’emploi dans la banque en 2025 », 28 juillet 2026 : https://www.fbf.fr/fr/communique_de_presse/solidite-des-marqueurs-de-lemploi-dans-la-banque-en-2025/;A2 organisme professionnel;CONFIRMÉ;FBF, statistiques emploi banque 2025.
21;"Tobi Lütke, mémo Shopify sur l’usage de l’IA et les effectifs, avril 2025 ; reproduction et contexte : https://techcrunch.com/2025/04/07/shopify-ceo-tells-teams-to-consider-using-ai-before-growing-headcount/";B1 source secondaire reproduisant mémo primaire;CONFIRMÉ AVEC BORNE;"Politique Shopify attribuée au mémo de Tobi Lütke ; source d’accès secondaire conservée."
22;Reuters, « Mark Zuckerberg had a bold plan to replace Meta staff with AI. Here’s how it imploded », 26 août 2026 : https://www.reuters.com/investigations/mark-zuckerberg-had-bold-plan-replace-meta-staff-with-ai-heres-how-it-imploded-2026-08-26/;B1 presse de référence;CONFIRMÉ AVEC BORNE;"Enquête Reuters sur Meta ; utilisée comme cas rapporté, non comme identification causale générale."
23;"Microsoft, Amy Coleman, « The latest in our company transformation », 6 juillet 2026 : https://blogs.microsoft.com/blog/2026/07/06/the-latest-in-our-company-transformation/ ; Reuters, « Microsoft to cut 4,800 jobs, overhaul Xbox unit », 6 juillet 2026 : https://www.reuters.com/business/world-at-work/microsoft-joins-ai-driven-tech-layoff-wave-with-4800-job-cuts-2026-07-06/";A2 primaire entreprise + B1 presse;CORRIGÉ R9;Source Microsoft primaire ajoutée : 4 800 postes, et dénégation explicite d’un remplacement direct par l’IA.
24;Reuters, « AI reshapes India’s IT services sector contracts as clients demand more for less », 20 août 2026 : https://www.reuters.com/world/india/ai-reshapes-indias-it-services-sector-contracts-clients-demand-more-less-2026-08-20/;B1 presse de référence;CONFIRMÉ AVEC BORNE;"Reuters sur les contrats IT indiens ; données et propos attribués, non extrapolés à toute l’économie."
25;Daron Acemoglu, Claire LeLarge, Pascual Restrepo, « Competing with Robots: Firm-Level Evidence from France », NBER Working Paper 26738 : https://www.nber.org/papers/w26738;A1 travail académique;CONFIRMÉ AVEC BORNE;"Robots industriels en France ; précédent historique, pas preuve directe sur l’IA générative."
26;ABC News, « Commonwealth Bank backtracks on AI job cuts, apologises for 'error' as call volumes rise », 21 août 2025 : https://www.abc.net.au/news/2025-08-21/cba-backtracks-on-ai-job-cuts-as-chatbot-lifts-call-volumes/105679492;B1 média public;CONFIRMÉ;Recul CBA sur suppressions liées au chatbot et hausse des volumes d’appels.
27;ACS Information Age, « AI drives fresh CommBank job cuts », 30 juillet 2026 : https://ia.acs.org.au/article/2026/ai-drives-fresh-commbank-job-cuts.html;B2 média professionnel;CONFIRMÉ AVEC BORNE;"Source secondaire sur suppressions 2026 ; statut rapporté maintenu."
28;"Duolingo, Form 10-K 2025 : https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm ; contexte de la politique concernant les prestataires : https://www.theverge.com/news/657594/duolingo-ai-first-replace-contract-workers";A1 dépôt SEC + B1 presse;CONFIRMÉ AVEC BORNE;"Effectifs Duolingo via SEC ; politique prestataires via presse, donc attribution séparée."
29;"Erik Brynjolfsson, Bharat Chandar, Ruyu Chen, « Canaries in the Coal Mine? Six Facts about the Recent Employment Effects of Artificial Intelligence », révision du 12 août 2026 ; les auteurs qualifient les résultats d’indicateurs descriptifs et non d’estimations causales : https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/";A1 working paper Stanford / données administratives;CORRIGÉ R9;"Écart de 19 % confirmé ; auteurs disent explicitement descriptif, non causal. Cette borne est désormais dans le texte."
30;Lee Tucker, « You’re (not) Hired: Artificial Intelligence and Early Career Hiring in the Quarterly Workforce Indicators », U.S. Census Bureau, document de travail CES-26-27, avril 2026 : https://lehd.ces.census.gov/applications/creat/paper-profile/1415;A1 working paper Census;CORRIGÉ R9;"Baisse ajustée de 12 % dans le quintile le plus exposé confirmée ; association, pas identification causale propre de l’IA."
31;PwC, *2026 Global AI Jobs Barometer*, rapport complet et méthodologie : https://www.pwc.com/gx/en/issues/artificial-intelligence/publications/artificial-intelligence-study.html;A2 rapport privé méthodologiquement documenté;CONFIRMÉ AVEC BORNE;"PwC : analyse propriétaire d’annonces d’emploi ; corrélations et évolution des compétences, non causalité."
32;Dares et France Stratégie, « Les métiers en 2030 : les postes à pourvoir par métiers » : https://dares.travail-emploi.gouv.fr/publication/les-metiers-en-2030-les-postes-pourvoir-par-metiers;A1 projection publique;CONFIRMÉ AVEC BORNE;Dares/France Stratégie : projection de postes à pourvoir, pas prévision certaine.
33;Insee, actualisation des projections de population active après la réforme des retraites de 2023 : https://www.insee.fr/fr/statistiques/7456937;A1 projection publique;CONFIRMÉ AVEC BORNE;Insee : projection de population active post-réforme, scénario et non observation.
34;Conseil national des barreaux, annuaire des avocats de France : https://cnb.avocat.fr/annuaire-des-avocats-de-france;A1 ordre professionnel;CONFIRMÉ;Effectif des avocats via CNB.
35;CNB/Viavoice, enquête IA auprès de 4 457 avocats : https://www.cnb.avocat.fr/sites/default/files/documents/Viavoice%20pour%20le%20CNB%20-%20Etude%20IA%20-%20Volet%20avocat-%20QualiQuanti.pdf;A2 enquête commandée par ordre professionnel;CONFIRMÉ AVEC BORNE;"4 457 avocats, usage déclaré ; enquête déclarative."
36;Conseil national des barreaux, modèles de conventions d’honoraires révisés en avril 2026 : https://cnb.avocat.fr/medias/file/14cnb-ri2026-04-10mardtextrupresentation-modele-typeconvention-dhonoraires-en-presence-dune-protection-juridique-3-69dfae88e88247.60437661.pdf;A1 document normatif professionnel;CONFIRMÉ;"Clause optionnelle CNB ; IA présentée comme assistance, responsabilité humaine maintenue."
37;« Building a Better Lawyer: How AI Can Help Improve Legal Skills and Reduce Time on Task », *Journal of Empirical Legal Studies* : https://onlinelibrary.wiley.com/doi/abs/10.1111/jels.12396;A1 article académique expérimental;CONFIRMÉ AVEC BORNE;"206 étudiants en droit ; résultat par tâche, ne pas généraliser aux avocats en exercice."
38;Haute Autorité de santé, « Intelligence artificielle en santé - Bien l’utiliser et bien se protéger », juin 2026 : https://www.has-sante.fr/jcms/p_4023307/fr/intelligence-artificielle-en-sante-bien-l-utiliser-et-bien-se-proteger;A1 autorité publique de santé;CONFIRMÉ;HAS : vérification humaine, diagnostic/prescription par professionnel.
39;Constitution du 4 octobre 1958, articles 24 et 27 : https://www.legifrance.gouv.fr/codes/id/LEGISCTA000006095824;A1 droit positif;CONFIRMÉ;Constitution, articles 24 et 27.
40;Sénat, Bureau du 2 juillet 2026, usage de l’intelligence artificielle : https://www.senat.fr/salle-de-presse/communiques-de-presse/presse/02-07-2026/bureau-du-senat-du-jeudi-2-juillet-2026.html;A1 institution parlementaire;CONFIRMÉ;Sénat, assistant légistique et interdiction prévue du dépôt automatisé.
41;Ministère de la Justice, *L’IA au service de la justice*, 2025 : https://www.justice.gouv.fr/sites/default/files/2025-08/rapport_ia_au_service_de_la_justice.pdf;A1 rapport ministériel;CORRIGÉ R9;R8 mélangeait besoins recensés et fonctions envisagées. R9 distingue cas d’usage/besoins et programme d’assistant documentaire.
42;CEPEJ, rapport sur l’usage de l’IA dans la justice et lignes directrices sur l’IA générative : https://www.coe.int/en/web/cepej/-/1st-report-on-the-use-of-artificial-intelligence-ai-in-the-judiciary-based-on-the-information-contained-in-the-cepej-s-resource-centre-on-cyberJustice-and-ai;A1 Conseil de l’Europe / CEPEJ;CORRIGÉ R9;"125 outils et absence de système entièrement autonome confirmés ; formulation alignée sur le rapport."
43;IGA, IGF, IGAS, « Le déploiement de l’intelligence artificielle dans les administrations publiques », juillet 2026 : https://www.igf.finances.gouv.fr/igf/accueil/nos-activites-1/rapports-de-mission/le-deploiement-de-lintelligence.html;A1 inspections générales;CONFIRMÉ AVEC BORNE;"Rapport officiel ; gains de cas et de fonctions support, hétérogènes et non convertibles en effectifs remplaçables."
44;JPMorganChase, rapport annuel 2025, lettre de Jennifer Piepszak : https://www.jpmorganchase.com/ir/annual-report/2025/ar-ceo-letter-jennifer-piepszak;A2 primaire entreprise;CONFIRMÉ AVEC BORNE;"JPMorganChase : intention d’allocation des gains et reconnaissance de possibles baisses d’effectifs ; attribution corporate."
45;"A&O Shearman, ContractMatrix/Analyze et licence SaaS : https://www.aoshearman.com/en/insights/analyze-is-the-new-contractmatrix-module-making-contract-review-even-more-powerful ; https://www.aoshearman.com/en/news/ao-launches-saas-partnership-with-microsoft-and-harvey";A2 primaire entreprise / fournisseur;CONFIRMÉ AVEC BORNE;"A&O Shearman : fonctions ContractMatrix/Analyze et SaaS ; performance annoncée par l’acteur, non validation indépendante."
46;MAIF, accord d’entreprise pour un développement de l’IA éthique et durable, mai 2026 : https://entreprise.maif.fr/actualites/presse/2026/maif-accord-entreprise-developpement-ia;A2 accord / communication entreprise;CONFIRMÉ AVEC BORNE;"Engagement MAIF ex ante ; ne prouve pas encore le résultat ex post."
47;Défenseur des droits, *Enquête sur l’accès aux droits*, 2e édition, volume 2, publiée le 13 octobre 2025 à partir d’une enquête renouvelée en 2024 : https://www.defenseurdesdroits.fr/enquete-sur-lacces-aux-droits-2e-edition-volume-2-relations-des-usagers-avec-les-services-publics;A1 autorité indépendante / enquête;CONFIRMÉ;Défenseur des droits, enquête renouvelée en 2024, publiée en 2025.
48;Insee, « Le compte des administrations publiques en 2025 », mai 2026 : https://www.insee.fr/fr/statistiques/8997691;A1 statistique publique;CONFIRMÉ;Insee, finances publiques 2025.
49;Eurostat, finances publiques 2025 : https://ec.europa.eu/eurostat/fr/web/products-euro-indicators/w/2-22042026-ap;A1 statistique européenne;CONFIRMÉ;"Eurostat, dépenses publiques UE 2025 ; millésime de publication distinct de l’actualisation Insee."
50;DGAFP, « Évolution des effectifs de la fonction publique en 2024 », mai 2026 : https://www.fonction-publique.gouv.fr/toutes-les-publications/evolution-des-effectifs-de-la-fonction-publique-en-2024;A1 statistique publique;CONFIRMÉ;DGAFP, effectifs fin 2024.
51;"Insee, « Redistribution monétaire », *France, portrait social*, 18 novembre 2025 ; estimations 2024 issues de l’ERFS 2022 actualisée et du modèle de microsimulation Ines 2024 : https://www.insee.fr/fr/statistiques/8612544";A1 statistique publique / microsimulation;CORRIGÉ R9;Valeurs 55 %, -22 %, 8,3→4,2 exactes, mais elles proviennent d’Ines 2024 et de l’ERFS 2022 actualisée. Statut explicité.
52;OCDE, *Taxing Wages 2026*, France : https://www.oecd-ilibrary.org/en/publications/taxing-wages-2026_3a5169ef-en/full-report/france_ad2bf5c9.html;A1 OCDE;CONFIRMÉ;Coin fiscal France et comparaisons OCDE.
53;Ku, Schönberg, Schreiner, « Taxing Labor », document de travail CEPR 21695, 2026 : https://cepr.org/publications/dp21695;A1 document de travail CEPR / quasi-expérience;CONFIRMÉ AVEC BORNE;"Réforme exogène norvégienne ; mécanisme causal documenté dans ce cadre, non coefficient France-IA."
54;Hötte et al., « Automation and taxation », *Oxford Economic Papers*, 2024 : https://academic.oup.com/oep/article/76/4/945/7630148;A1 article académique;CONFIRMÉ AVEC BORNE;"Automatisation et fiscalité en Europe ; auteurs indiquent que leurs résultats ne sont pas causaux."
55;U.S. Census Bureau, « The Microstructure of AI Diffusion: Evidence from Firms, Business Functions, and Worker Tasks », CES-26-25 : https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html;A1 working paper Census;CONFIRMÉ AVEC BORNE;"Usages déclarés des entreprises utilisatrices d’IA ; 66 % augmentation seule, 2 % baisse d’emploi ; descriptif."
56;Guillaume Serries, ZDNet, « Révolution de l’IA dans l’emploi qualifié : Opportunité historique ? Menace pour les juniors ? Qu’en pense le Syntec ? », 26 août 2026 : https://www.zdnet.fr/actualites/revolution-de-lia-dans-lemploi-qualifie-opportunite-historique-menace-pour-les-juniors-quen-pense-le-syntec-500661.htm;B1 presse spécialisée;CONFIRMÉ AVEC BORNE;"Compte rendu ZDNet de propos Syntec ; sert à documenter les positions des acteurs, pas l’effet réel sur l’emploi."
57;"OPIIEC, *Les besoins en compétences, emplois et formations en matière d’intelligence artificielle en France*, étude publiée le 5 juin 2025, notamment enquête BVA 2024 : https://www.opiiec.fr/etudes/142430 ; rapport complet : https://www.syntec-ingenierie.fr/app/uploads/2025/06/20250418_OPIIEC_IA_Rapport_Final.pdf";A2 observatoire paritaire / enquête BVA;CONFIRMÉ AVEC BORNE;"Projection de création nette ~45 000 sur 2025-2028 confirmée ; déclaratif/prospectif, non bilan 2026."
58;"E. P. Thompson, « Time, Work-Discipline, and Industrial Capitalism », *Past & Present*, n° 38, 1967 ; présentation de l’article et du débat historiographique par Oxford Academic : https://academic.oup.com/past/pages/special_issue_3";A1 article historique classique;CONFIRMÉ AVEC BORNE;Thompson correctement présenté comme étude classique et explicitement nuancé par l’historiographie ultérieure.
59;Organisation internationale du travail, Convention n° 1 sur la durée du travail (industrie), adoptée le 28 novembre 1919, limite de huit heures par jour et quarante-huit heures par semaine dans son champ d’application : https://www.ilo.org/resource/c1-hours-work-industry-convention-1919;A1 texte international primaire;CONFIRMÉ;Convention OIT n°1, 1919, 8 h/jour et 48 h/semaine dans son champ.
60;"Frederick Winslow Taylor, *The Principles of Scientific Management*, Harper & Brothers, 1911 ; notice bibliographique de la Library of Congress : https://www.loc.gov/item/11010339 ; texte intégral : https://www.gutenberg.org/ebooks/6435";A1 source historique primaire;CONFIRMÉ AVEC BORNE;"Taylor 1911 : source sur l’organisation scientifique ; la continuité avec l’IA reste une analogie méthodologique, désormais formulée comme telle."
61;"Ministère du Travail, « L’évolution de la durée du travail depuis 1841 à nos jours » : https://travail-emploi.gouv.fr/sites/travail-emploi/files/files-spip/pdf/volution_de_la_duree_du_travail-2.pdf ; Vie publique, synthèse sur la réduction du temps de travail : https://www.vie-publique.fr/lettre_essentiel/37 ; loi n° 2000-37 du 19 janvier 2000, article 1, calendrier du passage à 35 heures : https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000006658079";A1 sources publiques + droit primaire;CORRIGÉ R9;Calendrier 35 h précisé avec la loi : 1er janvier 2000 >20 salariés, 1er janvier 2002 pour les autres.
62;Olivier Marchand et Claude Minni, « Les grandes transformations du marché du travail en France depuis le début des années 1960 », *Économie et Statistique / Economics and Statistics*, Insee, 2019 : https://www.insee.fr/fr/statistiques/4253035;A1 analyse Insee;CONFIRMÉ;Transformations du marché du travail depuis les années 1960.
63;Insee, *Emploi, chômage, revenus du travail, édition 2026*, « Professions et secteurs d’activité », données 1982-2025 : https://www.insee.fr/fr/statistiques/8733043?sommaire=8733125;A1 statistique Insee;CONFIRMÉ;Parts 1982/2025 et tertiaire 76,8 % vérifiées.
64;Vidéo YouTube, L’effondrement du modèle salarial, transcript fourni pour l’enquête;B1 source primaire du déclencheur éditorial;CONFIRMÉ R14;"Utilisée uniquement pour attribuer les thèses de la vidéo et documenter sa promotion finale ; aucune thèse économique de la vidéo n’est adoptée sur cette seule base."
65;Aghion et al., AEA Papers and Proceedings 2025, How Different Uses of AI Shape Labor Demand: Evidence from France;A2 article académique publié, données entreprises France;CONFIRMÉ R14;"2017-2020 ; estimations DiD : emploi et ventes en hausse après adoption en moyenne, professions substituables en hausse, hétérogénéité par usages. Pré-ChatGPT ; non transposable directement à GenAI 2026."
66;Humlum & Vestergaard, NBER WP 33777, révision mars 2026;A2 working paper, enquêtes + données administratives;CONFIRMÉ R14;"Danemark ; adoption et réorganisation des tâches, effets précis proches de zéro sur revenus et heures ; effets >2 % écartés à deux ans. Horizon court et contexte danois."
67;Acemoglu & Restrepo, Automation and New Tasks, JEP/NBER 2019;A2 cadre théorique et décomposition empirique;CONFIRMÉ R14;"Cadre déplacement / productivité / nouvelles tâches ; utilisé comme squelette analytique, sans prétendre mesurer la GenAI 2026."
68;David Autor, Applying AI to Rebuild Middle Class Jobs, NBER WP 32140;B1 essai économique argumenté;CONFIRMÉ AVEC BORNE R14;"Hypothèse de diffusion de l’expertise ; l’auteur précise que ce n’est pas une prévision. Utilisé uniquement comme contre-thèse possible."
69;Daron Acemoglu, The Simple Macroeconomics of AI, NBER WP 32487;A2 modèle macro fondé sur tâches;CONFIRMÉ R14;"Pont micro-macro ; scénario <=0,66 % de TFP sur dix ans ; forte dépendance aux tâches et gains retenus."
70;OCDE, Macroeconomic productivity gains from AI in G7 economies, 2025;A1/A2 organisme international, modèle prospectif;CONFIRMÉ AVEC BORNE R14;"Exposition + gains micro + adoption ; projections variables selon pays/scénarios, non observations ex post."
71;Bozio et al., Does Tax-Benefit Linkage Matter for the Incidence of Payroll Taxes?, Review of Economic Studies 2026;A1 article académique publié, quasi-expériences France;CONFIRMÉ R14;"Incidence individuelle des prélèvements varie avec le lien cotisation-prestation ; ne fournit pas un taux de substitution humain/IA et laisse ouverte une partie de l’incidence agrégée."
