S01_STEP	ANCHOR	MATERIAL_PROPOSITION	STATUS_SCOPE	SUPPORT_FUNCTION	INTERNAL_ORIGIN	PUBLIC_SOURCE	SYNTHESIS_NOTE
E4	Intermediation	Ressources -> participation/expertise/access/output souvent soutenu	SYNTHESIS / sectoral repeated	SUPPORT	INV-068; INV-052; INV-040	-	Ne pas transformer en adoption
E4	Factchecking-chain	Certification/funding, trusted flagger, platform decision, ranking = pouvoirs distincts	SYNTHESIS / closed dependencies	SUPPORT+BOUND	INV-088	-	Pas de commandement transversal établi
E4	Visibility-model	Gouvernance distribuée de visibilité supported; general delegated censorship not established	SYNTHESIS	SUPPORT+BOUND	INV-088; INV-144	-	Relation synthétique
E5	Media-ownership	Concentration économique + gate éditorial réels; ownership->tasking not generally established	SYNTHESIS	SUPPORT+BOUND	INV-082	-	Capacité ≠ acte
E5	Selection	Sélection éditoriale structurée; causalité propriétaire/funder non fermée	SYNTHESIS / bounded study	SUPPORT+BOUND	INV-082	-	Ne pas généraliser biais
E5	Emergent-alignment-media	Critères communs peuvent produire convergence sans tasking	PLAUSIBLE/PARTIAL	SYNTHESIS	INV-082; INV-133	-	Écrire compatible / modèle, pas causalité établie globale
E6	Pegasus-purchase	Pegasus acquis via fonds Justice Fund pour CBA	FACT / Poland	SUPPORT	INV-141	https://www.gov.pl/web/sprawiedliwosc/ministerstwo-upublicznia-dokumenty-dotyczace-zakupu-systemu-pegasus	-
E6	Brejza-attacks	33 attaques et exfiltration substantielle	EVIDENCE / Poland case	SUPPORT	INV-141	https://www.senat.gov.pl/prace/komisje-senackie/przebieg%2C9512%2C1.html	Citizen Lab via hearing
E6	Brejza-media	Matériaux volés manipulés puis utilisés TVP/TVP Info	PARLIAMENTARY FINDING / Poland	SUPPORT	INV-141	https://www.senat.gov.pl/download/gfx/senat/pl/defaultaktualnosci/1924/15764/1/raport_koncowy_z_prac_komisji_nadzwyczajnej.pdf	Ne pas présenter comme jugement pénal
E6	Brejza-outcome	Résultat électoral non causally closed	BOUND	BOUND	INV-141	-	Connaissance négative
E6	Law-coercion	Droit/sanction/contentieux ont effets matériels; lawfare partisan général non établi	SYNTHESIS	SUPPORT+BOUND	INV-129	-	Séparer mécanisme et qualification abusive
E7	Correction-allies	Ancienne affirmation « jamais alliés » réfutée par Rokh Solis	FACT / correction	COUNTER	INV-071; INV-026; INV-134	https://www.sgdsn.gouv.fr/viginum/publications/rokh-solis-analyse-dun-mode-operatoire-informationnel-ayant-cible-les	Correction éditoriale matérielle
E7	RokhSolis-commanditaire	Blackcore/israeli markers but final sponsor unknown	FACT / boundary	SUPPORT+BOUND	INV-071; INV-134	https://www.sgdsn.gouv.fr/files/files/viginum/Publications/20260611_SGDSN_VIGINUM_Rapport-public_Elections-municipales.pdf	Operator ≠ principal
E7	Legal-asymmetry	French foreign-influence regime encodes origin/geography scope asymmetry	FACT / legal design	SUPPORT	INV-147	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000050052952	Do not infer enforcement bias
E7	Double-standard	Systematic lower proof/enforcement threshold by camp not established	NEGATIVE SYNTHESIS	BOUND	INV-147; INV-146	-	Requires matched cases/denominators
E8	Counter-interference-inst	Counter-interference creates capacities, procedures, budgets/gates	SYNTHESIS / France-EU	SUPPORT	INV-144; INV-088; INV-040	-	Institutionalization ≠ threat fabrication
E8	Threat-real	Real foreign information operations documented	FACT / cases	SUPPORT	INV-018; INV-026; INV-071; INV-135	VIGINUM report; US Senate/DOJ sources	Do not minimize real threats
E8	Countermeasure-effect	~200 inauthentic pages/accounts/sites made inaccessible after platform exchanges	FACT / municipal 2026	SUPPORT	INV-071	https://www.sgdsn.gouv.fr/files/files/viginum/Publications/20260611_SGDSN_VIGINUM_Rapport-public_Elections-municipales.pdf	Operational effect, not opinion effect
E9	Counterpowers	Courts/appeals/reversals/plurality provide material controls case-specifically	SYNTHESIS / cross-sector	SUPPORT+COUNTER	INV-040; INV-088; INV-129; INV-133	-	Aggregate efficacy not measured
E9	Pluralism-insufficient	Pure pluralism insufficient due repeated asymmetries	SYSTEMIC SYNTHESIS	SUPPORT	INV-133	-	Best-supported comparative model
E9	Unitary-command	Unitary cross-sector command architecture not established	SYSTEMIC NEGATIVE SYNTHESIS	BOUND	INV-133	-	Absence of closure, not metaphysical proof of nonexistence
E9	Polycentric-model	Best-supported model = structural asymmetries + intermediation + bounded coordination + emergent alignment + counterpowers	SYSTEMIC MODEL	SYNTHESIS	INV-133	-	Comparative model, not single-source fact
E10	Abandoned-equations	Funding≠command etc as general rules	NEGATIVE KNOWLEDGE	BOUND	INV-133; A2_SUFFICIENCY_CHALLENGE	-	Can still hold case-specifically
E11	Falsifiers	Tasking, legislative footprints, denominator datasets, causal downstream designs could change verdict	RESEARCH GAPS	BOUND/ROUTE	INV-133; INV-082; INV-088; INV-052; INV-068	-	No claim of exhaustive gaps
E12	Conclusion-upstream	Power more demonstrable in capacities/access/rules/gates/costs/visibility than beliefs/votes	SYNTHESIS / corpus	SUPPORT+BOUND	INV-133 + terminal syntheses	-	Use « mieux démontré », not « power is only upstream »
METHOD	Method-note	121 CLOSED composition 87 PRIMARY/13 CASE/13 SYNTH/6 CONTROL_SPEC/2 STRUCTURAL	FACT	SUPPORT	INVESTIGATION_REGISTRY.csv	-	Direct handoff coverage limitation disclosed
METHOD	Method-limit	INV-035 handoff unavailable; INV-139/140 bounded recoveries	FACT / provenance	BOUND	A1_AUTHORITY.md; INV-146	-	No article claim exclusively depends on these
E9	Sedimentation	Règles/programmes/budgets/procédures/capacités peuvent s'accumuler sans intention unitaire démontrée	SYSTEMIC MODEL / temporal bound	SUPPORT+BOUND	INV-133; A3_S03_EDITORIAL_CONTRACT	-	Accumulation graduelle compatible avec modèle polycentrique; succession != intention
