inv,src_id,tier,family,ref,title,date,url
INV-013,SRC-002,◈,fam:A,CIA-ACTIVE-MEASURES-FORGERY,Active Measures - Forgery,1986-01-01,https://www.cia.gov/readingroom/docs/CIA-RDP90-00806R000200720008-2.pdf
INV-013,SRC-003,◈,fam:A,DCI-ICS-86-0856,DCI Intelligence Community Staff memorandum on Soviet activities,1986-01-01,https://www.cia.gov/readingroom/docs/CIA-RDP88G01116R000400410020-1.pdf
INV-013,SRC-004,◈,fam:B,DOJ-IRA-2018-PR,Grand Jury Indicts Thirteen Russian Individuals and Three Russian Companies,2018-02-16,https://www.justice.gov/archives/opa/pr/grand-jury-indicts-thirteen-russian-individuals-and-three-russian-companies-scheme-interfere
INV-013,SRC-005,◈,fam:B,DOJ-IRA-INDICTMENT,Internet Research Agency Indictment,2018-02-16,https://www.justice.gov/archives/sco/file/1035477/dl?inline=
INV-013,SRC-006,◈,fam:B,SSCI-RUSSIA-SOCIAL-MEDIA-V2,Senate report - Russia s Use of Social Media,2019-10-08,https://www.intelligence.senate.gov/2019/10/08/press-senate-intel-committee-releases-bipartisan-report-russia-e2-80-99s-use-social-media/
INV-013,SRC-007,◈,fam:B,SSCI-RUSSIAN-ACTIVE-MEASURES-2020,Russian Active Measures Campaigns and Interference in the 2016 U.S. Election,2020-08-18,https://www.intelligence.senate.gov/2020/08/18/publications-report-select-committee-intelligence-united-states-senate-russian-active-measures/
INV-013,SRC-008,◈,fam:B,SSCI-SOCIAL-MEDIA-HEARING-2017,Open Hearing - Social Media Influence in the 2016 U.S. Elections,2017-10-26,https://www.intelligence.senate.gov/2017/10/26/hearings-open-hearing-social-media-influence-2016-us-elections/
INV-013,SRC-009,◈,fam:B,DOJ-DOPPELGANGER-2024,Justice Department Disrupts Covert Russian Government-Sponsored Foreign Malign Influence Operation,2024-09-04,https://www.justice.gov/usao-edpa/pr/justice-department-disrupts-covert-russian-government-sponsored-foreign-malign
INV-013,SRC-010,◈,fam:B,TREASURY-RUSSIA-FMI-2024,Treasury Takes Action on Russia Foreign Malign Influence Operations,2024-09-04,https://home.treasury.gov/news/press-releases/jy2559
INV-013,SRC-011,◈,fam:C,VIGINUM-PORTAL-KOMBAT-2024,Portal Kombat - un reseau structure et coordonne de propagande prorusse,2024-02-12,https://www.sgdsn.gouv.fr/publications/portal-kombat-un-reseau-structure-et-coordonne-de-propagande-prorusse
INV-013,SRC-012,◈,fam:C,VIGINUM-MATRIOCHKA-2024,Matriochka - une campagne prorusse ciblant les medias et fact-checkers,2024-06-10,https://www.sgdsn.gouv.fr/viginum/publications/matriochka-une-campagne-prorusse-ciblant-les-medias-et-la-communaute-des-fact
INV-013,SRC-013,◈,fam:C,VIGINUM-STORM1516-2025,Rapport technique Storm-1516,2025-05-07,https://www.sgdsn.gouv.fr/files/2025-05/20250507_TLP-CLEAR_NP_SGDSN_VIGINUM_Rapport%20technique_Storm-1516.pdf
INV-013,SRC-014,◈,fam:D,NATURE-EADY-2023,Exposure to the Russian Internet Research Agency foreign influence campaign on Twitter,2023-01-09,https://www.nature.com/articles/s41467-022-35576-9
INV-013,SRC-015,◈,fam:E,MSFT-MTAC-2024-10,As the U.S. election nears Russia Iran and China step up influence efforts,2024-10-23,https://blogs.microsoft.com/on-the-issues/2024/10/23/as-the-u-s-election-nears-russia-iran-and-china-step-up-influence-efforts/
INV-016,SRC-001,◈,fam:A,GAO-09-993,U.S. GAO — Democracy Assistance (2009),2009-09-28,https://www.gao.gov/products/gao-09-993
INV-016,SRC-002,◈,fam:A,GAO-14-799,U.S. GAO — Lessons Learned from Egypt,2014-07-24,https://www.gao.gov/products/gao-14-799
INV-016,SRC-003,◉,fam:B,JOC-2012-TUFEKCI-WILSON,Tufekci & Wilson — Tahrir protest participation,2012-03-06,https://academic.oup.com/joc/article-abstract/62/2/363/4085823
INV-016,SRC-004,◉,fam:C,YALEGLOBAL-REVOLUTION-U,YaleGlobal — Revolution U,2011-02-24,https://archive-yaleglobal.yale.edu/content/revolution-u
INV-016,SRC-005,◉,fam:C,PBS-FRONTLINE-APRIL6,PBS FRONTLINE — Inside April 6 Movement,2011,https://www.pbs.org/wgbh/pages/frontline/revolution-in-cairo/inside-april6-movement/
INV-016,SRC-006,◈,fam:D,08CAIRO2572,U.S. diplomatic cable 08CAIRO2572,2008-12-30,https://wikileaks.org/plusd/cables/08CAIRO2572_a.html
INV-016,SRC-007,◉,fam:other:iri,IRI-NYT-2011,IRI republication — U.S. Groups Helped Nurture Arab Uprisings,2011-04-14,https://www.iri.org/news/new-york-times-discusses-iris-support-for-democracy-groups-in-egypt/
INV-016,SRC-008,◉,fam:E,CYBER-2012-TUNISIA,Marzouki et al. — Facebook and Tunisian Revolution,2012-04-23,https://journals.sagepub.com/doi/full/10.1089/cyber.2011.0177
INV-016,SRC-009,◉,fam:E,OUP-BREUER-2016,Breuer — Social Media in Tunisian Revolution,2016-08-18,https://academic.oup.com/book/8138/chapter-abstract/153623879
INV-016,SRC-010,◉,fam:other:orbi,LECOMTE-2011,Lecomte — Révolution tunisienne et Internet,2011,https://orbi.uliege.be/handle/2268/178830
INV-016,SRC-011,◉,fam:other:ned,NED-ANNUAL-INDEX,NED — Annual reports index 2010–2012,2012,https://www.ned.org/publications-test-2/
INV-025,SRC-001,◈,fam:A,CPC-UF-REGS,CPC United Front Work Regulations,2021-01-05,https://www.zytzb.gov.cn/zytzb/2022-10/28/article_2024032216161421608.shtml
INV-025,SRC-002,◈,fam:A,UFWD-INTRO,United Front Work Department official introduction,2022-10-21,https://www.zytzb.gov.cn/zytzb/2022-10/21/article_2022102109582212404.shtml
INV-025,SRC-003,◈,fam:A,PRC-MFA-2020-UF,PRC MFA press conference on United Front,2020-10-29,https://www.fmprc.gov.cn/eng./xw/fyrbt/lxjzh/202405/t20240530_11346911.html
INV-025,SRC-004,◈,fam:B,FR-AN-1675,French Interior Ministry response on Chinese overseas police stations,2025-06-03,https://questions.assemblee-nationale.fr/q17/17-1675QE.htm
INV-025,SRC-005,◈,fam:B,CE-505386,Conseil d Etat decision 505386,2026-06-09,https://www.legifrance.gouv.fr/ceta/id/CETATEXT000054227852
INV-025,SRC-006,◈,fam:B,SGDSN-2026-071,SGDSN hearing on hybrid threats,2026-05-27,https://questions.assemblee-nationale.fr/dyn/opendata/CRCANR5L17S2026PO59046N071.html
INV-025,SRC-007,◈,fam:B,AN-2023-CHINA-INFLUENCE,French National Assembly foreign interference report,2023,https://www.assemblee-nationale.fr/dyn/opendata/RAPPANR5L16B1311-t2.html
INV-025,SRC-008,◈,fam:C,EP-2022-0022,European Parliament foreign interference report,2022,https://www.europarl.europa.eu/doceo/document/A-9-2022-0022_EN.html
INV-025,SRC-009,◈,fam:C,EP-2023-0187,European Parliament foreign interference report 2023,2023,https://www.europarl.europa.eu/doceo/document/A-9-2023-0187_FR.html
INV-025,SRC-010,◈,fam:C,EP-2023-0375,European Parliament EU-China relations recommendation,2023,https://www.europarl.europa.eu/doceo/document/A-9-2023-0375_EN.html
INV-025,SRC-011,◈,fam:D,AIVD-CHINA-2025,AIVD annual report China,2025,https://www.aivd.nl/actueel/magazines/jaarverslag/jaarverslag/2025/china
INV-025,SRC-012,◈,fam:D,AIVD-STATE-INTERFERENCE-2025,AIVD state interference in Netherlands,2025,https://www.aivd.nl/actueel/magazines/jaarverslag/jaarverslag/2025/statelijke-inmenging-in-nederland
INV-025,SRC-013,◈,fam:E,SE-PROSECUTOR-2018,Swedish Prosecution Authority intelligence case,2018-04-11,https://www.aklagare.se/for-media/pressmeddelanden/2018/april/atal-vackt-for-grov-olovlig-underrattelseverksamhet-mot-person/
INV-025,SRC-014,◈,fam:E,FR-DIPLO-CHINA,France Diplomatie China bilateral relations,2026-09-09,https://www.diplomatie.gouv.fr/fr/dossiers-pays/chine/relations-bilaterales/
INV-027,SRC-001,◈,fam:A,HATVP-ELNET,HATVP fiche ELNET France,2026-03-31,https://www.hatvp.fr/fiche-organisation/?organisation=531006237
INV-027,SRC-002,◈,fam:A,AN-TRAVEL-17,Assemblée nationale déplacements 17e,2024-11-26,https://www.assemblee-nationale.fr/dyn/donsetvoyages/voyages?limit=5&page=12
INV-027,SRC-003,◈,fam:A,AN-TRAVEL-15-P5,Assemblée nationale déplacements 15e p5,2021-09-01,https://www.assemblee-nationale.fr/dyn/15/donsetvoyages/voyages?limit=5&page=5
INV-027,SRC-004,◈,fam:A,AN-TRAVEL-15-P6,Assemblée nationale déplacements 15e p6,2021-07-12,https://www.assemblee-nationale.fr/dyn/15/donsetvoyages/voyages?limit=5&page=6
INV-027,SRC-005,◈,fam:B,ELNET-MISSION-2023,ELNET mission delegation 2023,2023-03-16,https://elnetwork.fr/chronique/delegation-parlementaire-en-israel-quelle-mission-pour-elnet-france/
INV-027,SRC-006,◈,fam:B,ELNET-LR-2023,ELNET délégation LR 2023,2023-03-18,https://elnetwork.fr/delegation/delegation-parlementaire-les-republicains-en-israel-mars-2023/
INV-027,SRC-007,◈,fam:B,ELNET-PB-2023,ELNET Palais Bourbon mars 2023,2023-03-17,https://elnetwork.fr/vie-parlementaire-et-politique/place-du-palais-bourbon-semaine-du-13-au-17-mars-2023/
INV-027,SRC-008,◈,fam:B,ELNET-SAMARIA-2019,ELNET Samarie Paris 2019,2019-05-29,https://elnetwork.fr/delegation/evenement-compte-rendu-de-delegation-conseil-regional-de-samarie-a-paris-28-29-mai-2019/
INV-027,SRC-009,◈,fam:B,ELNET-CARON-LETTER,ELNET lettre ouverte AN,2024-01-01,https://elnetwork.fr/communique/lettre-ouverte-a-la-presidente-de-lassemblee-nationale/
INV-027,SRC-010,◈,fam:C,AN-RES-1000,Assemblée nationale résolution enquête ELNET,2025-02-19,https://www.assemblee-nationale.fr/dyn/17/dossiers/ingerences_politiques_elnet_france_influence_gouvernement
INV-027,SRC-011,◈,fam:C,AN-RES-1000-RAW,Assemblée nationale résolution 1000 texte,2025-02-19,https://www.assemblee-nationale.fr/dyn/docs/PNREANR5L17B1000.raw
INV-027,SRC-012,◈,fam:C,SENAT-FOREIGN-INFLUENCE,Sénat influence étrangère,2024-07-01,https://www.senat.fr/rap/r23-739-2/r23-739-21.html
INV-027,SRC-013,◈,fam:A,ELYSEE-PALESTINE-2025,Élysée reconnaissance Palestine,2025-09-22,https://www.elysee.fr/emmanuel-macron/2025/09/22/80e-session-de-lassemblee-generale-des-nations-unies-a-new-york-premiere-journee
INV-027,SRC-014,◈,fam:D,PROPUBLICA-FOELNET,ProPublica Friends of ELNET,2026-09-10,https://projects.propublica.org/nonprofits/organizations/452212393
INV-027,SRC-015,◈,fam:B,ELNET-DELEGATIONS,ELNET délégations index,2026-09-10,https://elnetwork.fr/delegations/
INV-027,SRC-016,◈,fam:B,ELNET-FORUM-2023,ELNET forum juin 2023,2023-06-23,https://elnetwork.fr/vie-parlementaire-et-politique/place-du-palais-bourbon-semaine-du-19-au-23-juin-2023/
INV-033,SRC-001,◉,fam:other:media-mediapart,https://www.mediapart.fr/en/journal/france/040323/leaked-data-shows-extent-uaes-meddling-france,Leaked data shows extent of UAE meddling in France,2023-03-04,https://www.mediapart.fr/en/journal/france/040323/leaked-data-shows-extent-uaes-meddling-france
INV-033,SRC-002,◉,fam:other:media-newyorker,https://www.newyorker.com/magazine/2023/04/03/the-dirty-secrets-of-a-smear-campaign,The Dirty Secrets of a Smear Campaign,2023-03-27,https://www.newyorker.com/magazine/2023/04/03/the-dirty-secrets-of-a-smear-campaign
INV-033,SRC-003,◉,fam:other:media-mediapart,https://www.mediapart.fr/journal/international/070723/plus-de-200-francais-ont-ete-fiches-pour-le-compte-des-services-secrets-des-emirats-arabes-unis/prolonger,Plus de 200 Français ont été fichés pour le compte des services secrets des Émirats arabes unis,2023-07-07,https://www.mediapart.fr/journal/international/070723/plus-de-200-francais-ont-ete-fiches-pour-le-compte-des-services-secrets-des-emirats-arabes-unis/prolonger
INV-033,SRC-004,◉,fam:other:media-mediapart,https://www.mediapart.fr/journal/international/090723/operation-constellation-les-pieds-nickeles-d-abou-dhabi-bruxelles,Opération Constellation : les pieds nickelés d’Abou Dhabi à Bruxelles,2023-07-09,https://www.mediapart.fr/journal/international/090723/operation-constellation-les-pieds-nickeles-d-abou-dhabi-bruxelles
INV-033,SRC-005,◉,fam:other:media-mediapart,https://www.mediapart.fr/journal/france/100723/un-pilier-d-europe-1-ex-de-valeurs-actuelles-dans-la-main-des-barbouzes-des-emirats,"Un pilier d’Europe 1, ex de Valeurs actuelles, dans la main des barbouzes des Émirats",2023-07-10,https://www.mediapart.fr/journal/france/100723/un-pilier-d-europe-1-ex-de-valeurs-actuelles-dans-la-main-des-barbouzes-des-emirats
INV-033,SRC-006,◉,fam:other:media-mediapart,https://www.mediapart.fr/journal/international/130723/onu-qatar-macron-les-operations-secretes-du-sheikh-matar-agent-des-emirats,"ONU, Qatar, Macron : les opérations secrètes du Sheikh Matar, agent des Émirats",2023-07-13,https://www.mediapart.fr/journal/international/130723/onu-qatar-macron-les-operations-secretes-du-sheikh-matar-agent-des-emirats
INV-033,SRC-007,◈,fam:other:belgium-government,https://news.belgium.be/fr/les-secrets-dabou-dhabi-zakia-khattabi-denonce-une-enquete-fantaisiste-et-refute-tout-lien-avec-le,Les secrets d’Abou Dhabi : Zakia Khattabi dénonce une enquête fantaisiste,2023-07-07,https://news.belgium.be/fr/les-secrets-dabou-dhabi-zakia-khattabi-denonce-une-enquete-fantaisiste-et-refute-tout-lien-avec-le
INV-033,SRC-008,◉,fam:other:media-destandaard,https://www.standaard.be/binnenland/belgie-roept-emiraten-op-het-matje-over-abu-dhabi-secrets/40689421.html,België roept Emiraten op het matje over Abu Dhabi Secrets,2023-07-11,https://www.standaard.be/binnenland/belgie-roept-emiraten-op-het-matje-over-abu-dhabi-secrets/40689421.html
INV-033,SRC-009,◈,fam:other:eu-parliament-commission,https://www.europarl.europa.eu/doceo/document/P-9-2023-002379-ASW_EN.html,Answer for question P-002379/2023 on Abu Dhabi Secrets,2023-08-28,https://www.europarl.europa.eu/doceo/document/P-9-2023-002379-ASW_EN.html
INV-033,SRC-010,◉,fam:other:media-profil,https://www.profil.at/investigativ/inside-the-united-arab-emirates-spy-campaign-in-europe/402598541,Inside the United Arab Emirate’s spy campaign in Europe,2023-09-19,https://www.profil.at/investigativ/inside-the-united-arab-emirates-spy-campaign-in-europe/402598541
INV-033,SRC-011,◈,fam:other:swiss-public-broadcaster-judicial,https://www.rsi.ch/info/ticino-grigioni-e-insubria/Abu-Dhabi-Secrets-aperta-inchiesta-per-spionaggio--2123236.html,"Abu Dhabi Secrets, aperta inchiesta per spionaggio",2024-04-15,https://www.rsi.ch/info/ticino-grigioni-e-insubria/Abu-Dhabi-Secrets-aperta-inchiesta-per-spionaggio--2123236.html
INV-033,SRC-012,◉,fam:other:media-afp-leparisien,https://www.leparisien.fr/faits-divers/agence-suisse-accusee-despionnage-pour-les-emirats-lenquete-classee-par-la-justice-francaise-21-06-2024-CSUQERHPSBAJVL65XYNIVI3GR4.php,Agence suisse accusée d’espionnage pour les Émirats : l’enquête classée par la justice française,2024-06-21,https://www.leparisien.fr/faits-divers/agence-suisse-accusee-despionnage-pour-les-emirats-lenquete-classee-par-la-justice-francaise-21-06-2024-CSUQERHPSBAJVL65XYNIVI3GR4.php
INV-033,SRC-013,◉,fam:other:media-lemonde,https://www.lemonde.fr/societe/article/2025/08/22/accusations-d-espionnage-d-une-communicante-du-qatar-en-france-une-information-judiciaire-ouverte_6633518_3224.html,Accusations d’espionnage d’une communicante du Qatar en France : une information judiciaire ouverte,2025-08-22,https://www.lemonde.fr/societe/article/2025/08/22/accusations-d-espionnage-d-une-communicante-du-qatar-en-france-une-information-judiciaire-ouverte_6633518_3224.html
INV-039,SRC-001,◈,fam:other:eurlex-treaties,TEU-CONSOLIDATED-2025,Consolidated Treaty on European Union - current text,2025-03-15,https://eur-lex.europa.eu/eli/treaty/teu_2016/2025-03-15
INV-039,SRC-002,◈,fam:other:eurlex-treaties,TEU-ART5,Treaty on European Union - Article 5,2016-06-07,https://eur-lex.europa.eu/eli/treaty/teu_2016/art_5/oj
INV-039,SRC-003,◈,fam:other:eurlex-treaties,TEU-ART48,Treaty on European Union - Article 48,2016-06-07,https://eur-lex.europa.eu/eli/treaty/teu_2016/art_48/oj/eng
INV-039,SRC-004,◈,fam:other:consilium-voting,CONSILIUM-QMV-2026,Qualified majority,2026-03,https://www.consilium.europa.eu/en/council-eu/how-does-the-council-vote/qualified-majority/
INV-039,SRC-005,◈,fam:other:consilium-voting,CONSILIUM-UNANIMITY-2026,Unanimity,2026-02-12,https://www.consilium.europa.eu/en/council-eu/how-does-the-council-vote/unanimity/
INV-039,SRC-006,◈,fam:other:europarl-olp,EP-OLP-OVERVIEW,Ordinary legislative procedure - Overview,2026,https://www.europarl.europa.eu/olp/en/ordinary-legislative-procedure/overview
INV-039,SRC-007,◈,fam:other:commission-lawmaking,EC-RIGHT-INITIATIVE,Planning and proposing law,2026,https://commission.europa.eu/law/law-making-process/planning-and-proposing-law_en
INV-039,SRC-008,◈,fam:other:commission-lawmaking,EC-DELEGATED-IMPLEMENTING,Implementing and delegated acts,2026,https://commission.europa.eu/law/law-making-process/adopting-eu-law/implementing-and-delegated-acts_en
INV-039,SRC-009,◈,fam:other:europarl-budget,EP-BUDGETARY-POWERS,Budgetary powers,2026,https://www.europarl.europa.eu/about-parliament/en/parliaments-powers/budgetary-powers
INV-039,SRC-010,◈,fam:other:consilium-budget,CONSILIUM-MFF-2028-2034,The EU long-term budget for 2028-2034,2026-07-15,https://www.consilium.europa.eu/en/policies/the-eu-s-long-term-budget-2028-2034/
INV-039,SRC-011,◈,fam:other:ecb,ECB-INDEPENDENCE,Independence,2026,https://www.ecb.europa.eu/ecb/our-values/independence/html/index.en.html
INV-039,SRC-012,◈,fam:other:curia,CJEU-ROLE,About the Court of Justice of the EU,2026,https://curia.europa.eu/site/jcms/d2_5390/en/about-the-court-of-justice-of-the-eu
INV-039,SRC-013,◈,fam:other:commission-enforcement,EC-INFRINGEMENT,Infringement procedure,2026,https://commission.europa.eu/law/application-eu-law/implementing-eu-law/infringement-procedure_en
INV-039,SRC-014,◈,fam:other:eu-transparency-register,EU-TRANSPARENCY-REGISTER,Transparency Register,2026,https://transparency-register.europa.eu/index_en
INV-039,SRC-015,◈,fam:other:eca,ECA-SR-2024-05,Special report 05/2024 - EU Transparency Register,2024-04,https://www.eca.europa.eu/ECAHTML/SR-2024-05/en/body.html
INV-039,SRC-016,◈,fam:other:ceps,CEPS-EC-LAWMAKING-2026,The European Council: truly the law-maker-in-chief?,2026-08,https://www.ceps.eu/ceps-publications/the-european-council-truly-the-law-maker-in-chief/
INV-043,SRC-001,◈,fam:A,EURLEX-DSA,Regulation (EU) 2022/2065 - Digital Services Act,2022-10-27,https://eur-lex.europa.eu/legal-content/EN-FR/TXT/?uri=CELEX%3A32022R2065
INV-043,SRC-002,◈,fam:B,EC-DSA-IMPACT-2026,The impact of the Digital Services Act on digital platforms,2026-05-19,https://digital-strategy.ec.europa.eu/en/policies/dsa-impact-platforms
INV-043,SRC-003,◈,fam:B,EC-DSA-TRANSPARENCY,How the Digital Services Act enhances transparency online,2026-09-08,https://digital-strategy.ec.europa.eu/en/policies/dsa-brings-transparency
INV-043,SRC-004,◈,fam:B,EC-TRUSTED-FLAGGERS,Trusted flaggers under the Digital Services Act,2026-06-12,https://digital-strategy.ec.europa.eu/en/policies/trusted-flaggers-under-dsa
INV-043,SRC-005,◈,fam:B,EC-RESEARCHER-ACCESS-2026,Commission roundtable on data access for vetted researchers,2026-05-20,https://digital-strategy.ec.europa.eu/en/news/commission-holds-roundtable-data-access-vetted-researchers
INV-043,SRC-006,◈,fam:B,EC-X-FINE-2025,Commission fines X EUR 120 million under the DSA,2025-12-05,https://digital-strategy.ec.europa.eu/en/news/commission-fines-x-eu120-million-under-digital-services-act
INV-043,SRC-007,◈,fam:B,EC-X-CORRECTIVE-2026,Commission accepts X corrective measures to terminate DSA breaches,2026-07-15,https://digital-strategy.ec.europa.eu/en/news/commission-accepts-xs-corrective-measures-terminate-breaches-dsa
INV-043,SRC-008,◈,fam:B,EC-META-PROCEEDINGS-2024,Commission opens formal proceedings against Facebook and Instagram under DSA,2024-04-30,https://digital-strategy.ec.europa.eu/en/news/commission-opens-formal-proceedings-against-facebook-and-instagram-under-digital-services-act
INV-043,SRC-009,◈,fam:B,EC-TIKTOK-ELECTION-2024,Commission opens formal proceedings against TikTok on election risks,2024-12-17,https://digital-strategy.ec.europa.eu/en/news/commission-opens-formal-proceedings-against-tiktok-election-risks-under-digital-services-act
INV-043,SRC-010,◈,fam:B,EC-SHEIN-2026,Commission launches investigation into Shein under DSA,2026-02-17,https://digital-strategy.ec.europa.eu/en/news/commission-launches-investigation-shein-under-digital-services-act
INV-043,SRC-011,◈,fam:B,EC-VLOP-SUPERVISION-2026,Supervision of designated VLOPs and VLOSEs under DSA,2026-09-07,https://digital-strategy.ec.europa.eu/en/policies/list-designated-vlops-and-vloses
INV-043,SRC-012,◈,fam:C,ARCOM-DSA-OBLIGATIONS,DSA obligations and services concerned - Arcom,2026-02-06,https://www.arcom.fr/espace-professionnel/reglement-sur-les-services-numeriques-ou-dsa-obligations-et-services-concernes
INV-043,SRC-013,◈,fam:C,ARCOM-TRUSTED-FLAGGERS,DSA trusted flaggers designated by Arcom,2025-08-18,https://www.arcom.fr/nous-connaitre-nos-missions/superviser-les-plateformes-en-ligne-et-les-reseaux-sociaux/reglement-sur-les-services-numeriques-dsa-liste-des-signaleurs-de-confiance-designes-par-larcom
INV-043,SRC-014,◈,fam:C,ARCOM-DSA-DATABASE,DSA transparency database registration - Arcom,2026-01-01,https://www.arcom.fr/espace-professionnel/reglement-sur-les-services-numeriques-ou-dsa-enregistrement-dune-plateforme-en-ligne-sur-la-base-de-donnees-de-transparence-art-245
INV-043,SRC-015,◉,fam:D,APPEALS-CENTRE-REPORT-2025,Appeals Centre Europe first transparency report,2025-10-01,https://www.appealscentre.eu/appeals-centre-publishes-first-transparency-report/
INV-043,SRC-016,◉,fam:D,APPEALS-CENTRE-FIRST-2025,Appeals Centre first decisions overturn platforms,2025-03-10,https://www.appealscentre.eu/users-make-voices-heard-as-appeals-centres-first-decisions-overturn-platforms/
INV-043,SRC-017,◉,fam:E,KAUSHAL-FACTT-2024,Automated Transparency: Legal and Empirical Analysis of DSA Transparency Database,2024-06-03,https://cris.maastrichtuniversity.nl/en/publications/automated-transparency-a-legal-and-empirical-analysis-of-the-digi/
INV-043,SRC-018,◉,fam:E,SHAHI-DSA-ELECTION-2025,A Year of the DSA Transparency Database: 2024 European Parliament Election,2025-04-09,https://arxiv.org/abs/2504.06976
