id,status,type,workstream,input,run_state,narrative,investigation,mnemo,certification,handoff,pre_gate,delivery_gate,canonical_6_count,artifact_file_count,completeness_class,result_path
INV-030,CLOSED,CASE,W2,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-030_RUN_HANDOFF.md
INV-031,BACKLOG,PRIMARY,W2,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-032,BACKLOG,PRIMARY,W2,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-033,CLOSED,PRIMARY,W2,0,1,1,0,1,0,1,0,0,3,16,PARTIAL_MACHINE_ARTIFACTS,INV-033_RUN_HANDOFF.md
INV-034,BACKLOG,PRIMARY,W2,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-035,CLOSED,PRIMARY,W2,0,0,0,0,0,0,0,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-035_RUN_HANDOFF.md
INV-036,CLOSED,PRIMARY,W2,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-036_RUN_HANDOFF.md
INV-037,CLOSED,PRIMARY,W2,0,0,1,0,0,0,1,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,INV-037_RUN_HANDOFF.md
INV-038,CLOSED,SYNTHESIS,W2,0,0,0,0,0,1,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-038_RUN_HANDOFF.md
INV-039,CLOSED,PRIMARY,W3,0,1,1,1,1,1,1,0,0,5,9,PARTIAL_MACHINE_ARTIFACTS,INV-039_RUN_HANDOFF.md
INV-040,CLOSED,SYNTHESIS,W3,0,0,0,0,0,1,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-040_RUN_HANDOFF.md
INV-041,CLOSED,PRIMARY,W3,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-041_RUN_HANDOFF.md
INV-042,CLOSED,PRIMARY,W3,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-042_RUN_HANDOFF.md
INV-043,CLOSED,PRIMARY,W3,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-043_RUN_HANDOFF.md
INV-044,CLOSED,PRIMARY,W3,1,1,1,1,1,1,1,1,0,6,12,CANONICAL_6_COMPLETE,INV-044_RUN_HANDOFF.md
INV-045,CLOSED,PRIMARY,W3,1,1,1,1,1,0,1,1,1,5,11,PARTIAL_MACHINE_ARTIFACTS,INV-045_RUN_HANDOFF.md
INV-046,CLOSED,PRIMARY,W3,0,0,0,0,0,0,1,0,0,0,2,HANDOFF_OR_DERIVED_ONLY,INV-046_RUN_HANDOFF.md
INV-047,CLOSED,PRIMARY,W3,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-047_RUN_HANDOFF.md
INV-048,CLOSED,PRIMARY,W3,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-048_RUN_HANDOFF.md
INV-049,CLOSED,PRIMARY,W4,0,0,0,1,0,1,1,0,0,2,5,PARTIAL_MACHINE_ARTIFACTS,INV-049_RUN_HANDOFF.md
INV-050,MERGED,MERGED,W4,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-051,CLOSED,PRIMARY,W4,0,0,1,0,0,0,1,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,INV-051_RUN_HANDOFF.md
INV-052,CLOSED,SYNTHESIS,W4,0,0,0,0,0,1,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-052_RUN_HANDOFF.md
INV-053,CLOSED,PRIMARY,W4,0,1,1,1,1,1,1,1,1,5,17,PARTIAL_MACHINE_ARTIFACTS,INV-053_RUN_HANDOFF.md
INV-054,CLOSED,PRIMARY,W4,0,1,1,1,1,0,1,1,1,4,11,PARTIAL_MACHINE_ARTIFACTS,INV-054_RUN_HANDOFF.md
INV-055,MERGED,MERGED,W4,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-056,CLOSED,PRIMARY,W4,1,1,1,1,1,1,1,0,0,6,7,CANONICAL_6_COMPLETE,INV-056_RUN_HANDOFF.md
INV-057,CLOSED,PRIMARY,W4,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-057_RUN_HANDOFF.md
INV-058,BACKLOG,PRIMARY,W4,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-059,CLOSED,PRIMARY,W5,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-059_RUN_HANDOFF.md
INV-060,MERGED,MERGED,W5,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-061,CLOSED,PRIMARY,W5,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-061_RUN_HANDOFF.md
INV-062,CLOSED,PRIMARY,W5,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-062_RUN_HANDOFF.md
INV-063,CLOSED,PRIMARY,W5,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-063_RUN_HANDOFF.md
INV-064,CLOSED,PRIMARY,W5,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-064_RUN_HANDOFF.md
INV-065,CLOSED,PRIMARY,W5,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-065_RUN_HANDOFF.md
INV-066,CLOSED,PRIMARY,W5,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-066_RUN_HANDOFF.md
INV-067,CLOSED,PRIMARY,W5,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-067_RUN_HANDOFF.md
INV-068,CLOSED,SYNTHESIS,W5,0,0,0,0,0,1,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-068_RUN_HANDOFF.md
INV-069,CLOSED,PRIMARY,W6,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-069_RUN_HANDOFF.md
INV-070,CLOSED,PRIMARY,W6,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-070_RUN_HANDOFF.md
INV-071,CLOSED,PRIMARY,W6,0,0,0,1,0,1,1,0,0,2,4,PARTIAL_MACHINE_ARTIFACTS,INV-071_RUN_HANDOFF.md
INV-072,CLOSED,PRIMARY,W6,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-072_RUN_HANDOFF.md
INV-073,CLOSED,PRIMARY,W6,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-073_RUN_HANDOFF.md
INV-074,CLOSED,PRIMARY,W6,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-074_RUN_HANDOFF.md
INV-075,CLOSED,PRIMARY,W6,0,0,1,0,0,0,1,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,INV-075_RUN_HANDOFF.md
INV-076,CLOSED,CASE,W6,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-076_RUN_HANDOFF.md
INV-077,CLOSED,PRIMARY,W6,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-077_RUN_HANDOFF.md
INV-078,CLOSED,PRIMARY,W6,1,1,1,1,1,1,1,0,0,6,7,CANONICAL_6_COMPLETE,INV-078_RUN_HANDOFF.md
INV-079,CLOSED,PRIMARY,W6,0,1,1,1,1,0,1,1,1,4,10,PARTIAL_MACHINE_ARTIFACTS,INV-079_RUN_HANDOFF.md
INV-080,CLOSED,PRIMARY,W6,1,1,1,1,1,1,1,1,0,6,10,CANONICAL_6_COMPLETE,INV-080_RUN_HANDOFF.md
INV-081,CLOSED,PRIMARY,W7,0,1,1,1,1,1,1,0,0,5,9,PARTIAL_MACHINE_ARTIFACTS,INV-081_RUN_HANDOFF.md
INV-082,CLOSED,SYNTHESIS,W7,1,0,0,1,0,1,1,0,0,3,8,PARTIAL_MACHINE_ARTIFACTS,INV-082_RUN_HANDOFF.md
INV-083,MERGED,MERGED,W7,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-084,CLOSED,PRIMARY,W7,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-084_RUN_HANDOFF.md
INV-085,CLOSED,PRIMARY,W7,1,1,1,1,1,1,1,0,0,6,7,CANONICAL_6_COMPLETE,INV-085_RUN_HANDOFF.md
INV-086,MERGED,MERGED,W7,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-087,CLOSED,PRIMARY,W7,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-087_RUN_HANDOFF.md
INV-088,CLOSED,SYNTHESIS,W7,0,0,0,0,0,0,1,0,0,0,2,HANDOFF_OR_DERIVED_ONLY,INV-088_RUN_HANDOFF.md
INV-089,CLOSED,CASE,W7,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-089_RUN_HANDOFF.md
INV-090,CLOSED,CASE,W7,1,1,1,1,1,1,1,0,0,6,7,CANONICAL_6_COMPLETE,INV-090_RUN_HANDOFF.md
INV-091,CLOSED,CASE,W7,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-091_RUN_HANDOFF.md
INV-092,CLOSED,PRIMARY,W7,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-092_RUN_HANDOFF.md
INV-093,CLOSED,PRIMARY,W8,1,1,1,1,1,0,1,1,1,5,11,PARTIAL_MACHINE_ARTIFACTS,INV-093_RUN_HANDOFF.md
INV-094,CLOSED,CASE,W8,0,1,1,1,1,1,1,1,0,5,14,PARTIAL_MACHINE_ARTIFACTS,INV-094_RUN_HANDOFF.md
INV-095,CLOSED,SYNTHESIS,W8,0,0,0,0,0,0,1,0,0,0,2,HANDOFF_OR_DERIVED_ONLY,INV-095_RUN_HANDOFF.md
INV-096,CLOSED,PRIMARY,W8,1,1,1,1,1,1,1,0,0,6,7,CANONICAL_6_COMPLETE,INV-096_RUN_HANDOFF.md
INV-097,CLOSED,PRIMARY,W8,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-097_RUN_HANDOFF.md
INV-098,CLOSED,PRIMARY,W8,1,1,1,1,1,1,1,0,0,6,7,CANONICAL_6_COMPLETE,INV-098_RUN_HANDOFF.md
INV-099,CLOSED,PRIMARY,W8,1,1,1,1,1,1,1,0,0,6,7,CANONICAL_6_COMPLETE,INV-099_RUN_HANDOFF.md
INV-100,CLOSED,PRIMARY,W8,0,1,1,1,1,1,1,1,1,5,12,PARTIAL_MACHINE_ARTIFACTS,INV-100_RUN_HANDOFF.md
INV-101,DEFERRED,DEFER_CONTEXT,W8,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-102,CLOSED,SYNTHESIS,W8,0,0,0,0,0,0,1,0,0,0,2,HANDOFF_OR_DERIVED_ONLY,INV-102_RUN_HANDOFF.md
INV-103,CLOSED,PRIMARY,W9,1,1,1,1,1,1,1,0,0,6,9,CANONICAL_6_COMPLETE,INV-103_RUN_HANDOFF.md
INV-104,CLOSED,SYNTHESIS,W9,0,0,0,0,0,1,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-104_RUN_HANDOFF.md
INV-105,BACKLOG,PRIMARY,W9,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-106,BACKLOG,PRIMARY,W9,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-107,BACKLOG,PRIMARY,W9,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-108,BACKLOG,PRIMARY,W9,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-109,BACKLOG,PRIMARY,W9,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-110,CONDITIONAL,CONDITIONAL_CASE,W9,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-111,CLOSED,PRIMARY,W9,0,0,1,0,0,0,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-111_RUN_HANDOFF.md
INV-112,CLOSED,PRIMARY,W9,0,0,1,0,0,0,1,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,INV-112_RUN_HANDOFF.md
INV-113,CONDITIONAL,CONDITIONAL_CASE,W10,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-114,CONDITIONAL,CONDITIONAL_CASE,W10,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-115,CONDITIONAL,CONDITIONAL_CASE,W10,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-116,CONDITIONAL,CONDITIONAL_CASE,W10,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-117,CONDITIONAL,CONDITIONAL_CASE,W10,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-118,CONDITIONAL,CONDITIONAL_CASE,W10,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-119,CLOSED,PRIMARY,W10,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-119_RUN_HANDOFF.md
INV-120,CLOSED,PRIMARY,W10,0,0,1,0,0,0,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-120_RUN_HANDOFF.md
INV-121,CLOSED,PRIMARY,W10,0,0,1,0,0,0,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-121_RUN_HANDOFF.md
INV-122,CLOSED,PRIMARY,W10,0,0,1,0,0,1,1,0,0,2,5,PARTIAL_MACHINE_ARTIFACTS,INV-122_RUN_HANDOFF.md
INV-123,BACKLOG,PRIMARY,W10,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-124,CLOSED,PRIMARY,W10,1,1,1,1,1,0,1,1,1,5,10,PARTIAL_MACHINE_ARTIFACTS,INV-124_RUN_HANDOFF.md
INV-125,CLOSED,PRIMARY,W10,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-125_RUN_HANDOFF.md
INV-126,CLOSED,PRIMARY,W10,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-126_RUN_HANDOFF.md
INV-127,CLOSED,PRIMARY,W10,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-127_RUN_HANDOFF.md
INV-128,CLOSED,PRIMARY,W10,0,1,1,1,1,1,1,0,0,5,9,PARTIAL_MACHINE_ARTIFACTS,INV-128_RUN_HANDOFF.md
INV-129,CLOSED,SYNTHESIS,W10,1,0,0,1,0,1,1,0,0,3,11,PARTIAL_MACHINE_ARTIFACTS,INV-129_RUN_HANDOFF.md
INV-130,CLOSED,PRIMARY,W2,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-130_RUN_HANDOFF.md
INV-131,CLOSED,PRIMARY,W2,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-131_RUN_HANDOFF.md
INV-132,CLOSED,PRIMARY,W10,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-132_RUN_HANDOFF.md
INV-133,CLOSED,SYNTHESIS,W0,0,0,0,0,0,1,1,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-133_RUN_HANDOFF.md
INV-134,CLOSED,PRIMARY,W0,0,1,1,1,1,1,1,0,0,5,10,PARTIAL_MACHINE_ARTIFACTS,INV-134_RUN_HANDOFF.md
INV-135,CLOSED,PRIMARY,W8,0,1,1,0,1,1,1,0,0,4,13,PARTIAL_MACHINE_ARTIFACTS,INV-135_RUN_HANDOFF.md
INV-136,CLOSED,PRIMARY,W3,0,1,1,1,1,1,1,0,0,5,10,PARTIAL_MACHINE_ARTIFACTS,INV-136_RUN_HANDOFF.md
INV-137,CLOSED,PRIMARY,W6,0,1,1,0,1,1,1,0,0,4,14,PARTIAL_MACHINE_ARTIFACTS,INV-137_RUN_HANDOFF.md
INV-138,CLOSED,PRIMARY,W2,0,1,1,1,1,1,1,0,0,5,10,PARTIAL_MACHINE_ARTIFACTS,INV-138_RUN_HANDOFF.md
INV-139,CLOSED,PRIMARY,W3,0,0,0,0,0,0,0,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-139_RECOVERY_HANDOFF.md
INV-140,CLOSED,PRIMARY,W8,0,0,0,0,0,0,0,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-140_RECOVERY_HANDOFF.md
INV-141,CLOSED,PRIMARY,W10,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-141_RUN_HANDOFF.md
INV-142,CLOSED,PRIMARY,W7,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-142_RUN_HANDOFF.md
INV-143,CLOSED,PRIMARY,W8,1,1,1,1,1,1,1,0,0,6,7,CANONICAL_6_COMPLETE,INV-143_RUN_HANDOFF.md
INV-144,CLOSED,SYNTHESIS,W6,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-144_RUN_HANDOFF.md
INV-145,CLOSED,PRIMARY,W0,0,1,1,1,1,1,1,0,0,5,10,PARTIAL_MACHINE_ARTIFACTS,INV-145_RUN_HANDOFF.md
INV-146,CLOSED,SYNTHESIS,W0,1,0,0,0,0,1,1,0,0,2,10,PARTIAL_MACHINE_ARTIFACTS,INV-146_RUN_HANDOFF.md
INV-147,CLOSED,PRIMARY,W0,0,1,0,1,0,1,1,1,1,3,6,PARTIAL_MACHINE_ARTIFACTS,INV-147_RUN_HANDOFF.md
