id,type,completeness_class,input,run_state,narrative,investigation,mnemo,certification,handoff,pre_gate,delivery_gate,artifact_file_count,result_path
INV-033,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,0,1,0,1,0,0,16,INV-033_RUN_HANDOFF.md
INV-035,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,0,0,0,1,INV-035_RUN_HANDOFF.md
INV-036,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-036_RUN_HANDOFF.md
INV-037,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,0,1,0,0,3,INV-037_RUN_HANDOFF.md
INV-039,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,0,0,9,INV-039_RUN_HANDOFF.md
INV-041,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-041_RUN_HANDOFF.md
INV-042,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-042_RUN_HANDOFF.md
INV-043,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-043_RUN_HANDOFF.md
INV-044,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,1,0,12,INV-044_RUN_HANDOFF.md
INV-045,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,1,1,1,1,1,0,1,1,1,11,INV-045_RUN_HANDOFF.md
INV-046,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,2,INV-046_RUN_HANDOFF.md
INV-047,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-047_RUN_HANDOFF.md
INV-048,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-048_RUN_HANDOFF.md
INV-049,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,1,1,0,0,5,INV-049_RUN_HANDOFF.md
INV-051,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,0,1,0,0,3,INV-051_RUN_HANDOFF.md
INV-053,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,1,1,17,INV-053_RUN_HANDOFF.md
INV-054,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,0,1,1,1,11,INV-054_RUN_HANDOFF.md
INV-056,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,7,INV-056_RUN_HANDOFF.md
INV-057,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-057_RUN_HANDOFF.md
INV-059,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-059_RUN_HANDOFF.md
INV-061,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-061_RUN_HANDOFF.md
INV-062,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-062_RUN_HANDOFF.md
INV-063,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-063_RUN_HANDOFF.md
INV-064,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-064_RUN_HANDOFF.md
INV-065,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-065_RUN_HANDOFF.md
INV-066,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-066_RUN_HANDOFF.md
INV-067,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-067_RUN_HANDOFF.md
INV-069,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-069_RUN_HANDOFF.md
INV-070,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-070_RUN_HANDOFF.md
INV-071,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,1,1,0,0,4,INV-071_RUN_HANDOFF.md
INV-072,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-072_RUN_HANDOFF.md
INV-073,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-073_RUN_HANDOFF.md
INV-074,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-074_RUN_HANDOFF.md
INV-075,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,0,1,0,0,3,INV-075_RUN_HANDOFF.md
INV-076,CASE,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-076_RUN_HANDOFF.md
INV-077,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-077_RUN_HANDOFF.md
INV-078,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,7,INV-078_RUN_HANDOFF.md
INV-079,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,0,1,1,1,10,INV-079_RUN_HANDOFF.md
INV-080,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,1,0,10,INV-080_RUN_HANDOFF.md
INV-081,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,0,0,9,INV-081_RUN_HANDOFF.md
INV-084,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-084_RUN_HANDOFF.md
INV-085,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,7,INV-085_RUN_HANDOFF.md
INV-087,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-087_RUN_HANDOFF.md
INV-089,CASE,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-089_RUN_HANDOFF.md
INV-090,CASE,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,7,INV-090_RUN_HANDOFF.md
INV-091,CASE,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-091_RUN_HANDOFF.md
INV-092,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-092_RUN_HANDOFF.md
INV-093,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,1,1,1,1,1,0,1,1,1,11,INV-093_RUN_HANDOFF.md
INV-094,CASE,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,1,0,14,INV-094_RUN_HANDOFF.md
INV-096,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,7,INV-096_RUN_HANDOFF.md
INV-097,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-097_RUN_HANDOFF.md
INV-098,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,7,INV-098_RUN_HANDOFF.md
INV-099,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,7,INV-099_RUN_HANDOFF.md
INV-100,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,1,1,12,INV-100_RUN_HANDOFF.md
INV-103,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,9,INV-103_RUN_HANDOFF.md
INV-111,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,0,1,0,0,4,INV-111_RUN_HANDOFF.md
INV-112,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,0,1,0,0,3,INV-112_RUN_HANDOFF.md
INV-119,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-119_RUN_HANDOFF.md
INV-120,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,0,1,0,0,4,INV-120_RUN_HANDOFF.md
INV-121,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,0,1,0,0,4,INV-121_RUN_HANDOFF.md
INV-122,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,1,1,0,0,5,INV-122_RUN_HANDOFF.md
INV-124,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,1,1,1,1,1,0,1,1,1,10,INV-124_RUN_HANDOFF.md
INV-125,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-125_RUN_HANDOFF.md
INV-126,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-126_RUN_HANDOFF.md
INV-127,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-127_RUN_HANDOFF.md
INV-128,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,0,0,9,INV-128_RUN_HANDOFF.md
INV-130,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-130_RUN_HANDOFF.md
INV-131,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-131_RUN_HANDOFF.md
INV-132,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-132_RUN_HANDOFF.md
INV-134,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,0,0,10,INV-134_RUN_HANDOFF.md
INV-135,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,0,1,1,1,0,0,13,INV-135_RUN_HANDOFF.md
INV-136,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,0,0,10,INV-136_RUN_HANDOFF.md
INV-137,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,0,1,1,1,0,0,14,INV-137_RUN_HANDOFF.md
INV-138,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,0,0,10,INV-138_RUN_HANDOFF.md
INV-139,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,0,0,0,1,INV-139_RECOVERY_HANDOFF.md
INV-140,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,0,0,0,1,INV-140_RECOVERY_HANDOFF.md
INV-141,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-141_RUN_HANDOFF.md
INV-142,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-142_RUN_HANDOFF.md
INV-143,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,7,INV-143_RUN_HANDOFF.md
INV-145,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,0,0,10,INV-145_RUN_HANDOFF.md
INV-147,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,0,1,0,1,1,1,1,6,INV-147_RUN_HANDOFF.md
