id,workstream,kind,title,coverage_after_inv002,utility,recommended_action,corpus_refs,reason
INV-020,W2,INVESTIGATION,États-Unis : frontière diplomatie publique / soft power / influence / action clandestine,PARTIAL,HIGH,DEEPEN,A118:180054346.kallas-et-les-19-pays-ce-que-les;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-021,W2,INVESTIGATION,"Services américains et France/Europe depuis la guerre froide : renseignement, influence, souveraineté, cas documentables",PARTIAL,HIGH,DEEPEN,A020:199655242.le-numerique-colonise-70-des-donnees;A071:186904003.larchitecture-de-la-censure-europeenne;A118:180054346.kallas-et-les-19-pays-ce-que-les,Corpus touches the subject but does not close the proposed investigation.
INV-022,W2,INVESTIGATION,"Russie : opérations d’influence visant la France — acteurs, infrastructures, campagnes, audiences, impacts réels",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A004:210182384.lingerence-sans-mesure;A008:208733314.la-fabrique-de-la-menace-comment;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie;A116:180061326.qui-a-vraiment-la-tete-dans-le-sable;A119:180052771.qui-est-vraiment-louis-duclos,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-023,W2,INVESTIGATION,"Russie : financement, contacts et relations avec partis/mouvements européens",PARTIAL,HIGH,DEEPEN,A116:180061326.qui-a-vraiment-la-tete-dans-le-sable;A119:180052771.qui-est-vraiment-louis-duclos,Corpus touches the subject but does not close the proposed investigation.
INV-024,W2,INVESTIGATION,"Chine : système d’influence en France et en Europe — entreprises, diaspora, universités, médias, diplomatie, standards technologiques",PARTIAL,HIGH,DEEPEN,A008:208733314.la-fabrique-de-la-menace-comment;A020:199655242.le-numerique-colonise-70-des-donnees,Corpus touches the subject but does not close the proposed investigation.
INV-025,W2,INVESTIGATION,"Chine : United Front et frontière entre diaspora, influence et contrôle politique",NEW,HIGH,DEEPEN,,No sufficiently substantive prior investigation identified in the canonical corpus.
INV-026,W2,INVESTIGATION,"Israël : influence étatique, diplomatique, industrielle, sécuritaire et informationnelle en France/UE",PARTIAL,HIGH,DEEPEN,A023:199655095.la-defense-rongee-449-md-sans-munitions;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A057:192293819.la-democratie-en-cage,Corpus touches the subject but does not close the proposed investigation.
INV-027,W2,INVESTIGATION,"ELNET France : financements, voyages parlementaires, réseaux politiques, déclarations HATVP, effets démontrables",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A023:199655095.la-defense-rongee-449-md-sans-munitions;A045:194518266.lingenierie-de-lenclos;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A057:192293819.la-democratie-en-cage,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-028,W2,INVESTIGATION,"AIPAC : mécanisme américain de lobbying pro-israélien, pouvoir électoral, financement, limites du parallèle avec la France",PARTIAL,HIGH,DEEPEN,A055:192483249.ce-nest-pas-du-satanisme-cest-une,Corpus touches the subject but does not close the proposed investigation.
INV-029,W2,INVESTIGATION,"Allemagne : exercice de puissance au sein de l’UE — institutions, coalitions, poids économique et réglementaire",PARTIAL,HIGH,DEEPEN,A024:199655040.leurope-piege-francais-12-contentieux;A060:190739827.le-sabotage-energetique-francais;A063:189855247.le-sanctuaire-inverse-comment-la,Corpus touches the subject but does not close the proposed investigation.
INV-030,W2,INVESTIGATION,"France-Allemagne : nucléaire — divergence doctrinale, concurrence industrielle, règles européennes, intention versus effet",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A060:190739827.le-sabotage-energetique-francais;A063:189855247.le-sanctuaire-inverse-comment-la;A114:180084168.energies-renouvelables-le-double,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-031,W2,INVESTIGATION,"Royaume-Uni : influence financière, diplomatique, médiatique et renseignement en Europe",NEW,HIGH,DEEPEN,,No sufficiently substantive prior investigation identified in the canonical corpus.
INV-032,W2,INVESTIGATION,"Qatar : investissements, lobbying, sport, médias, islam, politique et soft power en France",PARTIAL,HIGH,DEEPEN,A083:183424330.lagonie-du-souverain-la-singularite;A115:180081515.ukraine-ce-que-hayer-trump-et-zelenskyy,Corpus touches the subject but does not close the proposed investigation.
INV-033,W2,INVESTIGATION,"Émirats arabes unis : influence clandestine et réputationnelle en Europe, dont réseaux de renseignement privé lorsque démontrés",PARTIAL,HIGH,DEEPEN,A071:186904003.larchitecture-de-la-censure-europeenne,Corpus touches the subject but does not close the proposed investigation.
INV-034,W2,INVESTIGATION,"Arabie saoudite : finance, religion, lobbying, industrie et relations politiques françaises",PARTIAL,HIGH,DEEPEN,A083:183424330.lagonie-du-souverain-la-singularite;A115:180081515.ukraine-ce-que-hayer-trump-et-zelenskyy,Corpus touches the subject but does not close the proposed investigation.
INV-035,W2,INVESTIGATION,"Ukraine : diplomatie d’influence de guerre en France/UE, financement, communication, relais politiques et médiatiques",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A008:208733314.la-fabrique-de-la-menace-comment;A058:191802696.la-guerre-des-autres;A090:181766389.les-telegraphistes-de-la-terreur;A099:180396722.alla-poedie-cafards-censure-et-opacite;A100:180377342.bandera-vs-petain-ce-que-les-faits;A103:180267309.corruption-en-ukraine-garraud-a-t;A104:180261963.democratie-rare-en-temps-de-guerre-82a;A111:180120693.macron-et-la-paix-en-ukraine-ce-que;A115:180081515.ukraine-ce-que-hayer-trump-et-zelenskyy;A118:180054346.kallas-et-les-19-pays-ce-que-les;A119:180052771.qui-est-vraiment-louis-duclos,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-036,W2,INVESTIGATION,"Turquie : État, diaspora, religion, associations et mobilisation politique en Europe",NEW,HIGH,DEEPEN,,No sufficiently substantive prior investigation identified in the canonical corpus.
INV-037,W2,INVESTIGATION,"Iran : influence, diasporas, réseaux politiques et opérations informationnelles en Europe",PARTIAL,HIGH,DEEPEN,A075:186127641.limpasse-persique-pourquoi-loccident,Corpus touches the subject but does not close the proposed investigation.
INV-038,W2,INVESTIGATION,"Maroc et Algérie : influence politique, diplomatique et diasporique en France — séparer les deux États dans l’enquête",NEW,HIGH,DEEPEN,,No sufficiently substantive prior investigation identified in the canonical corpus.
INV-039,W3,INVESTIGATION,"Qui exerce réellement le pouvoir dans l’UE ? Commission, Conseil, Parlement, CJUE, BCE, États, lobbies",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A014:202848231.lecart-legalitelegitimite-la-signature;A022:199655164.le-verrou-28-recours-au-493-57-dabstention;A024:199655040.leurope-piege-francais-12-contentieux;A037:199049245.le-changement-de-regime-pourquoi;A057:192293819.la-democratie-en-cage,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-040,W3,INVESTIGATION,Déficit démocratique européen : réalité mesurable versus slogan politique,SUBSTANTIAL_PRIOR,HIGH,RECHECK,A007:206399715.le-peuple-nexiste-que-sur-convocation;A010:205911763.le-verrou-invisible-anatomie-du-ric;A014:202848231.lecart-legalitelegitimite-la-signature;A022:199655164.le-verrou-28-recours-au-493-57-dabstention;A037:199049245.le-changement-de-regime-pourquoi;A057:192293819.la-democratie-en-cage,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-041,W3,INVESTIGATION,"Commission européenne et production réglementaire : initiative, expertise, consultations, trilogues, actes délégués",PARTIAL,HIGH,DEEPEN,A024:199655040.leurope-piege-francais-12-contentieux;A048:194040178.lingenierie-de-la-possession;A061:190587326.ue-mercosur-le-mensonge-sanitaire,Corpus touches the subject but does not close the proposed investigation.
INV-042,W3,INVESTIGATION,"Lobbying européen : acteurs, dépenses, accès, consultations, portes tournantes",PARTIAL,HIGH,DEEPEN,A024:199655040.leurope-piege-francais-12-contentieux;A056:192351575.le-reseau-qui-nous-facture;A068:187674415.le-triangle-de-la-capture-le-mecanisme;A091:181572197.lindustrie-de-linfluence-enquete,Corpus touches the subject but does not close the proposed investigation.
INV-043,W3,INVESTIGATION,"DSA comme dispositif de gouvernance informationnelle : obligations réelles, intermédiaires, effets et recours",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A006:209222653.du-narratif-a-lingerence-le-seuil;A071:186904003.larchitecture-de-la-censure-europeenne;A074:186286764.ce-que-macron-appelle-protection,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-044,W3,INVESTIGATION,European Democracy Shield / EDMO / EUvsDisinfo / anti-FIMI : appareil européen de défense cognitive,PARTIAL,HIGH,DEEPEN,A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A071:186904003.larchitecture-de-la-censure-europeenne;A072:186844276.tristan-mendes-france-la-machine,Corpus touches the subject but does not close the proposed investigation.
INV-045,W3,INVESTIGATION,"EFCSN, IFCN, fact-checkers et financement européen : certification comme infrastructure d’accès",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A001:212538645.qui-fact-checke-les-fact-checkers;A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A072:186844276.tristan-mendes-france-la-machine,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-046,W3,INVESTIGATION,"Chat Control, eIDAS, identité numérique, portefeuille européen : sécurité versus infrastructure potentielle de contrôle",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A067:188810196.le-gulag-digital-surveilles-a-100;A071:186904003.larchitecture-de-la-censure-europeenne;A074:186286764.ce-que-macron-appelle-protection;A109:180129975.leurope-construit-elle-un-credit-40d;A110:180128122.leurope-construit-elle-un-credit,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-047,W3,INVESTIGATION,Sanctions européennes comme instrument de coercition politique et informationnelle,PARTIAL,HIGH,DEEPEN,A006:209222653.du-narratif-a-lingerence-le-seuil;A047:194130616.le-protocole-du-re-enracinement;A058:191802696.la-guerre-des-autres;A087:182502562.la-justice-spectrale-lere-du-bannissement;A118:180054346.kallas-et-les-19-pays-ce-que-les,Corpus touches the subject but does not close the proposed investigation.
INV-048,W3,INVESTIGATION,"Commerce, normes et droit européen comme instruments de puissance : Mercosur, concurrence, standards, conditionnalité",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A024:199655040.leurope-piege-francais-12-contentieux;A031:199654478.la-france-desindustrialisee-81-milliards;A048:194040178.lingenierie-de-la-possession;A061:190587326.ue-mercosur-le-mensonge-sanitaire,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-049,W4,INVESTIGATION,"Open Society Foundations / George Soros : flux réels, bénéficiaires, objectifs, mécanismes, effets ; tester mythologie et dénégation naïve",PARTIAL,HIGH,DEEPEN,A045:194518266.lingenierie-de-lenclos;A072:186844276.tristan-mendes-france-la-machine;A097:180580808.pravda-quand-lelysee-ironise-sur;A098:180481861.quand-lelysee-attaque-un-journaliste,Corpus touches the subject but does not close the proposed investigation.
INV-050,W4,INVESTIGATION,"OSF en France et dans l’UE : justice, médias, migration, droits fondamentaux, think tanks, contentieux stratégique",PARTIAL,HIGH,DEEPEN,A045:194518266.lingenierie-de-lenclos;A072:186844276.tristan-mendes-france-la-machine;A097:180580808.pravda-quand-lelysee-ironise-sur;A098:180481861.quand-lelysee-attaque-un-journaliste,Corpus touches the subject but does not close the proposed investigation.
INV-051,W4,INVESTIGATION,"Fondations Gates, Ford, Rockefeller, Omidyar et grandes philanthropies : pouvoir politique sans mandat électif",PARTIAL,HIGH,DEEPEN,A045:194518266.lingenierie-de-lenclos;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-052,W4,INVESTIGATION,"Philanthrocapitalisme : quand le financement privé définit problèmes, métriques et solutions publiques",PARTIAL,HIGH,DEEPEN,A045:194518266.lingenierie-de-lenclos;A053:193017697.comment-la-richesse-verrouille-le;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-053,W4,INVESTIGATION,"ONG liées aux migrations en France/Europe : qui finance quoi, pourquoi, avec quel effet opérationnel et politique ?",PARTIAL,HIGH,DEEPEN,A029:199654638.limmigration-sans-cap-340-000-titres;A045:194518266.lingenierie-de-lenclos,Corpus touches the subject but does not close the proposed investigation.
INV-054,W4,INVESTIGATION,ONG de droits humains et contentieux stratégique : recours judiciaire comme instrument de transformation politique,PARTIAL,HIGH,DEEPEN,A006:209222653.du-narratif-a-lingerence-le-seuil;A045:194518266.lingenierie-de-lenclos;A087:182502562.la-justice-spectrale-lere-du-bannissement,Corpus touches the subject but does not close the proposed investigation.
INV-055,W4,INVESTIGATION,Financement public des ONG qui font ensuite pression sur le pouvoir public : boucle institutionnelle et conditions de légitimité,PARTIAL,HIGH,DEEPEN,A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A045:194518266.lingenierie-de-lenclos;A072:186844276.tristan-mendes-france-la-machine,Corpus touches the subject but does not close the proposed investigation.
INV-056,W4,INVESTIGATION,Astroturfing : organisations présentées comme grassroots mais financées ou orchestrées par des intérêts structurés,PARTIAL,HIGH,DEEPEN,A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie;A091:181572197.lindustrie-de-linfluence-enquete,Corpus touches the subject but does not close the proposed investigation.
INV-057,W4,INVESTIGATION,"ONG comme intermédiaires de politique étrangère : comparaison USA, UE, États et fondations",PARTIAL,HIGH,DEEPEN,A004:210182384.lingerence-sans-mesure;A045:194518266.lingenierie-de-lenclos;A090:181766389.les-telegraphistes-de-la-terreur,Corpus touches the subject but does not close the proposed investigation.
INV-058,W4,INVESTIGATION,"Qui contrôle les contrôleurs associatifs ? Gouvernance, transparence, conflits d’intérêts et accountability des ONG",PARTIAL,HIGH,DEEPEN,A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A045:194518266.lingenierie-de-lenclos;A072:186844276.tristan-mendes-france-la-machine,Corpus touches the subject but does not close the proposed investigation.
INV-059,W5,INVESTIGATION,Think tanks français : cartographie argent → experts → médias → cabinets → politiques publiques,PARTIAL,HIGH,DEEPEN,A036:199422722.la-caste-parasite-qui-gouverne-la;A053:193017697.comment-la-richesse-verrouille-le;A068:187674415.le-triangle-de-la-capture-le-mecanisme,Corpus touches the subject but does not close the proposed investigation.
INV-060,W5,INVESTIGATION,"Institut Montaigne, Terra Nova, Fondapol, Fondation Jean-Jaurès, IFRI : comparaison des modèles d’influence",PARTIAL,HIGH,DEEPEN,A039:198659211.opposition-controlee-anatomie-dun;A059:191154925.pourquoi-les-electeurs-francais-votent,Corpus touches the subject but does not close the proposed investigation.
INV-061,W5,INVESTIGATION,"Think tanks américains et politique française/européenne : Atlantic Council, German Marshall Fund, Brookings, Heritage, etc.",PARTIAL,HIGH,DEEPEN,A071:186904003.larchitecture-de-la-censure-europeenne;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-062,W5,INVESTIGATION,McKinsey et cabinets de conseil dans l’État français : prestation technique ou délégation cognitive de souveraineté ?,SUBSTANTIAL_PRIOR,HIGH,RECHECK,A015:202607767.le-systeme-informatique-detat-autopsie;A068:187674415.le-triangle-de-la-capture-le-mecanisme,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-063,W5,INVESTIGATION,"Big Four et production de normes : conseil, audit, réglementation, marchés publics, revolving doors",PARTIAL,HIGH,DEEPEN,A035:199655748.largent-qui-disparait-80-a-100-milliards;A056:192351575.le-reseau-qui-nous-facture,Corpus touches the subject but does not close the proposed investigation.
INV-064,W5,INVESTIGATION,Cabinets de relations publiques et communication stratégique : marché professionnel de fabrication de réputation et d’opinion,PARTIAL,HIGH,DEEPEN,A008:208733314.la-fabrique-de-la-menace-comment;A082:183123537.lempire-du-mensonge-rapport-dautopsie;A091:181572197.lindustrie-de-linfluence-enquete;A097:180580808.pravda-quand-lelysee-ironise-sur;A098:180481861.quand-lelysee-attaque-un-journaliste,Corpus touches the subject but does not close the proposed investigation.
INV-065,W5,INVESTIGATION,"Experts médiatiques : sélection, financement, conflits d’intérêts invisibles",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A012:204169916.le-debat-qui-nexistait-pas-6-mecanismes;A025:199654938.medias-censure-et-desinformation;A072:186844276.tristan-mendes-france-la-machine;A091:181572197.lindustrie-de-linfluence-enquete,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-066,W5,INVESTIGATION,Recherche académique financée par intérêts publics ou privés : agenda-setting scientifique et indépendance réelle,PARTIAL,HIGH,DEEPEN,A001:212538645.qui-fact-checke-les-fact-checkers;A002:212051560.qui-fabrique-lautorite-du-vrai;A042:197963983.climat-les-deux-escroqueries;A069:187436825.darwin-et-evolution-enquete-sur-les,Corpus touches the subject but does not close the proposed investigation.
INV-067,W5,INVESTIGATION,"Groupes d’experts publics : composition, conflits d’intérêts, sélection et pouvoir normatif",PARTIAL,HIGH,DEEPEN,A002:212051560.qui-fabrique-lautorite-du-vrai;A014:202848231.lecart-legalitelegitimite-la-signature;A042:197963983.climat-les-deux-escroqueries,Corpus touches the subject but does not close the proposed investigation.
INV-068,W5,INVESTIGATION,Narrative laundering : intérêt → think tank → expert → média → décideur → apparence de consensus indépendant,SUBSTANTIAL_PRIOR,HIGH,RECHECK,A008:208733314.la-fabrique-de-la-menace-comment;A012:204169916.le-debat-qui-nexistait-pas-6-mecanismes;A025:199654938.medias-censure-et-desinformation;A072:186844276.tristan-mendes-france-la-machine;A091:181572197.lindustrie-de-linfluence-enquete,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-069,W6,INVESTIGATION,"Communication gouvernementale française : SIG, Élysée, ministères, budgets, campagnes et objectifs comportementaux",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A008:208733314.la-fabrique-de-la-menace-comment;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie;A014:202848231.lecart-legalitelegitimite-la-signature;A077:185893876.budget-2026-larchitecture-du-mensonge;A079:185160908.annie-genevard-plus-de-cas-de-dnc;A097:180580808.pravda-quand-lelysee-ironise-sur;A098:180481861.quand-lelysee-attaque-un-journaliste;A106:180194877.407-mensonges-lautopsie-dun-systeme;A111:180120693.macron-et-la-paix-en-ukraine-ce-que,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-070,W6,INVESTIGATION,"Sciences comportementales dans l’État : DITP, nudges, architecture de choix, éthique et usages réels",PARTIAL,HIGH,DEEPEN,A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-071,W6,INVESTIGATION,"VIGINUM : doctrine, critères, données, attribution, mesure d’impact et accountability",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A004:210182384.lingerence-sans-mesure;A006:209222653.du-narratif-a-lingerence-le-seuil;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie;A072:186844276.tristan-mendes-france-la-machine,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-072,W6,INVESTIGATION,SGDSN et doctrine française de guerre/influence informationnelle,PARTIAL,HIGH,DEEPEN,A004:210182384.lingerence-sans-mesure;A012:204169916.le-debat-qui-nexistait-pas-6-mecanismes;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-073,W6,INVESTIGATION,"Armées françaises et guerre cognitive / influence : doctrines, capacités, cibles et frontière intérieur/extérieur",PARTIAL,HIGH,DEEPEN,A012:204169916.le-debat-qui-nexistait-pas-6-mecanismes;A058:191802696.la-guerre-des-autres;A082:183123537.lempire-du-mensonge-rapport-dautopsie;A090:181766389.les-telegraphistes-de-la-terreur;A105:180223640.larmee-potemkine-quand-le-spectre,Corpus touches the subject but does not close the proposed investigation.
INV-074,W6,INVESTIGATION,"ARCOM : régulateur, arbitre politique ou infrastructure procédurale ?",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A022:199655164.le-verrou-28-recours-au-493-57-dabstention;A025:199654938.medias-censure-et-desinformation;A049:193809543.audiovisuel-public-anatomie-dune;A091:181572197.lindustrie-de-linfluence-enquete,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-075,W6,INVESTIGATION,"Audiovisuel public : argent, gouvernance, production privée, nominations et indépendance éditoriale",SUBSTANTIAL_PRIOR,HIGH,RECHECK,A025:199654938.medias-censure-et-desinformation;A049:193809543.audiovisuel-public-anatomie-dune,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-076,W6,INVESTIGATION,Subventions publiques et aides à la presse : dépendance économique et effets possibles sur le pluralisme,SUBSTANTIAL_PRIOR,HIGH,RECHECK,A025:199654938.medias-censure-et-desinformation;A049:193809543.audiovisuel-public-anatomie-dune;A091:181572197.lindustrie-de-linfluence-enquete,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-077,W6,INVESTIGATION,Publicité et campagnes institutionnelles comme levier économique sur les médias,PARTIAL,HIGH,DEEPEN,A025:199654938.medias-censure-et-desinformation;A049:193809543.audiovisuel-public-anatomie-dune,Corpus touches the subject but does not close the proposed investigation.
