id,title,type,truth_engine,renard,report_file,source_class,size_bytes
INV-026,"Israël : influence étatique, diplomatique, industrielle, sécuritaire et informationnelle en France/UE",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-026.md,checkpoint_2026-09-07,77039
INV-033,"Émirats arabes unis : influence clandestine et réputationnelle en Europe, dont réseaux de renseignement privé lorsque démontrés",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-033.md,checkpoint_2026-09-07,69673
INV-039,"Qui exerce réellement le pouvoir dans l’UE ? Commission, Conseil, Parlement, CJUE, BCE, États, lobbies",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-039.md,checkpoint_2026-09-07,65855
INV-044,European Democracy Shield / EDMO / EUvsDisinfo / anti-FIMI : appareil européen de défense cognitive,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-044.md,checkpoint_2026-09-07,80391
INV-045,"EFCSN, IFCN, fact-checkers et financement européen : certification comme infrastructure d’accès",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-045.md,post_checkpoint_full,62938
INV-049,"Open Society Foundations / George Soros : flux réels, bénéficiaires, objectifs, mécanismes, effets ; tester mythologie et dénégation naïve",PRIMARY,DELIVERY_PASS_R2A2,CLOSED_NO_FURTHER_MATERIAL_DELTA,01_INVESTIGATIONS/INV-049.md,checkpoint_2026-09-07,47271
INV-054,ONG de droits humains et contentieux stratégique : recours judiciaire comme instrument de transformation politique,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-054.md,checkpoint_2026-09-07,68354
INV-056,Astroturfing : organisations présentées comme grassroots mais financées ou orchestrées par des intérêts structurés,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-056.md,post_checkpoint_full,79535
INV-059,Think tanks français : cartographie argent → experts → médias → cabinets → politiques publiques,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-059.md,post_checkpoint_full,65915
INV-069,"Communication gouvernementale française : SIG, Élysée, ministères, budgets, campagnes et objectifs comportementaux",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-069.md,post_checkpoint_full,68905
INV-071,"VIGINUM : doctrine, critères, données, attribution, mesure d’impact et accountability",PRIMARY,DELIVERY_PASS_R2A2,NO,01_INVESTIGATIONS/INV-071.md,checkpoint_2026-09-07,50434
INV-073,"Armées françaises et guerre cognitive / influence : doctrines, capacités, cibles et frontière intérieur/extérieur",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-073.md,post_checkpoint_full,58662
INV-078,Fonds Marianne et financement étatique de la contre-influence : anatomie complète,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-078.md,post_checkpoint_full,71513
INV-079,"Associations et prestataires subventionnés pour lutter contre désinformation, haine ou radicalisation",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-079.md,post_checkpoint_full,73943
INV-080,"Sanction administrative sans condamnation judiciaire : gel des avoirs, expulsions, interdictions, réputation et seuil de preuve",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-080.md,post_checkpoint_full,62398
INV-081,Propriété réelle des médias français : reconstruire les chiffres sans reprendre 9 milliardaires/80-90 % sans dénominateur,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-081.md,checkpoint_2026-09-07,55747
INV-082,Concentration économique versus concentration éditoriale : quelle causalité peut réellement être démontrée ?,SYNTHESIS,NOT_RUN_BY_DESIGN,NO,01_INVESTIGATIONS/INV-082.md,post_checkpoint_full,9534
INV-085,Sélection des sujets avant même leur traitement : pouvoir éditorial en amont du verdict,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-085.md,post_checkpoint_full,58329
INV-089,Trusted flaggers et intermédiaires de modération : pouvoir sans responsabilité directe,CASE,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-089.md,post_checkpoint_full,72646
INV-090,"Shadow banning, démonétisation, déréférencement et friction algorithmique : existence, fréquence, recours",CASE,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-090.md,post_checkpoint_full,75193
INV-093,"Financement des campagnes françaises : argent, prêts, micro-partis, prestations, contournements possibles",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-093.md,checkpoint_2026-09-07,73465
INV-094,Financement étranger direct ou indirect des partis et candidats européens,CASE,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-094.md,post_checkpoint_full,75365
INV-096,Microtargeting électoral et données personnelles en France/UE,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-096.md,post_checkpoint_full,65548
INV-098,"Achat de votes, clientélisme et redistribution électoraliste : formes modernes et réalité française",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-098.md,post_checkpoint_full,74383
INV-099,"Fraude électorale réelle versus industrie de l’accusation de fraude : fréquence, mécanismes, vérifiabilité",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-099.md,post_checkpoint_full,71975
INV-100,Annulation ou neutralisation judiciaire/administrative d’une élection : Roumanie et comparaisons internationales,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-100.md,checkpoint_2026-09-07,72296
INV-103,Défiance institutionnelle française : mesurer précisément qui n’est plus cru et pourquoi,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-103.md,checkpoint_2026-09-07,46590
INV-124,"Debanking, paiements, sanctions et accès financier comme infrastructure privée/publique de coercition",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-124.md,post_checkpoint_full,65653
INV-128,"Influence-for-hire : renseignement privé, cabinets d’intelligence, réputation, infiltration et campagnes clandestines pour clients étatiques ou privés",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-128.md,checkpoint_2026-09-07,69898
INV-129,"Lawfare et coercition juridique : contentieux stratégique, SLAPP, sanctions administratives, procédures et droit comme instruments d’influence",SYNTHESIS,NOT_RUN,NO,01_INVESTIGATIONS/INV-129.md,post_checkpoint_full,9639
INV-134,"Attribution d’ingérence : chaîne de preuve, degrés de confiance, contradictions, corrections et responsabilités",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-134.md,checkpoint_2026-09-07,76324
INV-135,"Hack-and-leak, kompromat et divulgations synchronisées : voler, authentifier, falsifier ou publier pour peser sur une élection",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-135.md,checkpoint_2026-09-07,80221
INV-136,"Corruption étrangère au cœur des institutions européennes : Qatargate/Morocco, Huawei et diplomatie des cadeaux",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-136.md,checkpoint_2026-09-07,71010
INV-137,Renseignement → exécutif → médias : la chaîne d’attribution anonyme comme dispositif d’influence,PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-137.md,checkpoint_2026-09-07,71291
INV-138,"France comme puissance d’influence à l’étranger : diplomatie, AFD, médias internationaux, réseaux politiques, assistance électorale et renseignement",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-138.md,checkpoint_2026-09-07,108033
INV-139,"Union européenne comme puissance d’influence extérieure : société civile, observation électorale, partis, conditionnalité et sanctions",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-139.md,checkpoint_2026-09-07,3940
INV-140,"Financement étranger indirect de l’espace électoral : ONG, médias, fondations, think tanks et campagnes thématiques hors partis",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-140.md,checkpoint_2026-09-07,3023
INV-141,"Spyware, surveillance et compromission de responsables politiques, journalistes et opposants comme levier d’influence",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-141.md,post_checkpoint_full,57651
INV-142,"Influence cachée par contenu sponsorisé : influenceurs payés, native advertising, faux médias, syndication et relais locaux",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-142.md,post_checkpoint_full,64182
INV-143,"Timing judiciaire et administratif en période électorale : enquêtes, fuites, inéligibilités, sanctions et « October surprises » institutionnelles",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-143.md,post_checkpoint_full,73423
INV-144,"Économie politique de la lutte contre l’ingérence : menace, budgets, marchés, prestataires, métriques et incitations à l’expansion",SYNTHESIS,NOT_RUN_BY_DESIGN,NO,01_INVESTIGATIONS/INV-144.md,post_checkpoint_full,10094
INV-145,"Qui est un « agent étranger » ? FARA, dispositifs français et européens : mêmes mécanismes, qualifications et sanctions asymétriques",PRIMARY,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-145.md,checkpoint_2026-09-07,62513
INV-146,"Asymétrie alliés/adversaires : mêmes mécanismes, mêmes standards de preuve, mêmes mots ?",SYNTHESIS,NOT_RUN,NO,01_INVESTIGATIONS/INV-146.md,checkpoint_2026-09-07,19289
