paragraph_id	article_line	section	unit_type	inv_ids	source_ids	public_urls	support_function	reader_source_status	note
P13	33	3. Les puissances étrangères n'utilisent pas toutes le même mécanisme	FACTUAL	INV-019;INV-013;INV-025;INV-036;INV-130;INV-131;INV-138	S10;S09;S11;S15;S16;S17;S18	https://www.ned.org/apply-for-grant/en/;https://www.intelligence.senate.gov/2020/08/18/publications-report-select-committee-intelligence-united-states-senate-russian-active-measures/;https://www.zytzb.gov.cn/zytzb/2022-10/28/article_2024032216161421608.shtml;https://www.bundestag.de/webarchiv/presse/hib/2017_10/529360-529360;https://www.senat.fr/rap/r23-739-1/r23-739-1_mono.html;https://www.senat.fr/rap/r15-757/r15-7579.html;https://www.diplomatie.gouv.fr/fr/le-ministere/publications-programmes-et-documentation-institutionnelle/publications/documents-institutionnels/feuille-de-route-de-l-influence	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P14	35	3. Les puissances étrangères n'utilisent pas toutes le même mécanisme	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P15	37	3. Les puissances étrangères n'utilisent pas toutes le même mécanisme	FACTUAL	INV-027;INV-028	S12;S13	https://www.hatvp.fr/fiche-organisation/?organisation=531006237;https://www.fec.gov/data/committee/C00797670/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P16	39	3. Les puissances étrangères n'utilisent pas toutes le même mécanisme	FACTUAL	INV-033;INV-128	S14;S63	https://www.newyorker.com/magazine/2023/04/03/the-dirty-secrets-of-a-smear-campaign;https://about.fb.com/news/2021/05/influence-operations-threat-report/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P17	41	3. Les puissances étrangères n'utilisent pas toutes le même mécanisme	FACTUAL	INV-036;INV-130;INV-131	S15;S16;S17	https://www.bundestag.de/webarchiv/presse/hib/2017_10/529360-529360;https://www.senat.fr/rap/r23-739-1/r23-739-1_mono.html;https://www.senat.fr/rap/r15-757/r15-7579.html	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P18	43	3. Les puissances étrangères n'utilisent pas toutes le même mécanisme	FACTUAL	INV-127;INV-138	S18;S62	https://www.diplomatie.gouv.fr/fr/le-ministere/publications-programmes-et-documentation-institutionnelle/publications/documents-institutionnels/feuille-de-route-de-l-influence;https://www.campusfrance.org/fr/le-programme-de-bourses-france-excellence-eiffel	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P19	45	3. Les puissances étrangères n'utilisent pas toutes le même mécanisme	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P20	49	4. Le droit et les institutions exercent un pouvoir sans convaincre personne	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P21	51	4. Le droit et les institutions exercent un pouvoir sans convaincre personne	FACTUAL	INV-039	S19	https://www.europarl.europa.eu/olp/en/ordinary-legislative-procedure/overview	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P22	53	4. Le droit et les institutions exercent un pouvoir sans convaincre personne	FACTUAL	INV-043	S20;S21	https://eur-lex.europa.eu/legal-content/EN-FR/TXT/?uri=CELEX%3A32022R2065;https://digital-strategy.ec.europa.eu/en/policies/trusted-flaggers-under-dsa	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P23	55	4. Le droit et les institutions exercent un pouvoir sans convaincre personne	FACTUAL	INV-045	S22	https://digital-strategy.ec.europa.eu/en/news/commission-boosts-independent-fact-checking-eu5-million-grant-under-european-democracy-shield	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P24	57	4. Le droit et les institutions exercent un pouvoir sans convaincre personne	FACTUAL	INV-047	S23	https://www.consilium.europa.eu/en/policies/why-sanctions/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P25	59	4. Le droit et les institutions exercent un pouvoir sans convaincre personne	FACTUAL	INV-136	S24	https://www.om-mp.be/sites/default/files/media/documents/Persbericht-20-02-2026.pdf	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P26	61	4. Le droit et les institutions exercent un pouvoir sans convaincre personne	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P27	65	5. L'argent achète d'abord des capacités, pas automatiquement des verdicts	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P28	67	5. L'argent achète d'abord des capacités, pas automatiquement des verdicts	FACTUAL	INV-049;INV-053;INV-062;INV-066	S25;S26;S28;S29	https://www.opensocietyfoundations.org/who-we-are/financials;https://www.senat.fr/rap/r24-326/r24-3262.html;https://www.senat.fr/rap/r21-578-1/r21-578-114.html;https://pubmed.ncbi.nlm.nih.gov/30132025/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P29	69	5. L'argent achète d'abord des capacités, pas automatiquement des verdicts	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P30	71	5. L'argent achète d'abord des capacités, pas automatiquement des verdicts	FACTUAL	INV-049	S25	https://www.opensocietyfoundations.org/who-we-are/financials	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P31	73	5. L'argent achète d'abord des capacités, pas automatiquement des verdicts	FACTUAL	INV-053;INV-054	S26;S27	https://www.senat.fr/rap/r24-326/r24-3262.html;https://www.conseil-etat.fr/fr/arianeweb/CE/analyse/2024-05-13/474652	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P32	75	5. L'argent achète d'abord des capacités, pas automatiquement des verdicts	FACTUAL	INV-062;INV-066	S28;S29;S30	https://www.senat.fr/rap/r21-578-1/r21-578-114.html;https://pubmed.ncbi.nlm.nih.gov/30132025/;https://pubmed.ncbi.nlm.nih.gov/30252531/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P33	77	5. L'argent achète d'abord des capacités, pas automatiquement des verdicts	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P34	79	5. L'argent achète d'abord des capacités, pas automatiquement des verdicts	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P35	83	6. L'État domestique influence lui aussi l'environnement politique	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P36	85	6. L'État domestique influence lui aussi l'environnement politique	FACTUAL	INV-069;INV-070	S31;S32	https://www.info.gouv.fr/organisation/service-d-information-du-gouvernement-sig/les-raisons-detre-du-sig;https://www.modernisation.gouv.fr/accompagner-les-administrations/laboratoires-interministeriels-dinnovation/sciences	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P37	87	6. L'État domestique influence lui aussi l'environnement politique	FACTUAL	INV-071	S33	https://www.sgdsn.gouv.fr/viginum/comprendre-viginum/les-missions-de-viginum	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P38	89	6. L'État domestique influence lui aussi l'environnement politique	FACTUAL	INV-134	S34	https://www.sgdsn.gouv.fr/viginum/publications/rokh-solis-analyse-dun-mode-operatoire-informationnel-ayant-cible-les	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P39	91	6. L'État domestique influence lui aussi l'environnement politique	FACTUAL	INV-073	S35	https://www.defense.gouv.fr/comcyber/nos-operations/lutte-informatique-dinfluence-l2i	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P40	93	6. L'État domestique influence lui aussi l'environnement politique	FACTUAL	INV-074;INV-076;INV-069	S36;S37;S31	https://www.arcom.fr/nos-missions;https://www.culture.gouv.fr/thematiques/presse-ecrite/soutien-public-a-la-presse;https://www.info.gouv.fr/organisation/service-d-information-du-gouvernement-sig/les-raisons-detre-du-sig	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P41	95	6. L'État domestique influence lui aussi l'environnement politique	FACTUAL	INV-078	S38	https://www.senat.fr/travaux-parlementaires/commissions/commission-des-finances/controle-en-clair/commission-denquete-sur-le-fonds-marianne.html	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P42	97	6. L'État domestique influence lui aussi l'environnement politique	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P43	101	7. Gouverner la visibilité n'est pas gouverner les opinions	FACTUAL	INV-081	S39	https://www.arcom.fr/nous-connaitre/nos-missions/garantir-le-pluralisme-et-la-cohesion-sociale/le-dispositif-anti-concentration-un-outil-visant-garantir-le-pluralisme	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P44	103	7. Gouverner la visibilité n'est pas gouverner les opinions	FACTUAL	INV-081;INV-085	S39;S40	https://www.arcom.fr/nous-connaitre/nos-missions/garantir-le-pluralisme-et-la-cohesion-sociale/le-dispositif-anti-concentration-un-outil-visant-garantir-le-pluralisme;https://factcheck.afp.com/How-we-work	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P45	105	7. Gouverner la visibilité n'est pas gouverner les opinions	FACTUAL	INV-084	S41	https://reutersagency.com/about/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P46	107	7. Gouverner la visibilité n'est pas gouverner les opinions	FACTUAL	INV-087	S42	https://www.sciencedirect.com/science/article/abs/pii/S0014292115000483	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P47	109	7. Gouverner la visibilité n'est pas gouverner les opinions	FACTUAL	INV-043;INV-091	S21;S43	https://digital-strategy.ec.europa.eu/en/policies/trusted-flaggers-under-dsa;https://www.nature.com/articles/s41586-026-10098-2	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P48	111	7. Gouverner la visibilité n'est pas gouverner les opinions	FACTUAL	INV-092	S44	https://openai.com/index/disrupting-malicious-uses-of-ai-influence-campaign-russia/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P49	113	7. Gouverner la visibilité n'est pas gouverner les opinions	FACTUAL	INV-142	S45	https://www.justice.gov/archives/opa/pr/two-rt-employees-indicted-covertly-funding-and-directing-us-company-published-thousands	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P50	115	7. Gouverner la visibilité n'est pas gouverner les opinions	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P51	119	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	FACTUAL	INV-093;INV-094	S46;S47	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000039446180;https://www.senat.fr/rap/r23-739-1/r23-739-113.html	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P52	121	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	FACTUAL	INV-096	S48	https://www.cnil.fr/fr/respecter-les-droits-des-electeurs-sur-leurs-donnees-personnelles	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P53	123	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	FACTUAL	INV-097	S49;S50	https://www.sgdsn.gouv.fr/viginum/publications/rrn-une-campagne-numerique-de-manipulation-de-linformation-complexe-et;https://www.nature.com/articles/s41467-022-35576-9	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P54	125	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	FACTUAL	INV-098	S51	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006353253/2026-04-12	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P55	127	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	FACTUAL	INV-099	S52	https://odihr.osce.org/odihr/elections/france/525330	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P56	129	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	FACTUAL	INV-100	S53	https://legislatie.just.ro/Public/FormaPrintabila/00000G2OH5FWE05C8WF3A5SI29IWJBGG	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P57	131	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	FACTUAL	INV-135	S54;S55	https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000036649861;https://www.diplomatie.gouv.fr/fr/presse-et-ressources/decouvrir-et-informer/actualites/russie-attribution-de-cyberattaques-contre-la-france-au-service-de-renseignement-militaire-russe	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P58	133	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	FACTUAL	INV-143	S56	https://www.conseil-superieur-magistrature.fr/publications/avis-de-la-formation-pleniere-du-conseil-superieur-de-la-magistrature-du-15-septembre	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P59	135	8. Une élection concentre plusieurs leviers qui ne doivent pas être fusionnés	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P60	139	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P61	141	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	FACTUAL	INV-119	S57;S58	https://www.insee.fr/fr/statistiques/1375870;https://www.senat.fr/rap/r18-016-2/r18-016-24.html	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P62	143	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	FACTUAL	INV-120;INV-121;INV-122;INV-066;INV-119	S29;S30;S58	https://pubmed.ncbi.nlm.nih.gov/30132025/;https://pubmed.ncbi.nlm.nih.gov/30252531/;https://www.senat.fr/rap/r18-016-2/r18-016-24.html	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P63	145	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	FACTUAL	INV-124;INV-047	S23;S59	https://www.consilium.europa.eu/en/policies/why-sanctions/;https://www.eba.europa.eu/publications-and-media/press-releases/eba-alerts-detrimental-impact-unwarranted-de-risking-and	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P64	147	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	FACTUAL	INV-125	S60	https://digital-strategy.ec.europa.eu/en/factpages/data-act-explained	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P65	149	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	FACTUAL	INV-126	S61	https://www.legifrance.gouv.fr/codes/id/LEGISCTA000006145398/2026-04-28	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P66	151	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	FACTUAL	INV-127;INV-138	S62;S18	https://www.campusfrance.org/fr/le-programme-de-bourses-france-excellence-eiffel;https://www.diplomatie.gouv.fr/fr/le-ministere/publications-programmes-et-documentation-institutionnelle/publications/documents-institutionnels/feuille-de-route-de-l-influence	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P67	153	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	FACTUAL	INV-128;INV-141	S63;S64	https://about.fb.com/news/2021/05/influence-operations-threat-report/;https://www.senat.gov.pl/download/gfx/senat/pl/defaultaktualnosci/1924/15764/1/raport_koncowy_z_prac_komisji_nadzwyczajnej.pdf	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P68	155	9. Le pouvoir le plus profond est parfois une dépendance ou une infrastructure	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P69	159	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P70	161	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P71	163	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P72	165	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P73	167	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	FACTUAL	cross-corpus	S21;S27;S08;S50	https://digital-strategy.ec.europa.eu/en/policies/trusted-flaggers-under-dsa;https://www.conseil-etat.fr/fr/arianeweb/CE/analyse/2024-05-13/474652;https://www.cambridge.org/core/journals/experimental-results/article/evidence-of-psychological-targeting-but-not-psychological-tailoring-in-political-persuasion-around-brexit/55AFE19E5B1AC95BA4E02DC2DFDF25FC;https://www.nature.com/articles/s41467-022-35576-9	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P74	169	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	FACTUAL	INV-103;INV-111;INV-112	S65;S66;S67	https://www.sciencespo.fr/cevipof/fr/actualites/barometre-de-la-confiance-politique-cevipof-2026-la-confiance-s-effondre-en-politique-la-proximite-fait-figure-de-refuge/;https://pmc.ncbi.nlm.nih.gov/articles/PMC8363141/;https://www.sgdsn.gouv.fr/publications/analyse-du-mode-operatoire-informationnel-russe-storm-1516	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P75	171	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	FACTUAL	INV-134;INV-147	S34;S68	https://www.sgdsn.gouv.fr/viginum/publications/rokh-solis-analyse-dun-mode-operatoire-informationnel-ayant-cible-les;https://www.sgdsn.gouv.fr/viginum/comprendre-viginum/les-missions-de-viginum	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P76	173	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	FACTUAL	INV-147;INV-047	S69;S70;S23	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000050052952;https://www.justice.gov/nsd-fara/fara-index-and-act;https://www.consilium.europa.eu/en/policies/why-sanctions/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P77	175	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	FACTUAL	INV-071;INV-043;INV-045	S33;S20;S22	https://www.sgdsn.gouv.fr/viginum/comprendre-viginum/les-missions-de-viginum;https://eur-lex.europa.eu/legal-content/EN-FR/TXT/?uri=CELEX%3A32022R2065;https://digital-strategy.ec.europa.eu/en/news/commission-boosts-independent-fact-checking-eu5-million-grant-under-european-democracy-shield	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P78	177	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P79	179	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P80	181	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	METHOD_INTERNAL	CORPUS_121_AUDIT.csv;INV-035			METHOD	METHOD_INTERNAL	Internal corpus-reconstruction limitation, not a public factual claim.
P81	183	10. Le modèle qui résiste : un pouvoir polycentrique sous asymétries	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
