inv_id	workstream	type	family_id	family	authority	physical_source	disposition	article_section	material_yield	justification
INV-028	W2	CASE	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-028_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	AIPAC operates through three distinct, documented U.S. channels: registered lobbying, PAC contributions and UDP independent expenditures. Large candidate-specific spending and electoral outcomes are verified, but the inspected evidence does not identify the marginal causal effect on Bowman/Bush defeats, candidate control, vote buying or Israeli-state tasking. French campaign-finance rules make the U.S. PAC/Super-PAC architecture non-isomorphic; the remaining material France-side test is functional: whether documented lobbying/access resources can be tied to identifiable positions, actions or decisions.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-029	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-029_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	INV-029 établit trois mécanismes bornés par lesquels l'Allemagne peut peser sur une décision de l'Union européenne : construction de coalition sur les règles budgétaires, agenda-setting conjoint franco-allemand sur le fonds de relance, et levier procédural de minorité de blocage sur le dossier automobile/e-fuels. Ces cas démontrent une influence décisionnelle réelle et parfois un delta textuel identifiable, mais ils ne ferment ni une causalité autonome du poids économique allemand ni une thèse de contrôle systématique de l'UE. Le modèle supporté est mécanisme-par-mécanisme : ressources/préférence nationale -> coalition ou levier procédural -> négociation institutionnelle -> concession/delta, sous contraintes multilatérales.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-030	W2	CASE	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-030_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	INV-030 distingue une divergence franco-allemande réelle d'une causalité hostile. Berlin a formellement combattu l'inclusion du nucléaire dans la taxonomie 2022, mais cette opposition n'a pas empêché l'adoption d'un acte incluant certaines activités nucléaires : l'arête « opposition allemande -> exclusion nucléaire » est donc réfutée. Paris avait un intérêt industriel et financier explicite et a obtenu un résultat conforme à sa position, sans que sa contribution marginale soit isolable. En 2023-2024, l'UE a en outre adopté des voies de soutien et d'éligibilité industrielle incluant le nucléaire (CfD pour nouveaux investissements, NZIA), avec garde-fous. Le règlement hydrogène 2025 laisse une reconnaissance nucléaire différée/conditionnelle, mais la responsabilité marginale allemande n'est pas identifiée. Le changement de position rapporté du gouvernement Merz en 2025 interdit enfin d'extrapoler une doctrine allemande fixe. Le corpus ne soutient pas une stratégie démontrée de « sabotage » du nucléaire français.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-033	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-033_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	Le dossier Alp Services apporte au contrôle de symétrie un cas où la chaîne `client lié au renseignement émirati -> paiement/tasking -> prestataire privé -> opérations/cibles` est beaucoup plus fortement fermée que de simples relations de financement ou de proximité. En revanche, la fiabilité des fiches, la connaissance du client ultime par chaque intermédiaire et les effets downstream restent distincts et partiellement non établis.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-035	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	EXCLUDED		GAP_EXPLICIT	§3	No direct terminal artifact recovered in current surface; do not reconstruct.	Artefact terminal absent du corpus V1; aucune reconstruction autorisée.
INV-036	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-036_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	INV-036 établit une architecture turque d'influence diasporique plurielle et documentable sans convertir la diaspora en proxy. Diyanet/DITIB ferme un canal structurel de personnel, financement et supervision ainsi que des cas spécifiques de message politique au-delà du service religieux; les soupçons d'espionnage restent actor-specific et ne ferment pas une organisation-wide tasking chain. UID et les campagnes de responsables turcs ferment un canal direct de mobilisation politique transnationale lié à l'AKP. YTB ferme une politique ouverte de cultivation de liens, réseaux et représentation politique de la diaspora. En France, l'infrastructure est matériellement documentée mais sa prévalence de tasking et son effet démocratique marginal ne le sont pas. Les résultats de vote expatrié ne permettent pas d'attribuer causalement les votes à DITIB, UID, YTB ou à un autre réseau.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-037	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-037_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	INV-037 ferme deux familles de chaînes actor-specific iraniennes en Europe. D’une part, des opérations violentes ou coercitives avec tasking ou attribution institutionnelle explicite (Villepinte, réseaux criminels en Suède, vague britannique) dont les effets démontrables sont surtout déjouement, condamnation, sanctions ou protection. D’autre part, la campagne SMS suédoise de 2023 ferme IRGC -> groupe cyber -> accès illicite -> diffusion massive -> exposition et intention de polarisation, sans fermer réception, persuasion ni comportement. Le run réfute donc les raccourcis diaspora=proxy et operation=persuasion : un lien étatique exige tasking/contrôle documenté, et les effets politiques aval restent non établis.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-039	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	FIRST_ORDER_RESULT	INV-039_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	`CLM-001..009` remplace le classement global « qui gouverne réellement l'UE ? » par une carte **pouvoir × type de décision × phase × base juridique**. Les États gardent la frontière des compétences et certains vetos ; la Commission domine l'initiative ordinaire mais pas l'adoption seule ; Parlement et Conseil codécident sous OLP ; le Conseil européen est non-législateur en droit mais acteur d'agenda en pratique ; BCE et CJUE exercent des pouvoirs forts mais spécialisés. `CLM-009 / CAU-001` sépare explicitement lobbying, accès et ressources d'une preuve de capture ou d'effet causal. `CAU-002` conserve la même discipline pour les mandats politiques du Conseil européen.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-041	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	FIRST_ORDER_RESULT	INV-041_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	INV-041 ferme l’architecture générique de la production réglementaire de la Commission européenne sans valider une capture générale. Le corpus établit des canaux institutionnalisés de consultation, d’expertise et de représentation d’intérêts, mais aussi des gates internes et interinstitutionnels réels. Le cas ESRS ferme une chaîne agrégée consultation -> révision technique EFRAG -> modifications identifiables de la Commission -> acte délégué final, tandis que la procédure législative ordinaire ferme proposition Commission -> négociation/co-législation Parlement-Conseil -> acte final. En revanche, aucune chaîne bornée n’isole dans ce run un acteur privé nommé dont une contribution cause une clause finale précise, ni accès/expertise -> capture. Le prochain gain exige un legislative footprint acteur -> contribution versionnée -> modification identifiable -> adoption, avec attribution interne et contrôle des explications rivales.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-042	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	FIRST_ORDER_RESULT	INV-042_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	le lobbying européen est un canal institutionnalisé de participation et d'expertise, assorti de règles de registre, de conditionnalité et de publication, mais la visibilité reste incomplète. Des asymétries d'accès sont mesurables selon les acteurs et les arènes. La meilleure arête transversale est `ressources/expertise/capacité -> accès`, pas `dépense -> décision`.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-043	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	FIRST_ORDER_RESULT	INV-043_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	le DSA est une architecture multiniveau de gouvernance des plateformes, pas un mécanisme unique de retrait. Il ferme `règle -> procédures de notification/transparence/recours/supervision` et, case-specifically, `supervision -> modification de systèmes/processus`. Les signaleurs de confiance obtiennent une priorité de traitement, mais le corpus n’établit pas `trusted flagger -> ordre automatique de retrait`. Les recours produisent des renversements matériels ; parallèlement, la très grande majorité des décisions de modération déclarées provient des règles propres des plateformes, contrôle négatif contre `DSA -> toute modération`.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-044	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	RECOVERY_ONLY	INV-044_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	A structured and publicly funded EU information-resilience/governance ecosystem is established, combining institutional coordination, research, fact-checking, strategic communication and DSA co-regulation. Distributed governance and substantial public funding are established. Expansion of programs/capacity is partially documented, but budget growth does not establish fabricated threat, and a unitary Commission-commanded censorship architecture is NOT_ESTABLISHED.	Récupération bornée conservée à autorité dégradée; aucune promotion au rang de handoff original.
INV-045	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	FIRST_ORDER_RESULT	INV-045_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	La certification EFCSN/IFCN est une infrastructure d’accès réelle mais **program-specific**. Elle conditionne certains sous-programmes de financement, outils ou relations de plateformes et s’insère dans un écosystème européen publiquement financé. Elle n’est pas démontrée comme autorité publique universelle de vérité, condition générale de toute activité de fact-checking, ni mécanisme de commandement éditorial. Le financement de capacité et les relations institutionnelles sont établis ; `funding/certification -> dictated editorial conclusion -> political effect` reste non établi.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-046	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	FIRST_ORDER_RESULT	INV-046_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	INV-046 ferme un modèle borné : EUDI, QWAC/eIDAS et le régime CSA créent des capacités numériques réelles mais sectorielles ; les garde-fous d’EUDI et de sécurité navigateur sont explicites, le scanning CSA actuel est volontaire et temporaire, et aucun pont probant ne ferme aujourd’hui une architecture intégrée identité→communications→sanction politique. Le risque de mission creep reste conditionnel à l’implémentation et à des ponts futurs démontrables.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-047	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	FIRST_ORDER_RESULT	INV-047_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	INV-047 ferme le mécanisme générique des sanctions européennes au niveau où la preuve est la plus robuste : acte juridique -> obligation d'un intermédiaire -> restriction d'accès, de transaction, de commerce, d'actifs ou de diffusion -> coût/contrainte proximal mesurable. Sur la Russie, les sanctions sont associées à une contraction majeure des échanges, à l'effondrement de la part du pétrole russe dans les importations de l'UE, à l'immobilisation de plus de 210 Md EUR d'actifs de banque centrale et à des pertes de revenus ciblés ; les travaux contre-factuels sur 2014-2019 confirment un effet commercial réel mais aussi substitution, détournement et hétérogénéité d'application. Ces effets ne ferment pas sanctions -> changement de politique : la guerre et les mesures se poursuivent en 2026. Sur l'information, le règlement 2022/350 ferme directement interdiction de diffusion/licences RT-Sputnik -> restriction de distribution, validée en contrôle juridictionnel, mais aucune mesure causale d'exposition, croyance ou persuasion n'est identifiée. La Biélorussie fournit un contrôle négatif/mixte : quelques libérations coexistent avec au moins 863 prisonniers politiques et une répression persistante, sans attribution causale aux sanctions. Le JCPOA ferme en revanche une séquence de conditionnalité multilatérale : engagements nucléaires vérifiés -> levée coordonnée de sanctions, sans identifier la contribution marginale de l'UE seule. Le modèle soutenu est donc : sanctions = contrainte juridique/proximale souvent mesurable ; coercition politique terminale = effet distinct, hétérogène et rarement attribuable sans design causal spécifique.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-048	W3	PRIMARY	F3	Institutions européennes, droit, régulation et coercition	FIRST_ORDER_RESULT	INV-048_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§4	INV-048 établit un gradient probatoire entre règle commune, condition d'accès, contrainte économique et coercition. L'accord UE-Mercosur modifie réellement les conditions tarifaires mais reste négocié, réciproque, assorti de sauvegardes et de contre-pouvoirs institutionnels; il ne ferme pas une coercition unilatérale. Le CBAM crée un coût réglementaire explicite et mesurable, mais l'ECB borne son incidence commerciale directe moyenne tout en signalant des concentrations sectorielles. Le régime GSP/EBA fournit la chaîne la plus nette de conditionnalité interétatique exercée: violation constatée -> retrait partiel de préférence tarifaire; le corpus ne ferme cependant pas une réforme politique cambodgienne causée marginalement par ce retrait. Le DMA ferme au niveau des entreprises des chaînes règle/enforcement -> adaptation produit ou commerciale. Ainsi, la puissance normative européenne est observée lorsque coût, sanction ou condition et adaptation sont identifiables; `norme != coercition`, `compliance != adhésion` et `effet économique != effet politique` restent des gardes obligatoires.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-049	W4	PRIMARY	F4	Philanthropie, ONG et société civile financée	FIRST_ORDER_RESULT	INV-049_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§5	OSF est établi comme financeur transnational doté d'objectifs politiques/publics explicites et de mécanismes d'influence observables : grants, recherche, plaidoyer, formation, communication et contentieux. Le RENARD ajoute un bridge important : des grants à More in Common sont explicitement orientés vers de la recherche d'opinion incluant la France et le niveau UE, tandis que Destin Commun appartient à un réseau à gouvernance mutualisée. Cela **ne** suffit toujours pas à établir : ```text OSF -> grant direct à l'entité juridique Destin Commun OSF -> commandement/tasking de Destin Commun OSF -> effet causal global France/UE ```	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-051	W4	PRIMARY	F4	Philanthropie, ONG et société civile financée	FIRST_ORDER_RESULT	INV-051_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§5	INV-051 ferme un modèle borné : les grandes fondations peuvent convertir des ressources en capacité institutionnelle, contrainte d'allocation ou capacité d'advocacy et d'accès ; le cas Rockefeller/Paris ferme une contribution matérielle à la production d'une stratégie municipale, tandis que l'OMS documente un effet structurel du financement fléché sur sa discrétion et que Reset/EDRi documentent advocacy et accès au processus UE. Aucune chaîne inspectée ne justifie financement=commandement, accès=capture ou donor-specific policy authorship sans tasking, conditionnalité ou empreinte décisionnelle supplémentaire.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
